Local Body Code,Local Body Name,Local Body Type,District Level Parent Name,Intermediate Level Parent Name,Ward Code,Ward Number,Ward Name,Ward Name (In Local),
552,SOUTH ANDAMANS,District Panchayat,,,111395,1,Ward No. 1,Ward No. 1
234465,DIGLIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452179,1,Diglipur-1,
234465,DIGLIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452180,2,Diglipur-2,
234465,DIGLIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452181,3,Diglipur-3,
234465,DIGLIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452182,4,Diglipur-4,
234465,DIGLIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452183,5,Diglipur-5,
234465,DIGLIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452184,6,Diglipur-6,
234465,DIGLIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452185,7,Diglipur-7,
234465,DIGLIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452186,8,Khudirampur-1,
234465,DIGLIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452187,9,Khudirampur-2,
234465,DIGLIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452188,10,Khudirampur-3,
234465,DIGLIPUR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452189,11,Khudirampur-4,
245696,GANDHI NAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452190,1,Gandhinagar-1,
245696,GANDHI NAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452191,2,Gandhinagar-2,
245696,GANDHI NAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452192,3,Gandhinagar-3,
245696,GANDHI NAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452193,4,Shantinagar-1,
245696,GANDHI NAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452194,5,Shantinagar-2,
245696,GANDHI NAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452195,6,Ganeshnagar-1,
245696,GANDHI NAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452196,7,Ganeshnagar-2,
245696,GANDHI NAGAR,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452197,8,Ganeshnagar-3,
234466,KALIGHAT,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452198,1,Kalighat-1,
234466,KALIGHAT,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452199,2,Kalighat-2,
234466,KALIGHAT,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452200,3,Kalighat-3,
234466,KALIGHAT,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452201,4,Kalighat-4,
234466,KALIGHAT,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452202,5,Kalighat-5,
234466,KALIGHAT,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452203,6,Kalighat-6,
234466,KALIGHAT,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452204,7,Jagannathdera-1,
234466,KALIGHAT,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452205,8,Jagannathdera-2,
234467,KERALAPURAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452206,1,Keralapuram-1,
234467,KERALAPURAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452207,2,Keralapuram-2,
234467,KERALAPURAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452208,3,Keralapuram-3,
234467,KERALAPURAM,Village Panchayat,NORTH AND MIDDLE ANDAMAN,DIGLIPUR,1452209,4,Vidyasagarpalli-1,
