Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
253098,Port Blair,55231,18,Port Blair (M Cl) - Ward No.18,
253098,Port Blair,55230,17,Port Blair (M Cl) - Ward No.17,
253098,Port Blair,55223,10,Port Blair (M Cl) - Ward No.10,
253098,Port Blair,1295566,21,Port Blair (M CI)- Ward No. 21,
253098,Port Blair,1295568,23,Port Blair (M CI)- Ward No. 23,
253098,Port Blair,55227,14,Port Blair (M Cl) - Ward No.14,
253098,Port Blair,55221,8,Port Blair (M Cl) - Ward No.8,
253098,Port Blair,55228,15,Port Blair (M Cl) - Ward No.15,
253098,Port Blair,1295567,22,Port Blair (M CI)- Ward No. 22,
253098,Port Blair,55224,11,Port Blair (M Cl) - Ward No.11,
253098,Port Blair,55222,9,Port Blair (M Cl) - Ward No.9,
253098,Port Blair,55214,1,Port Blair (M Cl) - Ward No.1,
253098,Port Blair,1295565,20,Port Blair (M CI)- Ward No. 20,
253098,Port Blair,55219,6,Port Blair (M Cl) - Ward No.6,
253098,Port Blair,55220,7,Port Blair (M Cl) - Ward No.7,
253098,Port Blair,55218,5,Port Blair (M Cl) - Ward No.5,
253098,Port Blair,1295564,19,Port Blair (M CI)- Ward No. 19,
253098,Port Blair,55216,3,Port Blair (M Cl) - Ward No.3,
253098,Port Blair,1295569,24,Port Blair (M CI)- Ward No. 24,
253098,Port Blair,55226,13,Port Blair (M Cl) - Ward No.13,
253098,Port Blair,55217,4,Port Blair (M Cl) - Ward No.4,
253098,Port Blair,55229,16,Port Blair (M Cl) - Ward No.16,
253098,Port Blair,55215,2,Port Blair (M Cl) - Ward No.2,
253098,Port Blair,55225,12,Port Blair (M Cl) - Ward No.12,
,,,,,
"May 12, 2021 7:10 PM",,,,,
