Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
251761,Repalle,51705,3,Repalle (M) - Ward No.3,
251778,Proddatur,164697,38,ward 38,
251751,Macherla,2491,29,Macherla (M) - Ward No. 29,
251745,Nuzvid,54842,8,Nuzvid (M) - Ward No.8,
248120,PUNGANUR,56037,10,Punganur (NP) - Ward No.10,
254924,Tiruvuru,1297885,9,Tiruvuru Ward No.9,
251699,Amadalavalasa,52706,17,Amadalavalasa (NP) - Ward No.17,
251698,Rajam,56971,14,Rajam (CT) - Ward No.14,
253272,Allagadda,1297336,17,Allagadda Ward no. 17,
251766,Ongole,55418,18,Ongole (M) - Ward No.18,
248114,TADIPATRI,1297461,21,Tadipatri Ward No.21,
251782,Cuddapah,52106,2,2nd Division,
248112,ANANTAPUR,53297,15,Anantapur (M) - Ward No.15,
248122,CHITTOOR,56070,26,Chittoor - Ward No.26,
251725,Rajahmundry,57208,12,Rajahmundry (M Corp.) - Ward No.12,
248114,TADIPATRI,1297474,34,Tadipatri Ward No.34,
251746,Vijayawada,58270,51,Vijayawada (M Corp.) - Ward No.51,
251770,Kavali,160818,26,Kavali M Ward No 26,
251737,Nidadavole,129974,17,Nidadavole ward no 17,
251759,Ponnuru,51671,13,Ponnur (M) - Ward No.13,
251760,Bapatla,1583,24,Bapatla (M) - Ward No. 24,
251696,Ichchapuram,1297404,18,Ichapuram Ward No. 18,
296257,KUPPAM,2308103,17,Election Ward No.17,
251699,Amadalavalasa,1297343,23,Amadalavalasa Ward No. 23,
251782,Cuddapah,52126,22,22nd Division,
253297,Mydukur,177,23,Mydukur (M) - Ward No.23,
248126,PUTTUR,53652,5,Puttur (CT) - Ward No.5,
251711,Nellimarla,53381,8,Nellimarla (CT) - Ward No.8,
251719,Visakhapatnam,1297939,92,Anakapalli Ward No. 20,
251728,Pithapuram,57478,7,Pithapuram (M) - Ward No.7,
251778,Proddatur,463,16,Bodhan (M) - Ward No.16,
251703,Salur,52810,13,Salur (M) - Ward No.13,
251760,Bapatla,1584,25,Bapatla (M) - Ward No. 25,
251733,Ramachandrapuram,54523,14,Ramachandrapuram (M) - Ward No.14,
258054,Yelamanchili,163341,18,Yelamanchili M ward no 18,
251698,Rajam,56968,11,Rajam (CT) - Ward No.11,
248121,TIRUPATI,53601,9,Tirupati (M) - Ward No.9,
251746,Vijayawada,58284,58,Vijayawada (M Corp.) - Ward No.58,
253272,Allagadda,1297322,3,Allagadda Ward no. 3,
251732,Mandapeta,57982,15,Mandapeta Ward No.15,
251768,Kandukur,55473,4,Kandukur (M) - Ward No.4,
253253,Madakasira,352,14,Ward No. 14,
257967,PALAKONDA,127806,5,Ward,
251787,Yemmiganur,52353,15,Yemmiganur (M) - Ward No.15,
251789,Kurnool,1297561,47,Kurnool Ward No. 47,
251702,Bobbili,52776,30,Bobbili (M) - Ward No.30,
253297,Mydukur,642,2,Mydukur (M) - Ward No.2,
253101,Pulivendula,2179,11,Pulivendula (M) - Ward No.11,
251719,Visakhapatnam,1297979,132,Bheemili Ward No. 26,
296261,DACHEPALLI,2307963,3,Election Ward No.3,
251797,Gooty,53072,4,Gooty (CT) - Ward No.4,
251738,Tadepalligudem,131460,24,Tadepalligudem ward no 24,
251792,Adoni,52857,19,Adoni (M) - Ward No.19,
251738,Tadepalligudem,54591,14,Tadepalligudem (M) - Ward No.14,
248112,ANANTAPUR,1297288,33,Anantapur Ward No. 33,
258033,Atmakur,160785,18,Atmakurnlr Ward No 18,
248122,CHITTOOR,126556,39,Chittoor - Ward No.39,
251699,Amadalavalasa,52690,1,Amadalavalasa (NP) - Ward No.1,
251739,Eluru,161485,48,Eluru Ward No 48,
254923,Vuyyuru,1297908,12,Vuyyuru Ward No.12,
277315,Mummidivaram,1297512,20,Mummidivaram Ward No.20,
251799,Kalyandurg,55593,3,Kalyandurg (CT) - Ward No.3,
248121,TIRUPATI,53610,18,Tirupati (M) - Ward No.18,
251700,Srikakulam,1297703,49,Srikakulam Ward No. 49,
296261,DACHEPALLI,2307972,12,Election Ward No.12,
251772,Nellore,51887,24,Nellore (M) - Ward No.24,
251759,Ponnuru,51674,16,Ponnur (M) - Ward No.16,
251733,Ramachandrapuram,54516,7,Ramachandrapuram (M) - Ward No.7,
296260,BETHAMCHERLA,2308049,18,Election Ward No.18,
251732,Mandapeta,57992,20,Mandapeta Ward No.20,
251719,Visakhapatnam,53510,25,Visakhapatnam (M Corp.) - Ward No.25,
251792,Adoni,1297519,33,Adoni Ward No. 33,
251768,Kandukur,126532,26,Kandukur-Ward No.26,
251719,Visakhapatnam,53497,12,Visakhapatnam (M Corp.) - Ward No.12,
251789,Kurnool,52830,18,Kurnool Ward No. 18,
251760,Bapatla,51699,16,Bapatla (M) - Ward No.16,
251752,Mangalagiri,55142,12,Managalagiri - Ward No.12,
251711,Nellimarla,53387,14,Nellimarla (CT) - Ward No.14,
257831,Naidupeta,162481,14,Naidupet Ward no. 14,
251799,Kalyandurg,55594,4,Kalyandurg (CT) - Ward No.4,
251772,Nellore,51886,23,Nellore (M) - Ward No.23,
251759,Ponnuru,51683,25,Ponnur (M) - Ward No.25,
248111,BADVEL,50964,4,Ward No.4,
251698,Rajam,56972,15,Rajam (CT) - Ward No.15,
251702,Bobbili,52757,11,Bobbili (M) - Ward No.11,
248115,DHARMAVARAM,1297392,39,Dharmavaram Ward No. 39,
251702,Bobbili,52753,7,Bobbili (M) - Ward No.7,
248121,TIRUPATI,126537,26,Tirupati - Ward No.26,
251753,Sattenapalle,55148,3,Sattenapalle (M) - Ward No.3,
248118,HINDUPUR,1297399,36,Hindupur Ward No 36,
251772,Nellore,51984,30,Nellore (M) - Ward No.30,
251789,Kurnool,1297559,45,Kurnool Ward No. 45,
248117,RAYADURG,1297445,20,Rayadurg Ward No 20,
258054,Yelamanchili,163307,5,Yelamanchili M Ward no 5,
251725,Rajahmundry,57230,34,Rajahmundry (M Corp.) - Ward No.34,
251724,Peddapuram,54051,4,Peddapuram (M) - Ward No.4,
253168,Tadepalli,162565,11,Tadepalli Ward No.11,
251758,Tenali,51640,13,Tenali (M) - Ward No.13,
263068,GUDUR,1297646,17,Gudurnlr Ward No. 17,
251751,Macherla,54929,9,Macherla (M) - Ward No.9,
251741,Bhimavaram,54750,4,Bhimavaram (M) - Ward No.4,
251754,Vinukonda,55155,6,Vinukonda M Ward No 6,
257831,Naidupeta,162465,5,Naidupet Ward no. 5,
251746,Vijayawada,58196,14,Vijayawada (M Corp.) - Ward No.14,
277316,Gollaprolu,1297373,10,Gollaprolu Ward No. 10,
253167,Piduguralla,1297787,20,Piduguralla Ward No 20,
251725,Rajahmundry,57219,23,Rajahmundry (M Corp.) - Ward No.23,
251758,Tenali,51653,26,Tenali (M) - Ward No.26,
251778,Proddatur,466,17,Bodhan (M) - Ward No.17,
251786,Rayachoti,52175,13,Rayachoti (CT) - Ward No.13,
251768,Kandukur,55482,13,Kandukur (M) - Ward No.13,
257869,Giddalur,126506,16,Giddalur-Ward NO.16,
251762,Markapur,51809,2,Markapur (M) - Ward No.2,
251760,Bapatla,51690,7,Bapatla (M) - Ward No.7,
251792,Adoni,52851,13,Adoni (M) - Ward No.13,
253168,Tadepalli,162538,17,Tadepalli Ward No.17,
251740,Tanuku,54650,26,Tanuku (M) - Ward No.26,
251700,Srikakulam,56989,5,Srikakulam (M) - Ward No.5,
254923,Vuyyuru,1297907,11,Vuyyuru Ward No.11,
251731,Kakinada,57508,4,Kakinada (M) - Ward No.4,
253252,Pamidi,100,2,Ward No.2,
251736,Kovvur,54571,10,Kovvur (NP) - Ward No.10,
251752,Mangalagiri,2167,19,Mangalagiri (M) - Ward No.19,
248121,TIRUPATI,126549,33,Tirupati - Ward No.33,
251736,Kovvur,161508,20,Kovvur Ward No 20,
251724,Peddapuram,54049,2,Peddapuram (M) - Ward No.2,
251787,Yemmiganur,52335,6,Yemmiganur (M) - Ward No.6,
251736,Kovvur,161504,18,Kovvur Ward No 18,
251789,Kurnool,1297564,50,Kurnool Ward No. 50,
251770,Kavali,160749,21,Kavali M Ward No 21,
251792,Adoni,52855,17,Adoni (M) - Ward No.17,
251757,Guntur,59177,24,Guntur (M Corp.) - Ward No.24,
251746,Vijayawada,58280,56,Vijayawada (M Corp.) - Ward No.56,
