Local Body Code,Local Body Name,Local Body Type,District Level Parent Name,Intermediate Level Parent Name,Ward Code,Ward Number,Ward Name,Ward Name (In Local),
220,CHANGLANG,District Panchayat,,,100382,1,Ward No. 1,Ward No. 1,
221,DIBANG VALLEY,District Panchayat,,,107214,1,Ward No. 1,Ward No. 1,
222,EAST KAMENG,District Panchayat,,,87296,1,Ward No. 1,Ward No. 1,
223,EAST SIANG,District Panchayat,,,117885,1,Ward No. 1,Ward No. 1,
224,KURUNG KUMEY,District Panchayat,,,107458,1,Ward No. 1,Ward No. 1,
225,LOHIT,District Panchayat,,,95365,1,Ward No. 1,Ward No. 1,
226,LOWER DIBANG VALLEY,District Panchayat,,,94496,1,Ward No. 1,Ward No. 1,
227,LOWER SUBANSIRI,District Panchayat,,,79566,1,Ward No. 1,Ward No. 1,
228,PAPUM PARE,District Panchayat,,,101832,1,Ward No. 1,Ward No. 1,
230,TIRAP,District Panchayat,,,94799,1,Ward No. 1,Ward No. 1,
231,UPPER SIANG,District Panchayat,,,116925,1,Ward No. 1,Ward No. 1,
232,UPPER SUBANSIRI,District Panchayat,,,115438,1,Ward No. 1,Ward No. 1,
233,WEST KAMENG,District Panchayat,,,93254,1,Ward No. 1,Ward No. 1,
234,WEST SIANG,District Panchayat,,,120560,1,Ward No. 1,Ward No. 1,
2780,CHONGLONGAM,Intermediate Panchayat,ANJAW,,1220552,1,Roiliang,,
2780,CHONGLONGAM,Intermediate Panchayat,ANJAW,,1220553,2,Hamaliang,,
2780,CHONGLONGAM,Intermediate Panchayat,ANJAW,,1220554,3,Pailiang,,
2780,CHONGLONGAM,Intermediate Panchayat,ANJAW,,1220555,4,Kromna,,
2780,CHONGLONGAM,Intermediate Panchayat,ANJAW,,1220556,5,Metenglaiang,,
2780,CHONGLONGAM,Intermediate Panchayat,ANJAW,,1220557,6,Mailiang,,
2780,CHONGLONGAM,Intermediate Panchayat,ANJAW,,1220558,7,Chaglagam,,
2780,CHONGLONGAM,Intermediate Panchayat,ANJAW,,1220559,8,Taflagam,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220568,1,Kibithoo,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220569,2,Walong,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220570,3,Sarti,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220571,4,Blong,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220572,5,Longling,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220573,6,Walla,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220574,7,Watong,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220575,8,Tamblu,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220576,9,Lautul,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220577,10,Mechong,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220578,11,Shirong,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220579,12,Kanblat,,
2781,HAWAI-WALONG,Intermediate Panchayat,ANJAW,,1220580,13,Halaikrong,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220540,1,Lamako Machimna,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220541,2,Amliang,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220542,3,Tafraliang,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220543,4,Hayuliang,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220544,5,Barafu,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220545,6,Mohikong,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220546,7,Suplang,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220547,8,Gamliang,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220548,9,Danglat,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220549,10,Braigong,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220550,11,Goiliang,,
2782,HAYULIANG,Intermediate Panchayat,ANJAW,,1220551,12,Nilang,,
2784,MANCHAL,Intermediate Panchayat,ANJAW,,1220560,1,Quibang,,
2784,MANCHAL,Intermediate Panchayat,ANJAW,,1220561,2,Siet,,
2784,MANCHAL,Intermediate Panchayat,ANJAW,,1220562,3,Tehuliang,,
2784,MANCHAL,Intermediate Panchayat,ANJAW,,1220563,4,Yatong,,
2784,MANCHAL,Intermediate Panchayat,ANJAW,,1220564,5,Pangung,,
2784,MANCHAL,Intermediate Panchayat,ANJAW,,1220565,6,Chambab,,
2784,MANCHAL,Intermediate Panchayat,ANJAW,,1220566,7,Manchal,,
2784,MANCHAL,Intermediate Panchayat,ANJAW,,1220567,8,Khuiliang,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220149,1,Remi,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220150,2,Miglung,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220151,3,Mirem-I,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220152,4,Mirem-II,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220153,5,Mirem-III,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220154,6,Mirem-IV,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220155,7,Mirem-V,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220156,8,Ledum-I,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220157,9,Ledum-II,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220158,10,Bilat-I,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220159,11,Bilat-II,,
2755,BILAT,Intermediate Panchayat,EAST SIANG,,1220160,12,Mikong,,
2756,BOGONG,Intermediate Panchayat,EAST SIANG,,1220363,1,Rasam,,
2756,BOGONG,Intermediate Panchayat,EAST SIANG,,1220364,2,Tigra,,
2756,BOGONG,Intermediate Panchayat,EAST SIANG,,1220365,3,Gune,,
2756,BOGONG,Intermediate Panchayat,EAST SIANG,,1220366,4,Boying,,
2756,BOGONG,Intermediate Panchayat,EAST SIANG,,1220367,5,Mongku,,
2756,BOGONG,Intermediate Panchayat,EAST SIANG,,1220368,6,Kelek-Roing,,
2756,BOGONG,Intermediate Panchayat,EAST SIANG,,1220369,7,Rengging,,
2756,BOGONG,Intermediate Panchayat,EAST SIANG,,1220370,8,Tebo,,
2756,BOGONG,Intermediate Panchayat,EAST SIANG,,1220371,9,Balek,,
2756,BOGONG,Intermediate Panchayat,EAST SIANG,,1220372,10,Yapgo,,
2756,BOGONG I,Intermediate Panchayat,EAST SIANG,,1220363,1,Rasam,,
2756,BOGONG I,Intermediate Panchayat,EAST SIANG,,1220364,2,Tigra,,
2756,BOGONG I,Intermediate Panchayat,EAST SIANG,,1220365,3,Gune,,
2756,BOGONG I,Intermediate Panchayat,EAST SIANG,,1220366,4,Boying,,
2756,BOGONG I,Intermediate Panchayat,EAST SIANG,,1220367,5,Mongku,,
2756,BOGONG I,Intermediate Panchayat,EAST SIANG,,1220368,6,Kelek-Roing,,
2756,BOGONG I,Intermediate Panchayat,EAST SIANG,,1220369,7,Rengging,,
