Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
276621,ITANAGAR,1294951,6,"H Sector Tinali, H Sector, Holy Chirst School, F and G Sector, PK Commercial area, Old Ganga Market, APSTS Station",
249699,Bomdila,8869,1,Bomdila (CT) - Ward No.1,
276622,PASIGHAT,1294961,7,"DC office complex, officers club, Telephone exchange, Centenary park, Veterinary complex, Solung ground, Pane Spiring area, Naam Ghar and Balaji Temple, APP colony, M.Borang oil depot, Police Station and Jail and Fishery complex.",
276621,ITANAGAR,1294948,3,"Chandranagar Bridge point to petrol pump near the bridge, Mobile Tower Area, Police Petrol Pump Area, Police Colony upto VKV School, Police Colony",
249705,Along,72984,1,Along (CT) - Ward No.1,
276621,ITANAGAR,1294952,7,"Division IV, Senki Park, Senki Park Primary School, CM Bungalow, Kali Mandir, BSI, Water Treatment Plant, UD/PHE Colony, Niti Vihar Minister Bungalow area, Lobi Colony, ITBP area",
276621,ITANAGAR,1294950,5,"RKM Hospital, Vivek Vihar, Minister Colony, Therayada Buddhist jTemple, RKM Post Office, Arunodaya Hr. Sec School, Holongi Market, Baskside of Homeopathic Medical College, Hill Top area of Vivek Vihar, Dera Natung Govt. College Area, Polytechnic",
249702,Naharlagun,74273,1,Naharlagun (CT) - Ward No.1,
276621,ITANAGAR,1294949,4,"Chandranagar Market Area, Chandranagar Colony, Chandranagar Forest Colony, Vivek Vihar Police point, Gyan Ganga School, WRD Office, Director of Fishery, Lower part of H Sector",
276621,ITANAGAR,1294985,28,"G Extension, G Extension Market Area,Damsite",
249710,Namsai,15560,1,Namsai (CT) - Ward No.1,
276621,ITANAGAR,1294978,21,"Damside down colony, Transport Colony,Polo Colony, Down Polo Colony,Upper D Sector",
276622,PASIGHAT,1294966,12,"AIR station, VTI campus, Gumin Nagar, DIET and KV school area, FCI godown, UD shoping complex and Guest house, APST colony and Panyang Sawmill",
249714,Khonsa,72986,1,Khonsa (CT) - Ward No.1,
249708,Roing,15559,1,Roing (CT) - Ward No.1,
276622,PASIGHAT,1294959,5,"PHED enquiry office and colony, Power House area, PWD division store and garage, WRD office, APMC Hut, Museum and Library, Buddhist Gompa, Officers colony, General Hospital, Town club area, PWD and CWC office",
276622,PASIGHAT,1294960,6,"Pasighat general ground, Airfield-Muriline area, Lower paglek, IOC department campus, DFOs residence, CRPF barracks, Fire station.",
276621,ITANAGAR,1294969,12,"SIRD office, Model Englimsh school, DD colony, Tele Plaza, Congress Bawan, Science and Technology office, AP Co-operative Apex bank complex, Central Library, Director of Land Management, Department of RD, HR. Sec. School, JNK Public school, ICICI ban",
249709,Tezu,72985,1,Tezu (CT) - Ward No.1,
276621,ITANAGAR,1294931,1,"CHIMPU, CWC, WRD, VKV,FOREST COOPERATION, SFRI, DPMHI,IRBN HEADQUARTERS",
249701,Itanagar,8871,1,Itanagar (CT) - Ward No.1,
276621,ITANAGAR,1294953,8,"Niti Vihar Banquet Hall, Staff Colony, Middle School, Maya Motors, Niti Vihar Market, Energy Park, Part of IG Park, Left Part of Mowb-II, UD Area",
276621,ITANAGAR,1294979,22,"Polo Colony, Upper D Sector,D Sector Court Area",
276622,PASIGHAT,1294957,3,"Micro Wave Tower Area, Forest Colony, D. Ering M.E School, Agam colony, SFS school, Field publicity colony, NHPC and Jaypee colony",
276621,ITANAGAR,1294974,17,"ADI Basti Area, Nyokum Lapang, DPS School, Mithun Gate, 6th Mile, Shiv Mandir, Jami Jate, Sanglo Putung, Modi Rijo",
276621,ITANAGAR,1294970,13,"Ganga Market, Sumo Counter, RK Mission Hospital Gate, Helipad Area, Auto Stand, Akashdeep, Radio Oolala, Ringu Enterprise, SP Office, Convent Mission School, Donyi Colony, IRBN Housing Colony-Jollang",
276621,ITANAGAR,1294980,23,"Barapani D Sector, C Sector,Barapani Market Area,Dogum Colony DC Office Area",
276621,ITANAGAR,1294976,19,"Papu Nallah, Oju Mission,Royal International School,Press Colony,Papu Colony,Papu Hill",
276621,ITANAGAR,1294977,20,"Pachin Colony, Popu Village, Barapani,SRS Unit",
276621,ITANAGAR,1294975,18,"P-Sector Middle School, Namgar, A-Sector,Raj Bhawan Power House, Museum Colony, Raj Bhawan cooperative,Raj Bhawan Complex, B-Sector, Tennis Court, Inbetween Shiv Mandir and Mithun Gate Nallah along NH-52 A",
276621,ITANAGAR,1294932,2,"Horticulture areas, WATS, Gohpur Market, Hotel Bomdila area, Gas Agency, Director of Economics and Statistic, ZSI, GSI, Police Headquarter",
276621,ITANAGAR,1294973,16,"Upper Part of Gandhi Market,Elezar English School, Prasar Bharati Office, DD Staff Colony,Opposite Hotel Donyi Polo, BSNL Office, P-Sector, O Point Market, PCCF Office",
249713,Deomali,15563,1,Deomali (CT) - Ward No.1,
276621,ITANAGAR,1294981,24,"A Sector,Shiv Mandir, SE Power, Industry Area, Indira Academy Area, Dogum Colony",
276622,PASIGHAT,1294964,10,"Primary school Jarku, Jarku Village, Lower Muriling, East lower Banskota, Cementry and SW dumping ground area",
