Local Body Code,Local Body Name,Local Body Type,"District Level
Parent Name
","Intermediate Level
Parent Name",Ward Code,"Ward
Number","Ward Name
(In English)
","Ward Name
(In Local)
",
243,BARPETA,District Panchayat,,,112985,1,1 No. Alopatty Majarchar ZPC,,
243,BARPETA,District Panchayat,,,607190,2,2 No. Barbhitha ZPC,,
244,BONGAIGAON,District Panchayat,,,115644,1,Ward No. 1,Ward No. 1,
245,CACHAR,District Panchayat,,,98933,1,Ward No. 1,Ward No. 1,
246,DARRANG,District Panchayat,,,118955,1,Ward No. 1,Ward No. 1,
247,DHEMAJI,District Panchayat,,,79352,1,Dhemaji,Dhemaji,
247,DHEMAJI,District Panchayat,,,692669,2,Machkhowa,Machkhowa,
247,DHEMAJI,District Panchayat,,,692672,4,Sissiborgaon,Sissiborgaon,
247,DHEMAJI,District Panchayat,,,692675,5,Sissitongani,Sissitongani,
247,DHEMAJI,District Panchayat,,,692678,6,Pub-Jonai,,
247,DHEMAJI,District Panchayat,,,692680,7,Simen Chapori,Simen Chapori,
247,DHEMAJI,District Panchayat,,,692688,3,Bordoloni,Bordoloni,
248,DHUBRI,District Panchayat,,,115988,1,KAKRIPARA ZPC,,
248,DHUBRI,District Panchayat,,,1132962,2,KALAPANI ZPC,,
248,DHUBRI,District Panchayat,,,1132963,3,FEKAMARI ZPC,,
248,DHUBRI,District Panchayat,,,1132964,4,SUKCHAR ZPC,,
248,DHUBRI,District Panchayat,,,1132965,5,DAKHIN SALMARA ZPC,,
248,DHUBRI,District Panchayat,,,1132966,6,FAKIRGANJ ZPC,,
248,DHUBRI,District Panchayat,,,1132967,7,CHALAKURA ZPC,,
248,DHUBRI,District Panchayat,,,1132968,8,BAHIR SALMARA ZPC,,
248,DHUBRI,District Panchayat,,,1132969,9,AIRKATA ZPC,,
248,DHUBRI,District Panchayat,,,1132970,10,GASPARA ZPC,,
248,DHUBRI,District Panchayat,,,1132971,11,MATIRCHAR ZPC,,
248,DHUBRI,District Panchayat,,,1132972,12,ADABARI ZPC,,
248,DHUBRI,District Panchayat,,,1132973,13,MADHUSOULMARI TIAMARI ZPC,,
248,DHUBRI,District Panchayat,,,1132974,14,UTTAR GERAMARI ZPC,,
248,DHUBRI,District Panchayat,,,1132975,15,ALOMGANJ ZPC,,
248,DHUBRI,District Panchayat,,,1132976,16,MADHUSOULMARI ZPC,,
248,DHUBRI,District Panchayat,,,1132977,17,MOTERJHAR ZPC,,
248,DHUBRI,District Panchayat,,,1132978,18,GOLAKGANJ ZPC,,
248,DHUBRI,District Panchayat,,,1132979,19,KUMARGANJ ZPC,,
248,DHUBRI,District Panchayat,,,1132980,20,HALAKURA ZPC,,
248,DHUBRI,District Panchayat,,,1132981,21,AGOMANI ZPC,,
248,DHUBRI,District Panchayat,,,1132982,22,HATIDHURA ZPC,,
