Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
249854,Guwahati,69087,11,Guwahati (M Corp.) - Ward No.11,
253264,Bakulia,550,1,Bakulia (TC) - Ward No. 1,
249870,Hojai,66028,10,Hojai (MB) - Ward No.10,
249823,Basugaon,12484,3,Basugaon (TC) - Ward No.3,
249907,Nazira,12883,8,Nazira (MB) - Ward No.8,
249888,Tinsukia,12844,17,Kachujan Gaon (OG) - Ward No.17,
249872,Lumding,66059,12,Lumding (MB) - Ward No.12,
249912,Jorhat,66320,11,Jorhat (MB) - Ward No.11,
249844,Howli,12555,3,Howli (TC) - Ward No.3,
249940,Karimganj,66382,12,Karimganj (MB) - Ward No.12,
249836,Bongaigaon,69013,11,Bongaigaon (MB) - Ward No.11,
249905,Sibsagar,12872,11,Sibsagar (MB) - Ward No.11,
249866,Nagaon,12613,6,Nagaon (MB) - Ward No.6,
249870,Hojai,66024,6,Hojai (MB) - Ward No.6,
249944,Hailakandi,13434,2,Hailakandi (MB) - Ward No.2,
249843,Barpeta,69049,11,Barpeta (MB) - Ward No.11,
249866,Nagaon,12626,19,Nagaon (MB) - Ward No.19,
249944,Hailakandi,13437,5,Hailakandi (MB) - Ward No.5,
249886,Doom Dooma,12824,7,Doom Dooma (TC) - Ward No.7,
249927,Howraghat,66350,1,Howraghat (TC) - Ward No.1,
249930,Haflong,66364,10,Haflong (TC) - Ward No.10,
249886,Doom Dooma,12820,3,Doom Dooma (TC) - Ward No.3,
249854,Guwahati,65809,58,Guwahati (M Corp.) - Ward No.58,
249866,Nagaon,12618,11,Nagaon (MB) - Ward No.11,
249827,Dhubri,12503,14,Dhubri (MB) - Ward No.14,
249839,Bijni,12537,3,Bijni (TC) - Ward No.3,
249866,Nagaon,12610,3,Nagaon (MB) - Ward No.3,
249834,Goalpara,68991,18,Goalpara (MB) - Ward No.18,
249940,Karimganj,66396,26,Karimganj (MB) - Ward No.26,
249882,North Lakhimpur,12707,1,North Lakhimpur (MB) - Ward No.1,
249941,Badarpur,13429,3,Badarpur (TC) - Ward No.3,
249877,Tezpur,12670,7,Tezpur (MB) - Ward No.7,
249916,Titabor Town,935088,2,Titabor Town (CT) - Ward No.2,
249866,Nagaon,12624,17,Nagaon (MB) - Ward No.17,
249944,Hailakandi,883792,14,Hailakandi (MB) - Ward No. 14,
249877,Tezpur,12677,14,Tezpur (MB) - Ward No.14,
263017,TeokTC,934988,3,Ward No 3,
249881,Bihpuria,5962,7,Bihpuria (TC) - Ward No.7,
249877,Tezpur,12674,11,Tezpur (MB) - Ward No.11,
249892,Margherita,12849,1,Margherita (CT) - Ward No.1,
249888,Tinsukia,12832,5,Tinsukia (MB) - Ward No.5,
249933,Silchar,12980,2,Silchar (MB) - Ward No.2,
249875,Dhekiajuli,66070,8,Dhekiajuli (MB) - Ward No.8,
