Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
249575,Sitamarhi,35657,2,Sitamarhi (M) - Ward No.2
249580,Jhanjharpur,35726,3,Jhanjharpur (NP) - Ward No.3
249579,Madhubani,35702,4,Madhubani (M) - Ward No.4
249627,Naugachhia,71819,16,Naugachhia (NP) - Ward No.16
249670,Sasaram,1298173,37,Sasaram (M) - Ward No.37
249647,Maner,36378,5,Maner (NP) - Ward No.5
249683,Bodh Gaya,3628,5,Bodh Gaya (NP) - Ward No.5
276648,Mohaniya,1298392,6,Mohaniya (NP) - Ward No.06
277098,Bakhtiyarpur,1298635,18,Bakhtiyarpur (M) - Ward No.18
249561,Narkatiaganj,35526,5,Narkatiaganj (NP) - Ward No.5
249669,Nokha,36711,12,Nokha (NP) - Ward No.12
249644,Islampur,71883,18,Islampur (NP) - Ward No.18
249580,Jhanjharpur,1299203,8,Jhanjharpur (NP) - Ward No.8
249596,Manihari,35888,4,Manihari (NP) - Ward No.4
249650,Patna,1298517,48,Patna (M Corp.) - Ward No.48
249650,Patna,36446,36,Patna (M Corp.) - Ward No.36
265438,Ekma Bazar,1298366,8,Ekma Bazar (NP) - Ward No.08
249687,Jamui,59989,4,Jamui (M) - Ward No.4
265437,Parsa Bazar,1298910,3,Parsa (NP) - Ward No.3
249592,Purnea,35866,16,Purnia (M Corp.) - Ward No.16
249612,Chapra,36078,31,Chapra (M Corp.) - Ward No.31
249680,Gaya,1298801,43,Gaya (M Corp.) - Ward No.43
249597,Madhepura,35897,1,Madhepura (M) - Ward No.1
249684,Nawada,36864,5,Nawada (M) - Ward No.5
249657,Mokama,1298587,20,Mokameh (M) - Ward No.20
249650,Patna,1298543,74,Patna (M Corp.) - Ward No.74
249619,Samastipur,36153,1,Samastipur (M) - Ward No.1
249605,Mirganj,35979,9,Mirganj (NP) - Ward No.9
249575,Sitamarhi,35675,20,Sitamarhi (M) - Ward No.20
249649,Khagaul,36404,9,Khagaul (M) - Ward No.9
249659,Arrah,59624,27,Arrah (M Corp.) - Ward No.27
249613,Marhaura,36087,8,Marhaura (NP) - Ward No.8
249685,Warisaliganj,36885,10,Warisaliganj (NP) - Ward No.10
249683,Bodh Gaya,36847,7,Bodh Gaya (NP) - Ward No.7
277128,Mehsi,1299128,7,Mehshi (NP) - Ward No.7
265438,Ekma Bazar,1298371,13,Ekma Bazar (NP) - Ward No.13
