Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
276386,CHANDIGARH,2480410,35,CHANDIGARH MC WARD NO 35,
276386,CHANDIGARH,2480409,34,CHANDIGARH MC WARD NO 34,
276386,CHANDIGARH,1302555,4,CHANDIGARH MC WARD NO 4,
276386,CHANDIGARH,1302564,13,CHANDIGARH MC WARD NO 13,
276386,CHANDIGARH,2480408,33,CHANDIGARH MC WARD NO 33,
276386,CHANDIGARH,1302562,11,CHANDIGARH MC WARD NO 11,
276386,CHANDIGARH,1302575,24,CHANDIGARH MC WARD NO 24,
276386,CHANDIGARH,1302561,10,CHANDIGARH MC WARD NO 10,
276386,CHANDIGARH,2480406,31,CHANDIGARH MC WARD NO 31,
276386,CHANDIGARH,2480405,30,CHANDIGARH MC WARD NO 30,
276386,CHANDIGARH,1302560,9,CHANDIGARH MC WARD NO 9,
276386,CHANDIGARH,1302576,25,CHANDIGARH MC WARD NO 25,
276386,CHANDIGARH,1302577,26,CHANDIGARH MC WARD NO 26,
276386,CHANDIGARH,2480404,29,CHANDIGARH MC WARD NO 29,
276386,CHANDIGARH,1302559,8,CHANDIGARH MC WARD NO 8,
276386,CHANDIGARH,1302553,2,CHANDIGARH MC WARD NO 2,
276386,CHANDIGARH,1302571,20,CHANDIGARH MC WARD NO 20,
276386,CHANDIGARH,1302569,18,CHANDIGARH MC WARD NO 18,
276386,CHANDIGARH,2480403,28,CHANDIGARH MC WARD NO 28,
276386,CHANDIGARH,1302552,1,CHANDIGARH MC WARD NO 1,
276386,CHANDIGARH,1302557,6,CHANDIGARH MC WARD NO 6,
276386,CHANDIGARH,1302566,15,CHANDIGARH MC WARD NO 15,
276386,CHANDIGARH,1302556,5,CHANDIGARH MC WARD NO 5,
276386,CHANDIGARH,1302558,7,CHANDIGARH MC WARD NO 7,
276386,CHANDIGARH,1302563,12,CHANDIGARH MC WARD NO 12,
276386,CHANDIGARH,2480402,27,CHANDIGARH MC WARD NO 27,
276386,CHANDIGARH,1302567,16,CHANDIGARH MC WARD NO 16,
276386,CHANDIGARH,1302574,23,CHANDIGARH MC WARD NO 23,
276386,CHANDIGARH,1302568,17,CHANDIGARH MC WARD NO 17,
276386,CHANDIGARH,1302554,3,CHANDIGARH MC WARD NO 3,
276386,CHANDIGARH,1302565,14,CHANDIGARH MC WARD NO 14,
276386,CHANDIGARH,1302572,21,CHANDIGARH MC WARD NO 21,
276386,CHANDIGARH,1302573,22,CHANDIGARH MC WARD NO 22,
276386,CHANDIGARH,1302570,19,CHANDIGARH MC WARD NO 19,
276386,CHANDIGARH,2480407,32,CHANDIGARH MC WARD NO 32,
,,,,,
,,,,,
