Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
250637,Kumhari,34607,22,SATYA NAGAR KUGDA WARD,
250593,Gharghoda,32573,10,CHANDRASEKHAR WARD,
253179,Birgaon,1291882,26,SHAHID VEER NARAYAN SINGH WARD,
273466,BODLA,1292429,14,MAA SHARDA WARD,
250665,Jagdalpur,1291835,42,Mahendra Karma Ward (M) - Ward No. 42,
250612,Ratanpur,33705,12,MAULIMATA WARD,
253246,BHOPALPATNAM,1293094,12,WARD NO.12,
250653,Raipur,35186,19,DR. APJ ABDUL KALAM WARD,
253149,Saja,1292659,1,MAHARANA PRATAP WARD,
250605,Champa,61690,8,Lakhanlal Dewangan Ward,
250650,Arang,1292234,10,sahid Bhagat singh ward,
253151,Devkar,1292473,13,SUBHASH CHANDRA WARD,
250640,Durg,61852,11,SHANKAR NAGAR POORV,
250621,Bodri,33802,4,SHAHID BHAGAR SINGH WARD,
253284,JAIJAIPUR,1292359,12,Chhatrapati Shivaji Ward,
250640,Durg,61860,19,SHAHID BHAGAT SINGH DAKSHIN,
253149,Saja,1292670,12,SIVIL WARD,
248143,Bastar,1292841,3,BHARVA BABA WARD,
253181,Churra,800194,03,DINDAYAL UPADHAYA WARD,
250656,Bilaigarh,1292692,4,SWAMI VIVEKANAND WARD,
248062,DHAMTARI,35434,18,VINDHYAVASHINI WARD,
253277,Saria,1292705,6,Sahid Bhagat singh ward,
250661,Mahasamund,1292056,22,Pt. Jaylal Prasad Sharma Ward,
250588,Ambikapur,1291855,47,Gangapur Ward,
253174,Malhar,1292276,4,barmbaba ward,
253145,Bhanupratappur,1292390,7,SHIWAJI WARD,
250639,Bhilai,34538,4,RADHIKA NAGAR WARD,
250638,Bhilai Charoda,61898,10,VIDYUT MANDAL WARD,
250630,Dongargaon,34250,14,VALLABH BHAI WARD,
253179,Birgaon,1291858,2,DR.RAJENDRA PRASAD WARD,
250588,Ambikapur,61629,4,Sant Mother Teresa Ward,
250592,Dharamjaigarh,32557,9,Behrapara Ward,
250642,Balod,34610,3,MAHAMAYA WARD,
250668,Geedam,35488,1,Rajendra Parasad Ward,
250639,Bhilai,34537,3,KOSA NAGAR WARD,
250653,Raipur,35218,51,PT. VIDYACHARAN SHUKL WARD,
253174,Malhar,1292285,13,Madhaya pradesh ward,
250594,Raigarh,32590,12,VIJAYPUR WARD,
250579,Baikunthpur,1291969,18,Ravindra Nath Taigore Ward,
253199,Kotba,1292674,1,SATI WARD,
250605,Champa,61696,14,Prem Nagar Ward,
250636,Jamul,34503,5,Ganesh Nagar Ward,
250671,Kirandul,35502,3,Khudi Ram Bos,
250652,Kharora,1292979,4,Sahid veernarayan singh ward,
250628,Dongargarh,34175,2,INDIRA WARD,
253277,Saria,1292710,13,Sardar Vallabh bhai patel ward,
250657,Tilda Newra,35344,13,Jhulelal Ward,
253118,Kusmi,1292883,15,DR. RAJENDRA PRASAD WARD,
250657,Tilda Newra,35242,7,Mohbhattha Para Ward,
253287,SARAGAON,1292520,12,Dau Baba Ward,
250603,Akaltara,32724,3,P.DINDAYAL UPADHYAY WARD,
250640,Durg,61883,42,KASARIDIH PASHCHIM,
253172,Pathariya,1292599,10,Vivekanad ward,
250669,Dantewada,62490,3,Rajiv Nagar ward,
253184,Lavan,1293121,10,Thakur Dev Ward,
253108,Magarlod,121125,08,WARD NO 08,
250655,Mana Camp,1292894,12,PANDIT DINDAYAL UPADHYAY WARD,
250607,Naya Baradwar,33626,8,Dr. Rajendra Prasad Ward,
253160,Maro,1292576,7,BAJRAND WARD,
250598,Korba,1291927,29,Podibahar Ward,
253216,Sukma,1292210,13,CHANDRSHEKHAR WARD,
250622,Bilha,34112,14,SARDAR VALLBH BHAI PATEL WARD,
250640,Durg,69650,57,URLA PASHCHIM,
