Local Body Code,Local Body Name,Local Body Type,"District Level
Parent Name
","Intermediate Level
Parent Name",Ward Code,"Ward
Number","Ward Name
(In English)
","Ward Name
(In Local)
"
423,DADRA AND NAGAR HAVELI,District Panchayat,,,102897,1,Ward No. 1,Ward No. 1
422,District Panchayat of Daman,District Panchayat,,,611188,1,Marwad,
422,District Panchayat of Daman,District Panchayat,,,611204,2,Kadaiya,
422,District Panchayat of Daman,District Panchayat,,,611205,3,Dunetha - A,
422,District Panchayat of Daman,District Panchayat,,,611206,4,Dunetha - B,
422,District Panchayat of Daman,District Panchayat,,,611207,5,Bhimpore,
422,District Panchayat of Daman,District Panchayat,,,611208,6,Varkund,
422,District Panchayat of Daman,District Panchayat,,,611209,7,Antiawad,
422,District Panchayat of Daman,District Panchayat,,,611210,8,Dabhel,
422,District Panchayat of Daman,District Panchayat,,,611211,9,Ghelwad,
422,District Panchayat of Daman,District Panchayat,,,611212,10,Somnath -A,
422,District Panchayat of Daman,District Panchayat,,,611213,11,Somnath -B,
422,District Panchayat of Daman,District Panchayat,,,611214,12,Kachigam,
422,District Panchayat of Daman,District Panchayat,,,2519956,13,Patlara,
422,District Panchayat of Daman,District Panchayat,,,2519957,14,Magarwada,
422,District Panchayat of Daman,District Panchayat,,,2519958,15,Damanwada,
422,District Panchayat of Daman,District Panchayat,,,2519959,16,Pariyari,
259706,District Panchayat of Diu,District Panchayat,,,612891,13,Vanakbara A,
259706,District Panchayat of Diu,District Panchayat,,,613888,14,Vanakbara B,
259706,District Panchayat of Diu,District Panchayat,,,613889,15,Vanakbara C,
259706,District Panchayat of Diu,District Panchayat,,,613890,16,Saudiwadi A,
259706,District Panchayat of Diu,District Panchayat,,,613892,17,Saudiwadi B,
259706,District Panchayat of Diu,District Panchayat,,,613893,18,Bucharwada A,
259706,District Panchayat of Diu,District Panchayat,,,613895,19,Bucharwada B,
259706,District Panchayat of Diu,District Panchayat,,,613896,20,Zolawadi,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147613,Jan-13,Velugam I,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147614,Feb-13,Velugam II,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147616,Mar-13,Amboli I,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147617,Apr-13,Amboli II,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147771,May-13,Tinoda Bindrabin,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147822,Jun-13,Khadoli,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147829,Jul-13,Karchgam Kala I,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147833,Aug-13,Karchgam Kala II,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147836,Sep-13,Kherdi I,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147837,Oct-13,Kherdi II,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147839,Nov-13,Kherdi III,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147842,Dec-13,Parzai I,
254321,AMBOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,147845,13/13,Parzai II Dolara,
254322,DADRA,Village Panchayat,DADRA AND NAGAR HAVELI,,147851,01-May,Dadra I,
254322,DADRA,Village Panchayat,DADRA AND NAGAR HAVELI,,147852,02-May,Dadra II,
254322,DADRA,Village Panchayat,DADRA AND NAGAR HAVELI,,147856,03-May,Dadra III,
254322,DADRA,Village Panchayat,DADRA AND NAGAR HAVELI,,147861,04-May,Tighra,
254322,DADRA,Village Panchayat,DADRA AND NAGAR HAVELI,,147868,05-May,Demani,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147962,Jan-14,Chikhali I,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147963,Feb-14,Chikhali II,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147964,Mar-14,Surangi I,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147965,Apr-14,Surangi II,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147966,May-14,Surangi III,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147967,Jun-14,Apti,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147968,Jul-14,Pati,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147969,Aug-14,Vasona I,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147970,Sep-14,Vasona II,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147971,Oct-14,Chinchpada I,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147972,Nov-14,Chinchpada II Zantipada,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147974,Dec-14,Dapada I,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147975,13/14,Dapada II,
254323,DAPADA,Village Panchayat,DADRA AND NAGAR HAVELI,,147976,14/14,Dapada III,
254324,DUDHANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147978,01-Sep,Dudhani I,
254324,DUDHANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147979,02-Sep,Dudhani II,
254324,DUDHANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147980,03-Sep,Kauncha I,
254324,DUDHANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147983,04-Sep,Kauncha II Jamalpada,
254324,DUDHANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147985,05-Sep,Bildhari Gunsa,
254324,DUDHANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147986,06-Sep,Karchond I,
254324,DUDHANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147987,07-Sep,Karchond II,
254324,DUDHANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147990,08-Sep,Karchond III Ambabari Ghodbari,
254324,DUDHANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147991,09-Sep,Vaghchauda Medha Kherarbari,
254325,KHANVEL,Village Panchayat,DADRA AND NAGAR HAVELI,,147994,01-Nov,Rudana I,
254325,KHANVEL,Village Panchayat,DADRA AND NAGAR HAVELI,,147997,02-Nov,Rudana II,
254325,KHANVEL,Village Panchayat,DADRA AND NAGAR HAVELI,,147999,03-Nov,Khanvel I,
254325,KHANVEL,Village Panchayat,DADRA AND NAGAR HAVELI,,148001,04-Nov,Khanvel II,
254325,KHANVEL,Village Panchayat,DADRA AND NAGAR HAVELI,,148004,05-Nov,Khanvel III,
254325,KHANVEL,Village Panchayat,DADRA AND NAGAR HAVELI,,148009,06-Nov,Talavali Chauda,
254325,KHANVEL,Village Panchayat,DADRA AND NAGAR HAVELI,,148013,07-Nov,Khutali I Umarvarni,
254325,KHANVEL,Village Panchayat,DADRA AND NAGAR HAVELI,,148014,08-Nov,Khutali II and III,
254325,KHANVEL,Village Panchayat,DADRA AND NAGAR HAVELI,,148015,09-Nov,Shelti I,
254325,KHANVEL,Village Panchayat,DADRA AND NAGAR HAVELI,,148016,10-Nov,Shelti II,
254325,KHANVEL,Village Panchayat,DADRA AND NAGAR HAVELI,,148017,11-Nov,Shelti III and Goratpada,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147674,01-Dec,Kilvani,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147754,02-Dec,Sili I,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147756,03-Dec,Sili II,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147758,04-Dec,Sili III,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147762,05-Dec,Sili IV,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147764,06-Dec,Galonda I,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147765,07-Dec,Galonda II,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147772,08-Dec,Galonda III,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147785,09-Dec,Galonda IV,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147788,10-Dec,Falandi,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147792,11-Dec,Umarkui I,
254326,KILVANI,Village Panchayat,DADRA AND NAGAR HAVELI,,147795,12-Dec,Umarkui II,
254327,MANDONI,Village Panchayat,DADRA AND NAGAR HAVELI,,148019,01-Oct,Mandoni,
254327,MANDONI,Village Panchayat,DADRA AND NAGAR HAVELI,,148026,02-Oct,Chisda I,
254327,MANDONI,Village Panchayat,DADRA AND NAGAR HAVELI,,148027,03-Oct,Chisda II,
254327,MANDONI,Village Panchayat,DADRA AND NAGAR HAVELI,,148028,04-Oct,Sindoni I,
254327,MANDONI,Village Panchayat,DADRA AND NAGAR HAVELI,,148029,05-Oct,Sindoni II,
254327,MANDONI,Village Panchayat,DADRA AND NAGAR HAVELI,,148030,06-Oct,Khedpa,
254327,MANDONI,Village Panchayat,DADRA AND NAGAR HAVELI,,148031,07-Oct,Bedpa I,
254327,MANDONI,Village Panchayat,DADRA AND NAGAR HAVELI,,148032,08-Oct,Bedpa II,
254327,MANDONI,Village Panchayat,DADRA AND NAGAR HAVELI,,148033,09-Oct,Vasda I and Besda,
254327,MANDONI,Village Panchayat,DADRA AND NAGAR HAVELI,,148035,10-Oct,Vasda II,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148040,Jan-13,Dhapsa and Naroli I,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148042,Feb-13,Naroli II,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148044,Mar-13,Naroli III,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148047,Apr-13,Naroli IV,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148049,May-13,Naroli V and Kanadi,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148052,Jun-13,Naroli VI,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148054,Jul-13,Naroli VII,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148056,Aug-13,Naroli VIII,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148058,Sep-13,Kharadpada I,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148060,Oct-13,Kharadpada II,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148061,Nov-13,Athal I,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148063,Dec-13,Athal II,
254328,NAROLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148064,13/13,Luhari,
254329,RAKHOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148066,01-Oct,Kudacha,
254329,RAKHOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148067,02-Oct,Rakholi I,
254329,RAKHOLI,Village Panchayat,DADRA AND NAGAR HAVELI,,148068,03-Oct,Rakholi II,
