Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
276400,East Delhi Municipal Corporation,1289843,058-E,MUSTAFABAD,
276403,Delhi Cantonment Board,1293213,5,Ward No. 5,
276402,South Delhi Municipal Corporation,1290046,093-S,TUGHLAKABAD,
276402,South Delhi Municipal Corporation,1290051,098-S,JAITPUR,
276400,East Delhi Municipal Corporation,1289798,013-E,KISHAN KUNJ,
276403,Delhi Cantonment Board,1293211,3,Ward No. 3,
276400,East Delhi Municipal Corporation,1289803,018-E,ANAND VIHAR,
276400,East Delhi Municipal Corporation,1289819,034-E,NEW SEEMAPURI,
276401,North Delhi Municipal Corporation,1289864,015-N,MUKHERJEE NAGAR,
276401,North Delhi Municipal Corporation,1289875,026-N,VIJAY VIHAR,
276402,South Delhi Municipal Corporation,1289997,044-S,ROSHANPURA,
276402,South Delhi Municipal Corporation,1290001,048-S,BIJWASAN,
276401,North Delhi Municipal Corporation,1289912,063-N,SHALIMAR BAGH -SOUTH,
276401,North Delhi Municipal Corporation,1289894,045-N,SULTANPURI-A,
276401,North Delhi Municipal Corporation,1289953,104-N,NARAINA,
276401,North Delhi Municipal Corporation,1289951,102-N,RAJINDER NAGAR,
276403,Delhi Cantonment Board,1293212,4,Ward No. 4,
276402,South Delhi Municipal Corporation,1290006,053-S,SADH NAGAR,
276402,South Delhi Municipal Corporation,1290055,102-S,ABUL FAZAL ENCLAVE,
276402,South Delhi Municipal Corporation,1290011,058-S,KASTURBA NAGAR,
276401,North Delhi Municipal Corporation,1289850,001-N,NARELA,
276402,South Delhi Municipal Corporation,1290021,068-S,MEHRAULI,
276400,East Delhi Municipal Corporation,1289810,025-E,SHASTRI PARK,
276402,South Delhi Municipal Corporation,1290043,090-S,KALKAJI,
276402,South Delhi Municipal Corporation,1290023,070-S,CHHATARPUR,
276402,South Delhi Municipal Corporation,1290057,104-S,MADANPUR KHADAR WEST,
276400,East Delhi Municipal Corporation,1289847,062-E,SADATPUR,
276402,South Delhi Municipal Corporation,1290038,085-S,SANGAM VIHAR-E,
276402,South Delhi Municipal Corporation,1289999,046-S,RAJ NAGAR,
276401,North Delhi Municipal Corporation,1289891,042-N,KIRARI SULEMAN NAGAR,
276402,South Delhi Municipal Corporation,1290026,073-S,AYA NAGAR,
276400,East Delhi Municipal Corporation,1289833,048-E,SUBHASH MOHALLA,
276400,East Delhi Municipal Corporation,1289820,035-E,DILSHAD GARDEN,
276401,North Delhi Municipal Corporation,1289876,027-N,BUDH VHAR,
276402,South Delhi Municipal Corporation,1290053,100-S,ZAKIR NAGAR,
276403,Delhi Cantonment Board,1293214,6,Ward No. 6,
276401,North Delhi Municipal Corporation,1289936,087-N,BAZAR SITA RAM,
276401,North Delhi Municipal Corporation,1289943,094-N,DEV NAGAR,
276401,North Delhi Municipal Corporation,1289899,050-N,PEERA GARHI,
276400,East Delhi Municipal Corporation,1289827,042-E,SEELAMPUR,
276401,North Delhi Municipal Corporation,1289900,051-N,NIHAL VIHAR,
276402,South Delhi Municipal Corporation,1289985,032-S,SAGARPUR-EAST,
276401,North Delhi Municipal Corporation,1289858,009-N,KAMALPUR,
276400,East Delhi Municipal Corporation,1289836,051-E,JANTA COLONY,
276402,South Delhi Municipal Corporation,1289973,020-S,VIKASPURI,
276401,North Delhi Municipal Corporation,1289945,096-N,RANJIT NAGAR,
276401,North Delhi Municipal Corporation,1289879,030-N,BAWANA,
276401,North Delhi Municipal Corporation,1289949,100-N,MOTI NAGAR,
276401,North Delhi Municipal Corporation,1289855,006-N,KADIPUR,
276401,North Delhi Municipal Corporation,1289877,028-N,RITHALA,
276400,East Delhi Municipal Corporation,1289831,046-E,GHONDA,
276401,North Delhi Municipal Corporation,1289881,032-N,ROHINI-C,
276400,East Delhi Municipal Corporation,1289825,040-E,MAUJPUR,
276402,South Delhi Municipal Corporation,1289974,021-S,HASTSAL,
276402,South Delhi Municipal Corporation,1290047,094-S,PUL PEHLADPUR,
276401,North Delhi Municipal Corporation,1289931,082-N,ANAND PARBAT,
276402,South Delhi Municipal Corporation,1289964,011-S,PRATAP NAGAR,
276400,East Delhi Municipal Corporation,1289787,002-E,TRILOKPURI-EAST,
276402,South Delhi Municipal Corporation,1290056,103-S,MADANPUR KHADAR EAST,
276402,South Delhi Municipal Corporation,1290014,061-S,SAFDARJUNG ENCLAVE,
276401,North Delhi Municipal Corporation,1289926,077-N,MODEL TOWN,
276400,East Delhi Municipal Corporation,1289795,010-E,VINOD NAGAR,
276402,South Delhi Municipal Corporation,1290050,097-S,HARI NAGAR-B,
276400,East Delhi Municipal Corporation,1289809,024-E,GEETA COLONY,
276400,East Delhi Municipal Corporation,1289789,004-E,NEW ASHOK NAGAR,
276402,South Delhi Municipal Corporation,1290029,076-S,DEOLI,
276402,South Delhi Municipal Corporation,1289983,030-S,DABRI,
276401,North Delhi Municipal Corporation,1289861,012-N,TIMARPUR,
276401,North Delhi Municipal Corporation,1289867,018-N,DHIRPUR,
276400,East Delhi Municipal Corporation,1289839,054-E,SABOLI,
276402,South Delhi Municipal Corporation,1289967,014-S,MAHAVIR NAGAR,
276402,South Delhi Municipal Corporation,1290045,092-S,HARKESH NAGAR,
276401,North Delhi Municipal Corporation,1289873,024-N,ROHINI-A,
276401,North Delhi Municipal Corporation,1289923,074-N,NIMRI COLONY,
276401,North Delhi Municipal Corporation,1289940,091-N,RAM NAGAR,
276402,South Delhi Municipal Corporation,1289981,028-S,UTTAM NAGAR,
276402,South Delhi Municipal Corporation,1289990,037-S,MATIALA,
276400,East Delhi Municipal Corporation,1289845,060-E,SONIA VIHAR,
276401,North Delhi Municipal Corporation,1289888,039-N,MUNDKA,
276400,East Delhi Municipal Corporation,1289835,050-E,BABARPUR,
276400,East Delhi Municipal Corporation,1289793,008-E,KALYAN PURI,
276400,East Delhi Municipal Corporation,1289808,023-E,GHONDLI,
276402,South Delhi Municipal Corporation,1290048,095-S,BADARPUR,
276400,East Delhi Municipal Corporation,1289832,047-E,BRAHAM PURI,
276402,South Delhi Municipal Corporation,1290025,072-S,BHATI,
276402,South Delhi Municipal Corporation,1289965,012-S,KESHOPUR,
276400,East Delhi Municipal Corporation,1289786,001-E,MAYUR VIHAR PHASE-I,
276402,South Delhi Municipal Corporation,1289969,016-S,JANAKPURI SOUTH,
276400,East Delhi Municipal Corporation,1289805,020-E,PREET VIHAR,
276402,South Delhi Municipal Corporation,1289962,009-S,SUBHASH NAGAR,
276400,East Delhi Municipal Corporation,1289801,016-E,PANDAV NAGAR,
276401,North Delhi Municipal Corporation,1289887,038-N,NILOTHI,
276402,South Delhi Municipal Corporation,1289986,033-S,MANGLAPURI,
276402,South Delhi Municipal Corporation,1290054,101-S,SARITA VIHAR,
276401,North Delhi Municipal Corporation,1289880,031-N,POOTH KHURD,
276401,North Delhi Municipal Corporation,1289928,079-N,SHASTRI NAGAR,
276400,East Delhi Municipal Corporation,1289829,044-E,BHAJAN PURA,
276401,North Delhi Municipal Corporation,1289885,036-N,RANI KHERA,
276400,East Delhi Municipal Corporation,1289823,038-E,ROHTASH NAGAR,
276400,East Delhi Municipal Corporation,1289799,014-E,LAKSHMI NAGAR,
276402,South Delhi Municipal Corporation,1290017,064-S,VASANT VIHAR,
276401,North Delhi Municipal Corporation,1289929,080-N,SADAR BAZAR,
276401,North Delhi Municipal Corporation,1289871,022-N,BHALSWA,
276400,East Delhi Municipal Corporation,1289790,005-E,DALLUPURA,
276402,South Delhi Municipal Corporation,1289996,043-S,NAJAFGARH,
276402,South Delhi Municipal Corporation,1289959,006-S,TAGORE GARDEN,
276400,East Delhi Municipal Corporation,1289848,063-E,KHAJOORI KHAS,
276400,East Delhi Municipal Corporation,1289842,057-E,KARAWAL NAGAR-EAST,
276402,South Delhi Municipal Corporation,1290036,083-S,SANGAM VIHAR-C,
276400,East Delhi Municipal Corporation,1289814,029-E,VIVEK VIHAR,
276401,North Delhi Municipal Corporation,1289952,103-N,INDER PURI,
276402,South Delhi Municipal Corporation,1289956,003-S,RAJA GARDEN,
276400,East Delhi Municipal Corporation,1289828,043-E,GAUTAM PURI,
276402,South Delhi Municipal Corporation,1289994,041-S,GOPAL NAGAR,
276400,East Delhi Municipal Corporation,1289813,028-E,DILSHAD COLONY,
276401,North Delhi Municipal Corporation,1289906,057-N,ROHINI-F,
276403,Delhi Cantonment Board,1293209,1,Ward No. 1,
276401,North Delhi Municipal Corporation,1289854,005-N,BANKNER,
276402,South Delhi Municipal Corporation,1290034,081-S,KHANPUR,
276402,South Delhi Municipal Corporation,1290039,086-S,GREATER KAILASH,
276401,North Delhi Municipal Corporation,1289884,035-N,KANJHAWALA,
