Local Body Code,Local Body Name,Local Body Type,"District Level
Parent Name
","Intermediate Level
Parent Name",Ward Code,"Ward
Number","Ward Name
(In English)
","Ward Name
(In Local)
",
506,NORTH GOA,District Panchayat,,,103742,1,Ward No. 1,Ward No. 1,
507,SOUTH GOA,District Panchayat,,,91211,1,Ward No. 1,Ward No. 1,
254346,ADVALPAL,Village Panchayat,NORTH GOA,,1375119,Ward No 01,Ward No 01,,
254346,ADVALPAL,Village Panchayat,NORTH GOA,,1375120,Ward No 02,Ward No 02,,
254346,ADVALPAL,Village Panchayat,NORTH GOA,,1375121,Ward No 03,Ward No 03,,
254346,ADVALPAL,Village Panchayat,NORTH GOA,,1375122,Ward No 04,Ward No 04,,
254346,ADVALPAL,Village Panchayat,NORTH GOA,,1375123,Ward No 05,Ward No 05,,
254347,AGARWADA CHOPDEM,Village Panchayat,NORTH GOA,,1376484,Ward No 1,Ward No 1,,
254347,AGARWADA CHOPDEM,Village Panchayat,NORTH GOA,,1376485,Ward No 2,Ward No 2,,
254347,AGARWADA CHOPDEM,Village Panchayat,NORTH GOA,,1376486,Ward No 3,Ward No 3,,
254347,AGARWADA CHOPDEM,Village Panchayat,NORTH GOA,,1376487,Ward No 4,Ward No 4,,
254347,AGARWADA CHOPDEM,Village Panchayat,NORTH GOA,,1376488,Ward No 5,Ward No 5,,
254347,AGARWADA CHOPDEM,Village Panchayat,NORTH GOA,,1376489,Ward No 6,Ward No 6,,
254347,AGARWADA CHOPDEM,Village Panchayat,NORTH GOA,,1376490,Ward No 7,Ward No 7,,
254349,ALDONA,Village Panchayat,NORTH GOA,,1378731,Ward no 1,Ward no 1,,
254349,ALDONA,Village Panchayat,NORTH GOA,,1378732,Ward no 2,Ward no 2,,
254349,ALDONA,Village Panchayat,NORTH GOA,,1378733,Ward no 3,Ward no 3,,
254349,ALDONA,Village Panchayat,NORTH GOA,,1378734,Ward no 4,Ward no 4,,
254349,ALDONA,Village Panchayat,NORTH GOA,,1378735,Ward no 5,Ward no 5,,
254349,ALDONA,Village Panchayat,NORTH GOA,,1378736,Ward no 6,Ward no 6,,
