Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
252079,Valpoi,68180,10,Valpoi (M Cl) - Ward No.10,
252095,Cuncolim,1614,1,Cuncolim (M Cl) - Ward No.1,
252077,Sanquelim,932935,11,Sanquelim (M Cl) - Ward No.11,
252084,Mormugao,37262,16,Mormugao (M Cl) - Ward No.16,
252084,Mormugao,37250,4,Mormugao (M Cl) - Ward No.4,
252071,City Corporation Panaji,932809,30,Panaji (MCI) - Ward No.30,
252087,Margao,1494,6,Margao (M Cl) - Ward No.6,
252077,Sanquelim,1461,5,Sanquelim (M Cl) - Ward No.5,
252097,Quepem,37383,3,Quepem (M Cl) - Ward No.3,
252096,Curchorem Cacora,37374,4,Curchorem Cacora (M Cl) - Ward No.4,
252096,Curchorem Cacora,37377,7,Curchorem Cacora (M Cl) - Ward No.7,
252084,Mormugao,37257,11,Mormugao (M Cl) - Ward No.11,
252087,Margao,7001,20,Margao (MCI) - Ward No.20,
252079,Valpoi,68178,8,Valpoi (M Cl) - Ward No.8,
252071,City Corporation Panaji,1438,5,Panaji (M Cl) - Ward No.5,
252077,Sanquelim,1462,6,Sanquelim (M Cl) - Ward No.6,
252099,Sanguem,37454,6,Sanguem (M Cl) - Ward No.6,
252077,Sanquelim,1466,10,Sanquelim (M Cl) - Ward No.10,
252082,Ponda,932923,13,Ponda (MCI) - Ward No.13,
252082,Ponda,932829,11,Ponda (MCI) - Ward No.11,
252079,Valpoi,74925,4,Valpoi (M Cl) - Ward No.4,
252075,Bicholim,74920,9,Bicholim (M Cl) - Ward No.9,
252061,Mapusa,1470,5,Mapusa (M Cl) - Ward No.5,
252061,Mapusa,1307292,19,Mapusa (M CI) - Ward No. 19,
252097,Quepem,37390,10,Quepem (M Cl) - Ward No.10,
252099,Sanguem,37453,5,Sanguem (M Cl) - Ward No.5,
252079,Valpoi,74923,2,Valpoi (M Cl) - Ward No.2,
252071,City Corporation Panaji,1485,1,Panaji (M Cl) - Ward No.1,
252084,Mormugao,37263,17,Mormugao (M Cl) - Ward No.17,
252082,Ponda,37244,8,Ponda (M Cl) - Ward No.8,
252061,Mapusa,1307287,14,Mapusa (M CI) - Ward No. 14,
252087,Margao,1489,1,Margao (M Cl) - Ward No.1,
252082,Ponda,37237,1,Ponda (M Cl) - Ward No.1,
252095,Cuncolim,1617,4,Cuncolim (M Cl) - Ward No.4,
252071,City Corporation Panaji,932799,25,Panaji (MCI) - Ward No.25,
