Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
251214,Padra,37007,1,Padra (M) - Ward No.1,
251134,Dhrol,66978,1,Dhrol (M) - Ward No.1,
251222,Bharuch,37048,7,Bharuch (M) - Ward No.7,
251145,Vanthali,1296658,5,Vanthali (M) - Ward No.5,
251118,Morbi,33563,2,Morvi (M) - Ward No.2,
251124,Upleta,33617,5,Upleta (M) - Ward No.5,
251211,Chhota Udaipur,36989,2,Chhota Udaipur (M) - Ward No.2,
277171,Sutrapada,1301339,3,Sutrapada (M) - Ward No.3,
251125,Dhoraji,66963,8,Dhoraji (M) - Ward No.8,
251055,Palanpur,60012,6,Palanpur (M) - Ward No.6,
276026,Tarsadi,1296754,1,Tarsadi (M) - Ward No. 1,
251145,Vanthali,34707,3,Vanthali (M) - Ward No.3,
251111,Halvad,33502,3,Halvad (M) - Ward No.3,
251060,Patan,37683,11,Patan (M) - Ward No.11,
251096,Ahmadabad,1302532,32,"Vejalpur, Ahmedabad (M.Corp.) Ward No. 32",
251047,Bhuj,37312,9,Bhuj (M) - Ward No.9,
251122,Gondal,33607,9,Gondal (M) - Ward No.9,
253225,Kathlal,67588,5,Balasinor (M) - Ward No.5,
251055,Palanpur,60008,2,Palanpur (M) - Ward No.2,
251167,Gariadhar,34872,7,Gariadhar (M) - Ward No.7,
251096,Ahmadabad,1302508,8,"Thaltej, Ahmedabad (M.Corp.) Ward No. 8",
251159,Chalala,34797,4,Chalala (M) - Ward No.4,
253137,Chotila,33541,4,Thangadh (M) - Ward No.4,
251147,Junagadh,66995,2,Junagadh (M) - Ward No.2,
251216,Rajpipla,67640,7,Rajpipla (M) - Ward No.7,
251072,Idar,1296717,7,Idar (M) - Ward No. 7,
251261,Dharampur,37134,4,Dharampur (M) - Ward No.4,
251144,Manavadar,34700,3,Manavadar (M) - Ward No.3,
251125,Dhoraji,66961,6,Dhoraji (M) - Ward No.6,
251061,Harij,60024,5,Harij (M) - Ward No.5,
251112,Dhrangadhra,66907,5,Dhrangadhra (M) - Ward No.5,
251127,Okha,1296764,2,Okha (M) - Ward No. 2,
251160,Savarkundla,67043,8,Savarkundla (M) - Ward No.8,
251071,Khedbrahma,37744,5,Khedbrahma (M) - Ward No.5,
251096,Ahmadabad,1302511,11,"Sardarnagar, Ahmedabad (M.Corp.) Ward No. 11",
251178,Petlad,35018,1,Petlad (M) - Ward No.1,
251050,Gandhidham,37333,1,Gandhidham (M) - Ward No.1,
251190,Dakor,67605,3,Dakor (M) - Ward No.3,
251222,Bharuch,37044,3,Bharuch (M) - Ward No.3,
251191,Santrampur,3942,5,Santrampur (M) - Ward No.5,
251231,Surat,67680,29,Surat (M Corp.) - Ward No.29,
251135,Kalavad,33849,2,Kalavad (M) - Ward No.2,
251219,Jambusar,37033,6,Jambusar (M) - Ward No.6,
251124,Upleta,33614,2,Upleta (M) - Ward No.2,
251048,Mandvi,37319,1,Mandvi (M) - Ward No.1,
251133,Jamnagar,33829,4,Jamnagar (M Corp.) - Ward No.4,
251176,Karamsad,35016,7,Karamsad (M) - Ward No.7,
251196,Halol,35290,2,Halol (M) - Ward No.2,
276024,Kadodara,1301298,3,Kadodara (M) - Ward No.3,
251171,Umreth,67069,6,Umreth (M) - Ward No.6,
251068,Mahesana,37727,9,Dediyasan (OG) (Part) - Ward No.9,
253128,Vadali,729890,5,Kadiya Fali,
251190,Dakor,67606,4,Dakor (M) - Ward No.4,
251149,Keshod,67017,5,Keshod (M) - Ward No.5,
251047,Bhuj,37305,2,Bhuj (M) - Ward No.2,
251108,Dholka,33485,6,Dholka (M) - Ward No.6,
251147,Junagadh,67000,7,Junagadh (M) - Ward No.7,
251096,Ahmadabad,1302531,31,"Vasana, Ahmedabad (M.Corp.) Ward No. 31",
251165,Bhavnagar,34848,8,Bhavnagar (M Corp.) - Ward No.8,
251264,Vapi,1303702,10,Vapi (M) - Ward No. 10,
251117,Limbdi,33555,4,Limbdi (M) - Ward No.4,
251096,Ahmadabad,1302544,44,"Khokhra, Ahmedabad (M.Corp.) Ward No. 44",
251135,Kalavad,33855,5,Kalavad (M) - Ward No.5,
253103,Bhabhar,1296450,2,Bhabhar (M) - Ward No.2,
251153,Kodinar,67020,1,Kodinar (M) - Ward No.1,
253164,Thara,1296654,3,Thara (M) - Ward No. 3,
251109,Bavla,33494,4,Bavla (M) - Ward No.4,
251108,Dholka,33484,5,Dholka (M) - Ward No.5,
251251,Bilimora,37099,3,Bilimora (M) - Ward No.3,
277170,Talala,1301336,6,Talala (M) - Ward No.6,
251157,Amreli,34784,4,Amreli (M) - Ward No.4,
251187,Nadiad,35072,8,Nadiad (M) - Ward No.8,
251173,Ode,67077,5,Ode (M) - Ward No.5,
251082,Mansa,1303692,7,Mansa(M) - Ward No. 7,
251059,Sidhpur,37666,5,Sidhpur (M) - Ward No.5,
251254,Valsad,37116,8,Valsad (M) - Ward No.8,
251048,Mandvi,37324,6,Mandvi (M) - Ward No.6,
251090,Sanand,38209,6,Sanand (M) - Ward No.6,
251109,Bavla,33497,7,Bavla (M) - Ward No.7,
251160,Savarkundla,67038,3,Savarkundla (M) - Ward No.3,
253164,Thara,1296656,5,Thara (M) - Ward No. 5,
253126,Vallabhipur,34817,6,Vallabhipur(M)-Ward No.6,
253127,Bayad,727968,5,Maninagar Society,
251219,Jambusar,37035,7,Jambusar (M) - Ward No.7,
251110,Dhandhuka,66893,5,Dhandhuka (M) - Ward No.5,
251157,Amreli,34788,8,Amreli (M) - Ward No.8,
251046,Anjar,37294,3,Anjar (M) - Ward No.3,
251141,Ranavav,34689,4,Ranavav (M) - Ward No.4,
251171,Umreth,67068,5,Umreth (M) - Ward No.5,
251264,Vapi,1303703,11,Vapi (M) - Ward No. 11,
251136,Bhanvad,33860,1,Bhanvad (M) - Ward No.1,
251071,Khedbrahma,37740,1,Khedbrahma (M) - Ward No.1,
251057,Deesa,37650,6,Deesa (M) - Ward No.6,
251072,Idar,38021,4,Idar (M) - Ward No.4,
251150,Mangrol,34722,2,Mangrol (M) - Ward No.2,
251182,Anklav,35042,3,Anklav (M) - Ward No.3,
251130,Salaya,33821,4,Salaya (M) - Ward No.4,
251170,Mahuva,34982,7,Mahuva (M) - Ward No.7,
251129,Dwarka,66969,2,Dwarka (M) - Ward No.2,
251219,Jambusar,37027,3,Jambusar (M) - Ward No.3,
251082,Mansa,38056,3,Mansa (M) - Ward No.3,
251165,Bhavnagar,34850,10,Bhavnagar (M Corp.) - Ward No.10,
276440,Gandhinagar,1301278,6,Gandhinagar (Corporation) Ward No. 6,
251044,Rapar,60006,7,Rapar (M) - Ward No.7,
251067,Vijapur,60036,5,Vijapur Rural (OG) (Part) - Ward No.5,
251121,Jasdan,33592,3,Jasdan (M) - Ward No.3,
251161,Jafrabad,67052,5,Jafrabad (M) - Ward No.5,
253143,Jamraval,33846,1,Kalavad (M) - Ward No.1,
251178,Petlad,35025,8,Petlad (M) - Ward No.8,
251161,Jafrabad,67051,4,Jafrabad (M) - Ward No.4,
251158,Bagasara,67028,2,Bagasara (M) - Ward No.2,
251213,Dabhoi,37001,1,Dabhoi (M) - Ward No.1,
251076,Talod,38036,1,Talod (M) - Ward No.1,
251172,Boriavi,34999,4,Boriavi (M) - Ward No.4,
