Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
248490,Naraingarh,24654,7,Naraingarh(MC) - Ward No.7,
248573,Pataudi,17897,11,Pataudi (MC) - Ward No.11,
248508,Thanesar,24939,11,Thanesar (M Cl ) - Ward No.11,
248564,Mahendragarh,1302167,15,Mahendragarh (MC) - Ward No. 15,
289253,ISMAILABAD,1302326,5,Ward No. 5,
248542,Rania,16819,4,Rania (MC) - Ward No.4,
248540,Kalanwali,1302185,14,Kalanwali (MC) - Ward No. 14,
248521,Panipat,63978,2,Panipat (M Cl ) - Ward No.2,
248541,Sirsa,16813,29,Sirsa (M Cl ) - Ward No.29,
290431,Ambala Sadar,2111512,29,Ward No. 29,
248563,Kanina,17040,4,Kanina (MC) - Ward No.4,
248586,Palwal,18050,23,Palwal (M Cl ) - Ward No.23,
274458,Radaur,1302277,12,Radaur (MC) - Ward No. 12,
248568,Dharuhera,17090,9,Dharuhera (CT) - Ward No.9,
248521,Panipat,63986,10,Panipat (M Cl ) - Ward No.10,
248531,Narwana,1302059,23,Narwana (MC) - Ward No.23,
248569,Rewari,17868,25,Rewari (M Cl ) - Ward No.25,
248562,Jhajjar,17026,5,Jhajjar (MC) - Ward No.5,
248519,Assandh,16393,9,Assandh (MC) - Ward No.9,
289251,KUNDLI,1302304,13,Ward No. 13,
248585,Faridabad,18004,2,Faridabad (M Corp.) - Ward No.2,
248547,Narnaund,16884,13,Narnaund (MC) - Ward No.13,
248571,Bawal,1302240,13,Bawal (MC) - Ward No.13,
272866,Barara,1302202,13,Barara (MC) - Ward No. 13,
248510,Cheeka,24957,4,Cheeka (MC) - Ward No.4,
248558,Beri,16988,9,Beri (MC) - Ward No.9,
248562,Jhajjar,17034,13,Jhajjar (MC) - Ward No.13,
253298,Sampla,1302130,12,Sampla (MC) Ward No - 12,
248544,Uklanamandi,16847,2,Uklanamandi (MC) - Ward No.2,
289254,SADHAURA,1302309,3,Ward No. 3,
248552,Siwani,16915,7,Siwani (MC) - Ward No.7,
248531,Narwana,16664,6,Narwana (MC) - Ward No.6,
248506,Shahbad,1302080,19,Shahbad MC) - Ward No. 19,
248508,Thanesar,24941,13,Thanesar (M Cl ) - Ward No.13,
248562,Jhajjar,17029,8,Jhajjar (MC) - Ward No.8,
248586,Palwal,1302028,30,Palwal (M Cl ) - Ward No.30,
248533,Jind,16697,22,Jind (M Cl ) - Ward No.22,
248515,Taraori,25303,2,Taraori (MC) - Ward No.2,
274458,Radaur,1302269,4,Radaur (MC) - Ward No. 4,
248558,Beri,16985,6,Beri (MC) - Ward No.6,
248539,Mandi Dabwali,16758,5,Mandi Dabwali (MC) - Ward No.5,
248521,Panipat,63987,11,Panipat (M Cl ) - Ward No.11,
248589,Hodal,1302071,20,Hodal (MC) - Ward No.20,
248500,Yamunanagar,64819,9,Yamunanagar (M Cl ) - Ward No.9,
248532,Uchana,64009,1,Uchana (MC) - Ward No.1,
248552,Siwani,16918,10,Siwani (MC) - Ward No.10,
248531,Narwana,1302054,18,Narwana (MC) - Ward No.18,
248586,Palwal,18030,3,Palwal (M Cl ) - Ward No.3,
248576,Gurugram,64214,11,Gurgaon (M Cl ) - Ward No.11,
248540,Kalanwali,16781,10,Kalanwali (MC) - Ward No.10,
248573,Pataudi,17887,1,Pataudi (MC) - Ward No.1,
248508,Thanesar,24949,21,Thanesar (M Cl ) - Ward No.21,
248539,Mandi Dabwali,16761,8,Mandi Dabwali (MC) - Ward No.8,
248560,Bahadurgarh,17016,24,Bahadurgarh (M Cl ) - Ward No.24,
248491,Ambala,24672,12,Ambala (M Cl ) - Ward No.12,
248540,Kalanwali,16773,2,Kalanwali (MC) - Ward No.2,
248579,Sohna,64997,11,Sohna (MC) - Ward No.11,
248510,Cheeka,24968,15,Cheeka (MC) - Ward No.15,
248585,Faridabad,18021,19,Faridabad (M Corp.) - Ward No.19,
289253,ISMAILABAD,1302328,7,Ward No. 7,
248564,Mahendragarh,17051,4,Mahendragarh (MC) - Ward No.4,
248550,Bhiwani,64139,31,Bhiwani (M Cl ) - Ward No.31,
248510,Cheeka,24967,14,Cheeka (MC) - Ward No.14,
248521,Panipat,63993,17,Panipat (M Cl ) - Ward No.17,
289252,BASS,1302389,10,Ward No. 10,
248507,Pehowa,64843,2,Pehowa (MC) - Ward No.2,
289551,Sisai,1302339,5,Ward No. 5,
248537,Tohana,16749,15,Tohana (MC) - Ward No.15,
248554,Charkhi Dadri,64167,17,Charkhi Dadri (MC) - Ward No.17,
248585,Faridabad,1302362,35,Ward No.35,
248569,Rewari,17855,12,Rewari (M Cl ) - Ward No.12,
248500,Yamunanagar,64826,16,Yamunanagar (M Cl ) - Ward No.16,
259688,Nangal Chaudhary,1302243,1,Nangal Chaudhary (MC) Ward No.1,
248507,Pehowa,64850,9,Pehowa (MC) - Ward No.9,
248566,Narnaul,1302037,25,Narnaul (M Cl) - Ward No.25,
248515,Taraori,25306,5,Taraori (MC) - Ward No.5,
248533,Jind,16680,5,Jind (M Cl ) - Ward No.5,
248585,Faridabad,18012,10,Faridabad (M Corp.) - Ward No.10,
248566,Narnaul,64184,15,Narnaul (M Cl) - Ward No.15,
248507,Pehowa,64845,4,Pehowa (MC) - Ward No.4,
248513,Pundri,25293,10,Pundri (MC) - Ward No.10,
248569,Rewari,17863,20,Rewari (M Cl ) - Ward No.20,
248554,Charkhi Dadri,64153,3,Charkhi Dadri (MC) - Ward No.3,
248548,Hansi,1302032,26,Hansi (M Cl) - Ward No.26,
248547,Narnaund,16873,2,Narnaund (MC) - Ward No.2,
248580,Taoru,17960,9,Taoru (MC) - Ward No.9,
248514,Nilokheri,64870,1,Nilokheri (MC) - Ward No.1,
248569,Rewari,17870,27,Rewari (M Cl ) - Ward No.27,
248562,Jhajjar,17027,6,Jhajjar (MC) - Ward No.6,
248537,Tohana,1302050,20,Tohana (MC) - Ward No.20,
248531,Narwana,16675,17,Narwana (MC) - Ward No.17,
248574,Farrukhnagar,17902,3,Farrukhnagar (MC) - Ward No.3,
289252,BASS,1302382,3,Ward No. 3,
248553,Loharu,64149,10,Loharu (MC) - Ward No.10,
248511,Kaithal,25255,12,Kaithal (M Cl ) - Ward No.12,
248542,Rania,16820,5,Rania (MC) - Ward No.5,
248520,Gharaunda,16405,8,Gharaunda (MC) - Ward No.8,
248558,Beri,16987,8,Beri (MC) - Ward No.8,
248528,Ganaur,16597,2,Ganaur (MC) - Ward No.2,
248546,Hisar,64054,3,Hisar (M Cl ) - Ward No.3,
248511,Kaithal,25269,26,Kaithal (M Cl ) - Ward No.26,
248550,Bhiwani,64118,10,Bhiwani (M Cl ) - Ward No.10,
248491,Ambala,24674,14,Ambala (M Cl ) - Ward No.14,
248548,Hansi,64094,9,Hansi (M Cl) - Ward No.9,
290431,Ambala Sadar,2111484,1,Ward No. 1,
248585,Faridabad,18010,8,Faridabad (M Corp.) - Ward No.8,
248566,Narnaul,1302035,23,Narnaul (M Cl) - Ward No.23,
248569,Rewari,17857,14,Rewari (M Cl ) - Ward No.14,
248520,Gharaunda,16411,14,Gharaunda (MC) - Ward No.14,
248521,Panipat,63984,8,Panipat (M Cl ) - Ward No.8,
248550,Bhiwani,64127,19,Bhiwani (M Cl ) - Ward No.19,
248542,Rania,16830,15,Rania (MC) - Ward No.15,
248490,Naraingarh,24660,13,Naraingarh(MC) - Ward No.13,
248569,Rewari,17849,6,Rewari (M Cl ) - Ward No.6,
248512,Kalayat,25281,11,Kalayat (MC) - Ward No.11,
248509,Ladwa,64865,9,Ladwa (MC) - Ward No.9,
248541,Sirsa,16804,20,Sirsa (M Cl ) - Ward No.20,
248557,Rohtak,16964,17,Rohtak (M Cl ) - Ward No.17,
248519,Assandh,16395,11,Assandh (MC) - Ward No.11,
248565,Ateli,17061,1,Ateli (MC) - Ward No.1,
248568,Dharuhera,17091,10,Dharuhera (CT) - Ward No.10,
248585,Faridabad,1302350,23,Ward No. 23,
248553,Loharu,64150,11,Loharu (MC) - Ward No.11,
248553,Loharu,64140,1,Loharu (MC) - Ward No.1,
248530,Kharkhoda,16657,12,Kharkhoda (MC) - Ward No.12,
248569,Rewari,1302023,31,Rewari (M Cl ) - Ward No.31,
248509,Ladwa,64869,13,Ladwa (MC) - Ward No.13,
248581,Nuh,17970,6,Nuh (MC) - Ward No.6,
248569,Rewari,17846,3,Rewari (M Cl ) - Ward No.3,
248550,Bhiwani,64123,15,Bhiwani (M Cl ) - Ward No.15,
248510,Cheeka,24955,2,Cheeka (MC) - Ward No.2,
248508,Thanesar,24935,7,Thanesar (M Cl ) - Ward No.7,
