Local Body Code,Local Body Name,Local Body Type,"District Level Parent Name
",Intermediate Level Parent Name,Ward Code,Ward Number,"Ward Name (In English)
","Ward Name (In Local)
",
15,BILASPUR,District Panchayat,,,84452,1,Ward No. 1,Ward No. 1,
16,CHAMBA,District Panchayat,,,80351,1,Ward No. 1,Ward No. 1,
17,HAMIRPUR,District Panchayat,,,105665,1,Ward No. 1,Ward No. 1,
18,KANGRA,District Panchayat,,,112335,1,Ward No. 1,Ward No. 1,
19,KINNAUR,District Panchayat,,,108322,1,Ward No. 1,Ward No. 1,
20,KULLU,District Panchayat,,,88930,1,VASHISHTH,VASHISHTH,
20,KULLU,District Panchayat,,,162364,6,ARSU,ARSU,
20,KULLU,District Panchayat,,,162382,11,KHOKHAN,KHOKHAN,
20,KULLU,District Panchayat,,,162394,12,BALH,BALH,
21,LAHUL AND SPITI,District Panchayat,,,97483,1,Ward No. 1,Ward No. 1,
22,MANDI,District Panchayat,,,93785,1,Ward No. 1,Ward No. 1,
22,MANDI,District Panchayat,,,1239889,2,Ward No. 2,Ward No. 2,
22,MANDI,District Panchayat,,,1239890,3,Ward No. 3,Ward No. 3,
22,MANDI,District Panchayat,,,1239891,4,Ward No.4,Ward No.4,
22,MANDI,District Panchayat,,,1239892,5,Ward No.5,Ward No.5,
22,MANDI,District Panchayat,,,1239893,6,Ward No. 6,Ward No. 6,
22,MANDI,District Panchayat,,,1239894,7,Ward No. 7,Ward No. 7,
22,MANDI,District Panchayat,,,1239895,8,Ward No. 8,Ward No. 8,
22,MANDI,District Panchayat,,,1239896,9,Ward No. 9,Ward No. 9,
22,MANDI,District Panchayat,,,1239897,10,Ward No. 10,Ward No. 10,
22,MANDI,District Panchayat,,,1239898,11,Ward No. 11,Ward No. 11,
22,MANDI,District Panchayat,,,1239899,12,Ward No. 12,Ward No. 12,
22,MANDI,District Panchayat,,,1239900,13,Ward No.13,Ward No.13,
22,MANDI,District Panchayat,,,1239901,14,Ward No.14,Ward No.14,
22,MANDI,District Panchayat,,,1239902,15,Ward No.15,Ward No.15,
22,MANDI,District Panchayat,,,1239903,16,Ward No. 16,Ward No. 16,
22,MANDI,District Panchayat,,,1239904,17,Ward No. 17,Ward No. 17,
22,MANDI,District Panchayat,,,1239905,18,Ward No. 18,Ward No.  18,
22,MANDI,District Panchayat,,,1239906,19,Ward No. 19,Ward No. 19,
22,MANDI,District Panchayat,,,1239907,20,Ward No. 20,Ward No. 20,
22,MANDI,District Panchayat,,,1239908,21,Ward No. 21,Ward No. 21,
22,MANDI,District Panchayat,,,1239909,22,Ward No. 22,Ward No. 22,
22,MANDI,District Panchayat,,,1239910,23,Ward No. 23,Ward No. 23,
22,MANDI,District Panchayat,,,1239911,24,Ward No. 24,Ward No. 24,
22,MANDI,District Panchayat,,,1239912,25,Ward No. 25,Ward No. 25,
22,MANDI,District Panchayat,,,1239913,26,Ward No. 26,Ward No. 26,
22,MANDI,District Panchayat,,,1239914,27,Ward No. 27,Ward No. 27,
22,MANDI,District Panchayat,,,1239915,28,Ward No. 28,Ward No. 28,
22,MANDI,District Panchayat,,,1239916,29,Ward No. 29,Ward No. 29,
22,MANDI,District Panchayat,,,1239917,30,Ward No. 30,Ward No. 30,
22,MANDI,District Panchayat,,,1239918,31,Ward No. 31,Ward No. 31,
22,MANDI,District Panchayat,,,1239919,32,Ward No. 32,Ward No. 32,
22,MANDI,District Panchayat,,,1239920,33,Ward No.33,Ward No.33,
22,MANDI,District Panchayat,,,1239921,34,Ward No.34,Ward No.34,
22,MANDI,District Panchayat,,,1239922,35,Ward No. 35,Ward No. 35,
22,MANDI,District Panchayat,,,1239923,36,Ward No. 36,Ward No. 36,
23,SHIMLA,District Panchayat,,,89354,1,Ward No. 1,Ward No. 1,
23,SHIMLA,District Panchayat,,,845650,2,Ward No. 2,,
24,SIRMAUR,District Panchayat,,,114380,1,Ward No. 1,Ward No. 1,
25,SOLAN,District Panchayat,,,90248,1,Darla,Darla,
25,SOLAN,District Panchayat,,,843607,2,DHUNDAN,DHUNDAN,
25,SOLAN,District Panchayat,,,843608,3,DOMEHAR,DOMEHAR,
25,SOLAN,District Panchayat,,,843609,4,KUNIHAR,KUNIHAR,
25,SOLAN,District Panchayat,,,843610,5,SIRINAGAR,SIRINAGAR,
25,SOLAN,District Panchayat,,,843611,6,SALOGRA,SALOGRA,
25,SOLAN,District Panchayat,,,843612,7,ANJI,ANJI,
25,SOLAN,District Panchayat,,,843613,8,DHARAMPUR,DHARAMPUR,
25,SOLAN,District Panchayat,,,843614,9,KASAULI GARKHAL,KASAULI GARKHAL,
25,SOLAN,District Panchayat,,,843615,10,DARWA,DARWA,
25,SOLAN,District Panchayat,,,843616,11,BAROTIWALA,BAROTIWALA,
25,SOLAN,District Panchayat,,,843617,12,KHERA,KHERA,
25,SOLAN,District Panchayat,,,843618,13,RAJPURA,RAJPURA,
25,SOLAN,District Panchayat,,,843619,14,DABHOTA,DABHOTA,
25,SOLAN,District Panchayat,,,843620,15,CHAMDAR,CHAMDAR,
25,SOLAN,District Panchayat,,,843621,16,RATWARI,RATWARI,
25,SOLAN,District Panchayat,,,843622,17,KUNDLU,KUNDLU,
26,UNA,District Panchayat,,,92053,1,Ward No. 1,Ward No. 1,
722,BILASPUR SADAR,Intermediate Panchayat,BILASPUR,,118532,1,Ward No. 1,Ward No. 1,
724,GHUMARWIN,Intermediate Panchayat,BILASPUR,,104625,1,Ward No. 1,Ward No. 1,
723,JHANDUTTA,Intermediate Panchayat,BILASPUR,,93960,1,Ward No. 1,Ward No. 1,
726,BHARMOUR,Intermediate Panchayat,CHAMBA,,88160,1,Ward No. 1,Ward No. 1,
725,BHATTIYAT,Intermediate Panchayat,CHAMBA,,119525,1,Ward No. 1,Ward No. 1,
727,CHAMBA,Intermediate Panchayat,CHAMBA,,79057,1,Ward No. 1,Ward No. 1,
728,MEHLA,Intermediate Panchayat,CHAMBA,,117942,1,Ward No. 1,Ward No. 1,
729,PANGI,Intermediate Panchayat,CHAMBA,,87427,1,Ward No. 1,Ward No. 1,
730,SALUNI,Intermediate Panchayat,CHAMBA,,90317,1,Ward No. 1,Ward No. 1,
731,TISA,Intermediate Panchayat,CHAMBA,,103491,1,Ward No. 1,Ward No. 1,
732,BAMSON,Intermediate Panchayat,HAMIRPUR,,84713,1,Ward No. 1,Ward No. 1,
733,BHORANJ,Intermediate Panchayat,HAMIRPUR,,97781,1,Ward No. 1,Ward No. 1,
734,BIJHRI,Intermediate Panchayat,HAMIRPUR,,113001,1,Ward No. 1,Ward No. 1,
735,HAMIRPUR,Intermediate Panchayat,HAMIRPUR,,107300,1,Ward No. 1,Ward No. 1,
736,NADAUN,Intermediate Panchayat,HAMIRPUR,,112502,1,Ward No. 1,Ward No. 1,
737,TIRA SUJANPUR,Intermediate Panchayat,HAMIRPUR,,95436,1,Ward No. 1,Ward No. 1,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,109841,1,Ward No. 1,Ward No. 1,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262294,2,Ward No. 2,Ward No. 2,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262295,3,Ward No. 3,Ward No. 3,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262296,4,Ward No. 4,Ward No. 4,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262297,5,Ward No. 5,Ward No. 5,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262298,6,Ward No. 6,Ward No. 6,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262299,7,Ward No. 7,Ward No. 7,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262300,8,Ward No. 8,Ward No. 8,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262301,9,Ward No. 9,Ward No. 9,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262302,10,Ward No. 10,Ward No. 10,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262303,11,Ward No. 11,Ward No. 11,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262304,12,Ward No. 12,Ward No. 12,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262305,13,Ward No. 13,Ward No. 13,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262306,14,Ward No. 14,Ward No. 14,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262307,15,Ward No. 15,Ward No. 15,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262308,16,Ward No. 16,Ward No. 16,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262309,17,Ward No. 17,Ward No. 17,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262310,18,Ward No. 18,Ward No. 18,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262311,19,Ward No. 19,Ward No. 19,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262312,20,Ward No. 20,Ward No. 20,
738,BAIJNATH,Intermediate Panchayat,KANGRA,,1262313,21,Ward No. 21,Ward No. 21,
739,BHAWARNA,Intermediate Panchayat,KANGRA,,114989,1,Ward No. 1,Ward No. 1,
739,BHAWARNA,Intermediate Panchayat,KANGRA,,1262314,2,Ward No. 2,Ward No. 2,
