Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
248230,Bhota,68129,7,Bhota (NP) - Ward No.7,
248246,Narkanda,11634,5,Narkanda (NP) - Ward No.5,
248250,Chopal,8843,3,Chopal (NP) - Ward No.3,
248248,Shimla,68540,18,Shimla (M Corp.) - Ward No.18,
248239,Bilaspur,11555,2,Bilaspur (M Cl) - Ward No.2,
248239,Bilaspur,11561,8,Bilaspur (M Cl) - Ward No.8,
248211,Dharamshala,11300,11,Dharmsala (M Cl) - Ward No.11,
248251,Jubbal,8850,3,Jubbal (NP) - Ward No.3,
248240,Arki,11570,6,Arki (NP) - Ward No.6,
248220,Bhuntar,11446,4,Bhuntar (NP) - Ward No.4,
248044,Dalhousie,11265,5,Dalhousie (M Cl) - Ward No.5,
297013,Chirgaon,2513247,4,Bhonda Colony,
248239,Bilaspur,11562,9,Bilaspur (M Cl) - Ward No.9,
297009,Amb,2513235,4,Heeranagar-1,
248233,Una,11519,2,Una (M Cl) - Ward No.2,
297015,Shahpur,2513278,7,Manjhiar,
248222,Jogindarnagar,11451,2,Jogindarnagar (NP) - Ward No.2,
248233,Una,11520,3,Una (M Cl) - Ward No.3,
248248,Shimla,1296809,34,Shimla (M Corp.) - Ward No.34,
248231,Daulatpur,11508,5,Daulatpur (NP) - Ward No.5,
248245,Rampur,1296880,8,Rampur (M Cl) - Ward No.8,
248247,Suni,11643,7,Suni (NP) - Ward No.7,
248242,Baddi,68152,9,Baddi (NP) - Ward No.9,
248046,Chamba,11274,5,Chamba (M Cl) - Ward No.5,
248241,Nalagarh,11580,9,Nalagarh (M Cl) - Ward No.9,
248248,Shimla,68536,14,Shimla (M Corp.) - Ward No.14,
248224,Sundernagar,68112,10,Sundarnagar (M Cl) - Ward No.10,
276625,Karsog,1297084,5,Karsog (NP) - Ward No.5,
248043,Nahan,11615,6,Nahan (M Cl) - Ward No.6,
248223,Sarkaghat,11460,4,Sarkaghat (NP) - Ward No.4,
248248,Shimla,68534,12,Shimla (M Corp.) - Ward No.12,
248233,Una,11524,7,Una (M Cl) - Ward No.7,
248239,Bilaspur,11554,1,Bilaspur (M Cl) - Ward No.1,
276627,Chowari,1296823,1,Chowari (NP) - Ward No.1,
248225,Mandi,2513048,15,Doundhi,
248244,Solan,1296821,14,Housing Board Colony,
248219,Kullu,11441,10,Kullu (M Cl) - Ward No.10,
248044,Dalhousie,11264,4,Dalhousie (M Cl) - Ward No.4,
248211,Dharamshala,11292,3,Dharmsala (M Cl) - Ward No.3,
248246,Narkanda,11630,1,Narkanda (NP) - Ward No.1,
248217,Palampur,11424,7,Bindraban,
248253,Rohru,8866,5,Rohru (NP) - Ward No.5,
248231,Daulatpur,11504,1,Daulatpur (NP) - Ward No.1,
276626,Dehra,1297043,6,Dehra (M Cl) - Ward No.6,
248229,Hamirpur,11496,4,Hamirpur (M Cl) - Ward No.4,
248228,Nadaun,11490,5,Nadaun (NP) - Ward No.5,
248223,Sarkaghat,11459,3,Sarkaghat (NP) - Ward No.3,
248219,Kullu,11432,1,Kullu (M Cl) - Ward No.1,
248248,Shimla,68532,10,Shimla (M Corp.) - Ward No.10,
248210,Nurpur,11285,5,Nurpur (M Cl) - Ward No.5,
