Local Body Code,Local Body Name,Local Body Type,"District Level Parent Name
",Intermediate Level Parent Name,Ward Code,Ward Number,"Ward Name (In English)
","Ward Name (In Local)
",
674,LANGATE,Intermediate Panchayat,KUPWARA,,2151247,PC-I,Guloora-I,,
674,LANGATE,Intermediate Panchayat,KUPWARA,,2151248,PC-II,Guloora-II,,
674,LANGATE,Intermediate Panchayat,KUPWARA,,2151249,PC-III,Guloora-III,,
674,LANGATE,Intermediate Panchayat,KUPWARA,,2151250,PC-IV,Guloora-IV,,
674,LANGATE,Intermediate Panchayat,KUPWARA,,2151251,PC-V,Guloora-V,,
674,LANGATE,Intermediate Panchayat,KUPWARA,,2151252,PC-VI,Kohroo-I,,
674,LANGATE,Intermediate Panchayat,KUPWARA,,2151253,PC-VII,Kohroo-II,,
674,LANGATE,Intermediate Panchayat,KUPWARA,,2151254,PC-VIII,Kohroo-III,,
674,LANGATE,Intermediate Panchayat,KUPWARA,,2151255,PC-IX,Kohroo-IV,,
274608,AKINGAM A,Village Panchayat,ANANTNAG,ACHABAL,2151628,PC-I,Muqdampora dangpora I,,
274608,AKINGAM A,Village Panchayat,ANANTNAG,ACHABAL,2151629,PC-II,"Kumar, Bakshi & Najar Mohalla II",,
274608,AKINGAM A,Village Panchayat,ANANTNAG,ACHABAL,2151630,PC-III,Shah/Sofi Mohalla III,,
274608,AKINGAM A,Village Panchayat,ANANTNAG,ACHABAL,2151631,PC-IV,Matipora IV,,
274608,AKINGAM A,Village Panchayat,ANANTNAG,ACHABAL,2151632,PC-V,Gori Mohalla+Sipora V,,
274608,AKINGAM A,Village Panchayat,ANANTNAG,ACHABAL,2151633,PC-VI,Pandit Mohalla Migrant VI,,
274608,AKINGAM A,Village Panchayat,ANANTNAG,ACHABAL,2151634,PC-VII,Ward VII,,
274609,AKINGAM B,Village Panchayat,ANANTNAG,ACHABAL,2152919,PC-I,Wagay Mohalla/Sheikh Mohallah/New Colony,,
274609,AKINGAM B,Village Panchayat,ANANTNAG,ACHABAL,2152920,PC-II,Ganiepora,,
274609,AKINGAM B,Village Panchayat,ANANTNAG,ACHABAL,2152921,PC-III,Malik + Darpora,,
274609,AKINGAM B,Village Panchayat,ANANTNAG,ACHABAL,2152922,PC-IV,Tulbagh + Mirpora,,
274609,AKINGAM B,Village Panchayat,ANANTNAG,ACHABAL,2152923,PC-V,Migrant Panditpora,,
274609,AKINGAM B,Village Panchayat,ANANTNAG,ACHABAL,2152924,PC-VI,Gojar Pati Rani,,
274609,AKINGAM B,Village Panchayat,ANANTNAG,ACHABAL,2152925,PC-VII,Wani Mohalla+Bangladesh,,
274609,AKINGAM B,Village Panchayat,ANANTNAG,ACHABAL,2152926,PC-VIII,Bhat Mohalla Das Mohalla-V,,
274609,AKINGAM B,Village Panchayat,ANANTNAG,ACHABAL,2152927,PC-IX,Ward IX,,
274793,BADOORA,Village Panchayat,ANANTNAG,ACHABAL,2152950,PC-I,Badoora Hergam-A,,
274793,BADOORA,Village Panchayat,ANANTNAG,ACHABAL,2152951,PC-II,Badoora Hergam-B,,
274793,BADOORA,Village Panchayat,ANANTNAG,ACHABAL,2152952,PC-III,Badoora Bongam,,
274793,BADOORA,Village Panchayat,ANANTNAG,ACHABAL,2152953,PC-IV,Badoora Darpora,,
274793,BADOORA,Village Panchayat,ANANTNAG,ACHABAL,2152954,PC-V,Takiya Badoora,,
274793,BADOORA,Village Panchayat,ANANTNAG,ACHABAL,2152955,PC-VI,Butonpora,,
274793,BADOORA,Village Panchayat,ANANTNAG,ACHABAL,2152956,PC-VII,Takiya Colony,,
242518,B. B. Nowgam,Village Panchayat,ANANTNAG,ACHABAL,2153039,PC-I,WARD-I,,
242518,B. B. Nowgam,Village Panchayat,ANANTNAG,ACHABAL,2153040,PC-II,WARD-II,,
242518,B. B. Nowgam,Village Panchayat,ANANTNAG,ACHABAL,2153041,PC-III,WARD-III,,
242518,B. B. Nowgam,Village Panchayat,ANANTNAG,ACHABAL,2153042,PC-IV,WARD-IV,,
242518,B. B. Nowgam,Village Panchayat,ANANTNAG,ACHABAL,2153043,PC-V,WARD-V,,
242518,B. B. Nowgam,Village Panchayat,ANANTNAG,ACHABAL,2153044,PC-VI,WARD-VI,,
242518,B. B. Nowgam,Village Panchayat,ANANTNAG,ACHABAL,2153045,PC-VII,WARD-VII,,
289093,B.B NOWGAM A,Village Panchayat,ANANTNAG,ACHABAL,2153046,PC-I,WARD-I,,
289093,B.B NOWGAM A,Village Panchayat,ANANTNAG,ACHABAL,2153047,PC-II,WARD-II,,
289093,B.B NOWGAM A,Village Panchayat,ANANTNAG,ACHABAL,2153048,PC-III,WARD-III,,
289093,B.B NOWGAM A,Village Panchayat,ANANTNAG,ACHABAL,2153049,PC-IV,WARD-IV,,
289093,B.B NOWGAM A,Village Panchayat,ANANTNAG,ACHABAL,2153050,PC-V,WARD-V,,
289093,B.B NOWGAM A,Village Panchayat,ANANTNAG,ACHABAL,2153051,PC-VI,WARD-VI,,
289093,B.B NOWGAM A,Village Panchayat,ANANTNAG,ACHABAL,2153052,PC-VII,WARD-VII,,
242514,Brakpora,Village Panchayat,ANANTNAG,ACHABAL,2153067,PC-I,Shiekh Mohalla,,
242514,Brakpora,Village Panchayat,ANANTNAG,ACHABAL,2153068,PC-II,Brakpora Dar Mohalla,,
242514,Brakpora,Village Panchayat,ANANTNAG,ACHABAL,2153069,PC-III,Takyabal,,
242514,Brakpora,Village Panchayat,ANANTNAG,ACHABAL,2153070,PC-IV,Mukdam Mohalla Payeen,,
242514,Brakpora,Village Panchayat,ANANTNAG,ACHABAL,2153071,PC-V,Mukdam Pora Naik Mohalla,,
242514,Brakpora,Village Panchayat,ANANTNAG,ACHABAL,2153072,PC-VI,Chinar Colony,,
242514,Brakpora,Village Panchayat,ANANTNAG,ACHABAL,2153073,PC-VII,Ganie Mohalla,,
242514,Brakpora,Village Panchayat,ANANTNAG,ACHABAL,2153074,PC-VIII,Peerpora Hargam Brakpora-V,,
242514,Brakpora,Village Panchayat,ANANTNAG,ACHABAL,2153075,PC-IX,WARD-IX,,
242498,Brinty-A,Village Panchayat,ANANTNAG,ACHABAL,2153083,PC-I,Baddraman,,
242498,Brinty-A,Village Panchayat,ANANTNAG,ACHABAL,2153084,PC-II,Batpora,,
242498,Brinty-A,Village Panchayat,ANANTNAG,ACHABAL,2153085,PC-III,Wagaypora,,
242498,Brinty-A,Village Panchayat,ANANTNAG,ACHABAL,2153086,PC-IV,Wanpora,,
242498,Brinty-A,Village Panchayat,ANANTNAG,ACHABAL,2153087,PC-V,Drangaypora,,
242498,Brinty-A,Village Panchayat,ANANTNAG,ACHABAL,2153088,PC-VI,Mugdampora,,
242498,Brinty-A,Village Panchayat,ANANTNAG,ACHABAL,2153089,PC-VII,Ahsan Abad,,
242498,Brinty-A,Village Panchayat,ANANTNAG,ACHABAL,2153090,PC-VIII,Khar Marag-V,,
242498,Brinty-A,Village Panchayat,ANANTNAG,ACHABAL,2153091,PC-IX,Peer Takiya,,
242499,Brinty-B,Village Panchayat,ANANTNAG,ACHABAL,2153092,PC-I,Check Brinty,,
242499,Brinty-B,Village Panchayat,ANANTNAG,ACHABAL,2153093,PC-II,Bad- Angan,,
242499,Brinty-B,Village Panchayat,ANANTNAG,ACHABAL,2153094,PC-III,Ganiepora,,
242499,Brinty-B,Village Panchayat,ANANTNAG,ACHABAL,2153095,PC-IV,Cheki Mughalpora/ Usman Colony,,
242499,Brinty-B,Village Panchayat,ANANTNAG,ACHABAL,2153096,PC-V,Palpora -A,,
242499,Brinty-B,Village Panchayat,ANANTNAG,ACHABAL,2153097,PC-VI,Palpora-B,,
242499,Brinty-B,Village Panchayat,ANANTNAG,ACHABAL,2153098,PC-VII,Ward-VII,,
242497,C. S. Pora,Village Panchayat,ANANTNAG,ACHABAL,2153099,PC-I,Kamarazipora+Wagay Mohalla,,
242497,C. S. Pora,Village Panchayat,ANANTNAG,ACHABAL,2153100,PC-II,Jawan Mohalla,,
242497,C. S. Pora,Village Panchayat,ANANTNAG,ACHABAL,2153101,PC-III,Shokeen+Baie Mohalla,,
242497,C. S. Pora,Village Panchayat,ANANTNAG,ACHABAL,2153102,PC-IV,Changa Mohalla+Akali Mohalla,,
242497,C. S. Pora,Village Panchayat,ANANTNAG,ACHABAL,2153103,PC-V,Tabi Mohalla+Sheik Mohalla,,
242497,C. S. Pora,Village Panchayat,ANANTNAG,ACHABAL,2153104,PC-VI,Zaffar Mohalla+Centre Mohalla,,
242497,C. S. Pora,Village Panchayat,ANANTNAG,ACHABAL,2153105,PC-VII,Thoker + Magray + Malik Mohalla V,,
242497,C. S. Pora,Village Panchayat,ANANTNAG,ACHABAL,2153106,PC-VIII,Satar Khan Mohalla V,,
