Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
248151,Municipal Council Baramulla,67976,14,Baramulla (MC) - Ward No.14,
276587,Municipal Council Udhampur,2244028,12,Udhampur (MC) - Ward No.12,
296989,Municipal Committee Frisal,2241545,5,Frisal (MC) - Ward No.5,
248035,Municipal Committee Handwara,9705,2,Handwara (MC) - Ward No.2,
248202,Municipal Council Samba,68064,6,Samba (MC) - Ward No.6,
296989,Municipal Committee Frisal,2241553,13,Frisal (MC) - Ward No.13,
248151,Municipal Council Baramulla,67977,15,Baramulla (MC) - Ward No.15,
248150,Municipal Committee Pattan,10034,10,Pattan (MC) - Ward No.10,
248171,Municipal Council Anantnag,2248905,21,Anantnag (MC) - Ward No.21,
248148,Municipal Committee Sumbal,2243082,12,Sumbal (MC) - Ward No.12,
248159,Municipal Council Budgam,2243551,4,Budgam (MC) - Ward No.4,
248153,Municipal Committee Kunzer,2241453,7,Kunzer (MC) - Ward No.7,
248149,Municipal Council Sopore,67902,5,Sopore (MC) - Ward No.5,
276591,Municipal Committee Katra,2244048,4,Katra (MC) - Ward No.4,
248203,Municipal Committee Ramgarh,2244081,9,Ramgarh (MC) - Ward No.9,
248139,Municipal Committee Langate,2241431,5,Langate (MC) - Ward No. 5,
253142,Municipal Committee Surankote,1747,3,Surankote (MC) -Ward No.3,
248156,Srinagar Municipal Corporation,10072,24,Srinagar (MC) - Ward No.24,
253142,Municipal Committee Surankote,2244252,5,Surankote (MC) -Ward No.5,
248035,Municipal Committee Handwara,2248966,10,Handwara (MC) - Ward No.10,
248194,Jammu Municipal Corporation,11145,44,Jammu (MC) - Ward No.44,
276588,Municipal Committee Chenani,2244043,6,Chenani (MC) - Ward No.6,
248168,Municipal Committee Pahalgam,2243069,9,Pahalgam (MC) - Ward No.9,
296990,Municipal Committee Ashmuqam,2243565,1,Ashmuqam (MC) - Ward No.1,
248147,Municipal Committee Hajin,9733,4,Hajin (MC) - Ward No.4,
248156,Srinagar Municipal Corporation,2243432,32,Srinagar (MC) - Ward No.32,
248157,Municipal Committee Magam,10086,9,Magam (MC) - Ward No.9,
248151,Municipal Council Baramulla,67974,12,Baramulla (MC) - Ward No.12,
248174,Municipal Council Kulgam,10802,8,Kulgam (MC) - Ward No.8,
248197,Municipal Committee Bishnah,2243937,12,Bishnah (MC) - Ward No.12,
248148,Municipal Committee Sumbal,10024,11,Sumbal (MC) - Ward No.11,
276589,Municipal Committee Ramnagar,1293672,1,Ramnagar (MC) - Ward No.1,
248196,Municipal Committee R S Pura,11174,10,R S Pura (MC) - Ward No.10,
248170,Municipal Committee Mattan,10734,11,Mattan (MC) - Ward No.11,
296989,Municipal Committee Frisal,2241548,8,Frisal (MC) - Ward No.8,
248164,Municipal Committee Tral,10694,2,Tral (MC) - Ward No.2,
276581,Municipal Council Kathua,2244077,20,Kathua (MC) - Ward No.20,
248194,Jammu Municipal Corporation,2235695,59,Jammu (MC) - Ward  No.59,
248039,Municipal Committee Batote,10876,1,Batote (MC) - Ward No.1,
248158,Municipal Committee Beerwah,2241580,8,Beerwah (MC) - Ward No.8,
248176,Municipal Committee Dooru Verinag,10848,8,Dooru-Verinag (MC) - Ward No.8,
276581,Municipal Council Kathua,2244059,2,Kathua (MC) - Ward No.2,
248156,Srinagar Municipal Corporation,2243623,61,Srinagar (MC) - Ward No.61,
