Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
250352,Basukinath,18983,6,Basukinath (NA) - Ward No.6,
248056,Chas,20395,14,Chas (M) - Ward No.14,
274814,Ramgarh Nagar Parishad,1269638,27,WARD NO - 27,
250378,Dhanbad,71850,46,Dhanbad Municipal Corporation -Ward No.46,
250378,Dhanbad,70120,12,Dhanbad Municipal Corporation -Ward No.12,
248135,Mihijam,615525,12,Mihijam NA Ward No.12,
274815,Nagar Untari Nagar panchayat,1269999,3,Nagar Untari (M) - Ward No.3,
250352,Basukinath,18985,8,Basukinath (NA) - Ward No.8,
250434,Jamshedpur,1299663,13,Ward 13,
250430,Chaibasa,1295049,21,Chaibasa M - Ward No. 21,
274814,Ramgarh Nagar Parishad,1269635,24,WARD NO - 24,
253231,Bishrampur,7139,4,Bishrampur(NA)-Ward No-4,
250324,Medininagar,1010997,22,Medininagar (M) - Ward No.22,
253166,Adityapur,1010167,4,Adityapur (NA) - Ward No.4,
248049,DEOGHAR,18910,14,VIII ????? / 01 ????? ??? ???? - 14,
253228,Manjhiaon,71898,10,Ward No. 10,
248057,GUMLA,21813,8,Gumla (M) - Ward No.8,
250378,Dhanbad,70111,3,Dhanbad Municipal Corporation -Ward No.3,
248055,CHIRKUNDA,1023655,20,Chirkunda(NA) - Ward No.20,
248054,Dumka,69936,8,Dumka (M) - Ward No.8,
248128,Garhwa,18184,8,Garhwa (M) - Ward No.8,
250349,Giridih Municipal Corporation,1008935,29,Giridih (M) - Ward No.29,
250430,Chaibasa,21985,18,Chaibasa (M) - Ward No.18,
248050,MADHUPUR,18926,11,Madhupur (M) - Ward No.11,
253231,Bishrampur,7151,16,Bishrampur(NA)-Ward No-16,
248131,Kodarma,18869,7,Ward No.7,
277135,Domchanch,1296482,3,Ward No.3,
290212,bachra nagar panchayat,1301906,7,Ward No. 7,
248049,DEOGHAR,904345,27,VIII ????? / 01 ????? ??? ???? - 27,
250323,Hussainabad,18195,4,Hussainabad (NA) - Ward No.4,
248132,Jhumri Telaiya,616003,21,Ward no. 21,
250423,Seraikella,21850,3,Seraikela (M) - Ward No.3,
248138,Simdega,120924,12,Simdega NA - Ward No. 12,
250413,Ranchi,21792,33,Ranchi (M Corp.) - Ward No.33,
