Local Body Code,Local Body Name,Local Body Type,"District Level Parent Name
",Intermediate Level Parent Name,Ward Code,Ward Number,"Ward Name (In English)
","Ward Name (In Local)
"
509,ALAPPUZHA,District Panchayat,,,617992,1,Aroor,??????
509,ALAPPUZHA,District Panchayat,,,693771,2,Poochackal,????????????
509,ALAPPUZHA,District Panchayat,,,693772,3,Pallippuram,???????????
509,ALAPPUZHA,District Panchayat,,,693773,4,Kanjikkuzhy,??????????
509,ALAPPUZHA,District Panchayat,,,693774,5,Aryad,???????
509,ALAPPUZHA,District Panchayat,,,693775,6,Veliyanad,?????????
509,ALAPPUZHA,District Panchayat,,,693776,7,Champakkulam,??????????
509,ALAPPUZHA,District Panchayat,,,693777,8,Harippad,?????????
509,ALAPPUZHA,District Panchayat,,,693779,9,Chettikkulangara,?????????????
509,ALAPPUZHA,District Panchayat,,,693781,10,Mannar,?????????
509,ALAPPUZHA,District Panchayat,,,693788,11,Mulakkuzha,????????
509,ALAPPUZHA,District Panchayat,,,693796,12,Venmony,????????
509,ALAPPUZHA,District Panchayat,,,693803,13,Nooranad,???????
509,ALAPPUZHA,District Panchayat,,,693807,14,Bharanikkavu,??????????
509,ALAPPUZHA,District Panchayat,,,693814,15,Krishnapuram,?????????
509,ALAPPUZHA,District Panchayat,,,693894,16,Pathiyoor,??????????
509,ALAPPUZHA,District Panchayat,,,693896,17,Muthukulam,????????
509,ALAPPUZHA,District Panchayat,,,693899,18,Karuvatta,????????
509,ALAPPUZHA,District Panchayat,,,693901,19,Ambalappuzha,????????
509,ALAPPUZHA,District Panchayat,,,693902,20,Punnapra,????????
509,ALAPPUZHA,District Panchayat,,,693903,21,Mararikkulam,????????????
509,ALAPPUZHA,District Panchayat,,,693904,22,Vayalar,???????
509,ALAPPUZHA,District Panchayat,,,693906,23,Manakkodam,????????
510,ERNAKULAM,District Panchayat,,,694369,1,Karukutty,?????????
510,ERNAKULAM,District Panchayat,,,694370,2,Malayattoor,???????????
510,ERNAKULAM,District Panchayat,,,694371,3,Kalady,?????
510,ERNAKULAM,District Panchayat,,,694374,5,Rayamangalam,????????
510,ERNAKULAM,District Panchayat,,,694379,6,Pothanikkad,??????????????
510,ERNAKULAM,District Panchayat,,,694385,7,Avoly,?????
