Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name
252248,Kayamkulam,76521,18,Kayamkulam (M) - Ward No.18
252239,Changanassery,77708,12,S H SCHOOL - Ward No.12
272892,Erattupetta,1293810,9,Karayikkad - Ward No. 9
252169,Manjeri,50145,18,PAYYANAD
272901,Kondotty,1295173,15,Kottukkara
272882,Piravom,1295017,8,Thottabhagam North
259709,Kottakkal,1295224,25,ALINCHUVADU
252108,Kasaragod,76308,18,PULIKKUNNU
272903,Tirurangadi,1295396,24,Mele Chena
252256,Paravoor,50035,22,POZHIKKARA
252194,Thrissur,75875,34,KANNAMKULANGARA
252255,Kollam,1294344,53,Mulamkadakam
252258,Attingal,1294523,27,PACHAMKULAM
272884,Sreekandapuram,1294197,22,Kaniyar Vayal
252249,Chengannur,76623,5,Chengannur (M) - Ward No.5
272900,Feroke,1294673,2,Kolalithara
252233,Thodupuzha,1293971,29,KOLANI - Ward No.29
252256,Paravoor,50036,23,ANCHAL OFFICE
272911,Sulthanbathery,1294617,21,Maithanikunnu
252220,Kochi,56212,27,Fort Kochi Veli
252160,Kozhikode,1294923,68,Chakkorathkulam
252110,Kanhangad,76260,33,NHANIKKADAVU
272906,Cherpulassery,1294521,33,Nalalum Kunnu
252260,Thiruvananthapuram,2513172,57,PUNCHAKARI
252108,Kasaragod,76297,7,NULLIPPADY
272890,Iritty,1294120,25,Avatty
252230,Muvattupuzha,76056,15,PANDARIMALA
272882,Piravom,1295014,5,Karakkodu
252170,Malappuram,56347,12,KAVUNGAL
252230,Muvattupuzha,76049,8,THARBIYATH SCHOOL
272896,Payyoli,1294852,25,Payyoli Beach
259710,Nilambur,1295263,13,PATHIPPARA
272889,Kottarakkara,1294394,13,Thottam Mukku
252205,Chalakudy,76713,19,St.Marys Church
252256,Paravoor,50027,14,PUTHIYIDAM
252231,Kothamangalam,76071,7,ELAVUMPARAMBU
272885,Panoor,1294163,35,Aniyaram
252227,Thrippunithura,76006,14,HILLPALACE
259708,Thrikkakara,1295123,24,T V CENTRE
252236,Vaikom,77662,3,PERUMCHILA - Ward No.3
252159,koyilandy,56295,37,KOYILANDI SOUTH
252155,Kalpetta,49806,9,CHATHOTHU VAYAL
252247,Alappuzha,77870,24,Alappuzha (M) - Ward No.24
252260,Thiruvananthapuram,2513149,40,THIRUMALA
252200,Kodungallur,78005,16,Power House
252175,Ottappalam,76503,29,KANNIYAMPURAM VAYANASALA
252194,Thrissur,75856,15,OLLUKKARA
272901,Kondotty,1295161,3,Chemmalaprambu
272910,Mananthavady,1294569,9,Oyangadi
272902,Valanchery,1295435,24,Kasankunnu
272900,Feroke,1294699,28,Ambalangadi
252178,Chittur-Thathamangalam,75821,18,THEKKEGRAMAM
272912,Parappanangadi,1295327,44,Alumgal South
252194,Thrissur,75868,27,KUTTANELUR
252248,Kayamkulam,1294426,43,Kayamkulam (M) - Ward No.43
252170,Malappuram,56338,3,CHERUPARAMBU
252200,Kodungallur,77995,6,Society
259707,Karunagappally,1294355,9,PULLIMAN
252207,Perumbavoor,75920,16,PANKULAM
252172,Tirur,1295534,37,TOWN HALL
272890,Iritty,1294097,2,Periyathil
252139,Mattannur,1294071,32,Uthiyoor
259709,Kottakkal,1295204,5,PALAPPURA
272902,Valanchery,1295432,21,Nirappu
272900,Feroke,1294687,16,Vadakke Bazaar
272901,Kondotty,1295185,27,Kaithakkode
272910,Mananthavady,1294568,8,Wincent Giri
272885,Panoor,1294154,26,Padannakkara North
272899,Ramanattukara,1294889,26,Kodakkallu
252175,Ottappalam,76479,5,MYLUMPURAM
252205,Chalakudy,76720,26,Moonjely
272900,Feroke,1294688,17,Malayil Thazham
252176,Palakkad,77829,17,NARIKUTHI
272899,Ramanattukara,1294884,21,Muttumkunnu
272883,Kattappana,1293944,8,Kallukunnu - Ward No. 8
252180,Kunnamkulam,75829,1,MUTHUVAMMAL
252220,Kochi,56190,5,Mattancheri
252174,Shoranur,1294279,32,HEALTH CENTRE
252169,Manjeri,1295246,46,VEEMBOOR
252226,Maradu,56241,15,J B S SCHOOL
252230,Muvattupuzha,76059,18,MODEL HIGH SCHOOL
252176,Palakkad,77847,35,THIRUNELLAYI EAST
252169,Manjeri,50237,39,THADATHIPARAMBA
272882,Piravom,1295011,2,Kakkad Central
252257,Varkala,50051,12,Varkala (M) - Ward No.12
252108,Kasaragod,76309,19,KORAKKODE
272912,Parappanangadi,1295294,11,Edathuruthy kadavu
252252,Pathanamthitta,76730,6,Pathanamthitta (M) - Ward No.6
272891,Ettumanoor,1293885,32,Ettumanoor Town
272908,Pandalam,1294722,13,Kurambala South
252260,Thiruvananthapuram,2513174,59,VENGANOOR
252238,Kottayam,76178,1,GANDHI NAGAR NORTH - Ward No.1
272912,Parappanangadi,1295305,22,Naseeb Nagar
252204,Irinjalakuda,76675,3,Puthenthodu
252155,Kalpetta,75683,17,RAATTAKOLLY
272907,Mannarkad,1294465,6,Ubhayamargam
252260,Thiruvananthapuram,2513171,56,MELAMCODE
272903,Tirurangadi,1295393,21,Karimpil West
252220,Kochi,56224,39,Karukapiili
252233,Thodupuzha,76117,27,KOTHAIKUNNU - Ward No.27
252254,Punalur,49456,20,MYLAKKAL
252231,Kothamangalam,76072,8,VALADITHANDU
252171,Perinthalmanna,75757,12,KUTTIPPARA
252247,Alappuzha,77865,19,Alappuzha (M) - Ward No.19
252139,Mattannur,1294070,31,Mini Nagar
272911,Sulthanbathery,1294598,2,Chethalayam
252204,Irinjalakuda,76694,22,Municipal Office
252144,Koothuparamba,1294054,26,PAZHAYA NIRATH
272910,Mananthavady,1294595,35,Kuttimoola
252220,Kochi,77610,43,Palarivattom
252200,Kodungallur,77996,7,Vayalar
272900,Feroke,1294696,25,Nalloorangadi
252234,Palai,76122,4,PLATHANAM - Ward No.4
252110,Kanhangad,76238,11,THOYAMMAL
252259,Nedumangad,50258,11,KOLLAMKAVU
252111,Payyannur,50433,1,KANIYERI
252208,Angamaly,75933,8,I I P
272897,Koduvally,1294768,26,Narookkil
252204,Irinjalakuda,1293994,39,Kallada
272908,Pandalam,1294740,31,Cherikkal East
252184,Guruvayoor,76558,1,Thozhiyoor
272904,Tanur,1295359,31,Harbour
252170,Malappuram,56348,13,KALLAMBADI
252175,Ottappalam,76496,22,MEETNA
252139,Mattannur,75619,3,Elannur
252230,Muvattupuzha,76044,3,MOONUKANDOM COLONY
252173,Ponnani,76444,47,MUKKADI
252250,Mavelikkara,76656,16,Mavelikkara (M) - Ward No.16
252144,Koothuparamba,49735,12,NARAVOOR SOUTH
252251,Thiruvalla,1294342,38,Thiruvalla (M) - Ward No.38
272883,Kattappana,1293960,24,Vallakadavu - Ward No. 24
252170,Malappuram,1295236,37,PANAKKAD
272904,Tanur,1295363,35,Chellikkad
252231,Kothamangalam,76089,25,VENDUVAZHI SOUTH
252139,Mattannur,75636,20,Kayani
252178,Chittur-Thathamangalam,75811,8,VADAKKATHARA
259710,Nilambur,1295256,6,KARIMPUZA
252260,Thiruvananthapuram,2513145,36,VATTIYOORKAVU
252205,Chalakudy,76701,7,Potachira
252224,Kalamassery,49596,24,TOWN HALL
252204,Irinjalakuda,76674,2,Banglavu
252180,Kunnamkulam,76543,23,ARTHAT EAST
272889,Kottarakkara,1294407,26,Railway Station
272884,Sreekandapuram,1294176,1,Chemben Thotti
252204,Irinjalakuda,1293986,31,Karukulangara
272898,Mukkom,1294813,24,Manasseri Town
272884,Sreekandapuram,1294185,10,Kavusayi
252173,Ponnani,76424,27,AYYAPPANKAVU
252149,Thalassery,77734,46,KAIVATTAM
252157,Vatakara,49822,10,KAKKUZHIYIL
272908,Pandalam,1294724,15,Kurambala West
252260,Thiruvananthapuram,2513224,96,AKKULAM
252111,Payyannur,76325,31,KELOTH NORTH
272901,Kondotty,1295184,26,Kizhakkechungam
252173,Ponnani,76442,45,MURINHAZHI
252149,Thalassery,1294058,52,KODUVALLI
252239,Changanassery,77700,4,ARAMANA - Ward No.4
252144,Koothuparamba,49724,1,VAKKUMMAL
252215,Paravur,55894,3,MARKET
272903,Tirurangadi,1295389,17,Kachadi
252174,Shoranur,76469,22,MUDUKURUSSY
252176,Palakkad,77584,53,Marutharode (OG) - Ward No.53
252227,Thrippunithura,1294640,41,THEVARAKAVU
259710,Nilambur,1295269,19,MUTHUKADU
272908,Pandalam,1294726,17,Athiramala West
272885,Panoor,1294132,4,West Elankad
272903,Tirurangadi,1295401,29,Azad Nagar
252227,Thrippunithura,1294637,38,AMBALAM WARD
252157,Vatakara,49817,5,ARAKKILADU
252227,Thrippunithura,1294634,35,THOPPIL
252220,Kochi,77622,55,Girinagar
272904,Tanur,1295333,5,Attillam
272892,Erattupetta,1293818,17,Sastham kunnu - Ward No. 17
252231,Kothamangalam,76069,5,CHELADU
252261,Neyyattinkara,50283,5,PALLIVILAKAOM
252172,Tirur,75785,13,KOTT EAST
272889,Kottarakkara,1294383,2,Muslim Street
252208,Angamaly,75927,2,MANGATTUKARA
252149,Thalassery,56146,5,KUNNOTH
252174,Shoranur,76466,19,RAILWAY JUNCTION
252125,Kannur,1294022,42,Neerchal
252250,Mavelikkara,76647,7,Mavelikkara (M) - Ward No.7
252160,Kozhikode,1294922,67,Thoppayil
272882,Piravom,1295022,13,Palachuvadu
252253,Adoor,76761,11,Adoor (M) - Ward No.11
272909,Wadakkanchery,1293930,36,Silk Nagar
272897,Koduvally,1294743,1,Panakkodu
272904,Tanur,1295369,41,Chirakkal
252178,Chittur-Thathamangalam,75808,5,AMBATTUPALAYAM
272906,Cherpulassery,1294520,32,Veettikkadu
252242,Cherthala,77761,10,Cherthala (M) - Ward No.10
252234,Palai,1293891,23,COLLEGE WARD - Ward No.23
272906,Cherpulassery,1294516,28,Manjakkal
272884,Sreekandapuram,1294177,2,Korangodu
259708,Thrikkakara,1295137,38,KARIMAKKADU
252110,Kanhangad,76250,23,UPPILIKAI
272915,Anthur,1294229,24,Ozhachrom
272890,Iritty,1294110,15,Thavilakutty
252248,Kayamkulam,1294422,39,Kayamkulam (M) - Ward No.39
252200,Kodungallur,78008,19,Elthuruth
252220,Kochi,56188,3,Earaveli
272897,Koduvally,1294764,22,Vennakkad
272899,Ramanattukara,1294879,16,Thottayippadam
252174,Shoranur,1294275,28,PARUTHIPRA EAST
252254,Punalur,49441,5,NEDUMKAYAM
272900,Feroke,1294700,29,Munnilambadam
272907,Mannarkad,1294467,8,Vadakkekara
252252,Pathanamthitta,1294332,27,Pathanamthitta (M) - Ward No.27
252174,Shoranur,76456,9,KAVALAPPARA
272880,Harippad,1305424,26,Town
252125,Kannur,49679,2,Kannavu
272903,Tirurangadi,1295392,20,Kundalangad
259709,Kottakkal,1295209,10,KAVATHIKALAM EAST
252169,Manjeri,50129,2,ERAMBRA
