Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
248178,Kargil,70728,7,Goma Kargil-2,
248177,Leh,2511611,12,Skampari,
248178,Kargil,70669,10,Baroo-1,
248177,Leh,2511609,10,Housing Colony A,
248177,Leh,10861,6,Skara,
248177,Leh,10856,1,Gonpa,
248178,Kargil,68004,1,Chanchik-1,
248178,Kargil,70671,12,Baroo-3,
248177,Leh,2511610,11,Manetselding,
248177,Leh,10864,9,Housing Colony B,
248177,Leh,10859,4,Tukcha,
248177,Leh,10860,5,Shenam,
248178,Kargil,70727,6,Goma Kargil-1,
248178,Kargil,70725,4,Drethang Baltibazar,
248177,Leh,10863,8,Murtse Colony,
248178,Kargil,70726,5,Dass Pisho,
248177,Leh,10857,2,Sanker,
248177,Leh,10862,7,Skalzangling,
248177,Leh,2511612,13,Skynosgogsum Zangsti,
248177,Leh,10858,3,Chanspa,
248178,Kargil,70682,13,Baroo-4,
248178,Kargil,70729,8,Poyen,
248178,Kargil,70724,3,Thaskhan Grong-Lankore,
248178,Kargil,70723,2,Chanchik-2,
248178,Kargil,70730,9,Poyen Bagh-i-Khumini,
248178,Kargil,70670,11,Baroo-2,
,,,,,
,,,,,
