Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
253195,Amarkantak,14184,9,Markndey Ward,
250709,Badarwas,7486,12,Laxmi Ganj Ward,
250945,Berasia,881911,17,17 Rani Avantibai Ward,
250887,Dhar,16380,19,MAHARANA PRATAP WARD,
250692,Alampur,4712,7,Tilak Nagar ward,
250691,Lahar,71540,9,Indira Gandhi Ward,
248072,BETUL,78699,12,Deshbandhu Ward,
250711,Khaniyadhana,7528,12,MAHARANI LAXMI BAI WARD,
250679,Joura,4407,15,Partly Leo Ward,
250677,Morena,1299673,43,RAJGURU Ward,
250866,Sonkatch,78229,2,WARD 02 JAWAHAR WARD,
250715,Ashoknagar,72025,16,Gandhi ward,
250860,Shajapur,7943,12,WARD 12 Maharana Pratap Ward,
250694,Gwalior,4887,44,Shahid amar chandra bathia,
250837,Jaora,5237,20,Jaora (M) - Ward No.20,
250748,Buxwaha,9538,8,RAJIV GANDHI WARD,
250711,Khaniyadhana,7530,14,Shastri Ward,
263020,BANKHEDI,1297147,6,Sant Ravidas Ward,
250966,Khirkiya,36576,5,Sanjay Gandhi Ward,
250803,Nowrozabad - Khodargama,13166,2,Maulana Azad Ward,
293808,Damua,1307069,2,Veer Sawarkar ward,
250947,Sehore,34424,29,Sehore (M) - Mahavir Ward,
250944,Vidisha,78606,33,Tamoriya & Mirjapur Ward,
250792,Baikunthpur,73229,11,Rajiv Ward,
250979,Murwara - Katni,78803,34,FORESTER WARD,
250746,Satai,9522,7,Chhatrashal Ward,
250985,Patan,41606,4,Dr. Ambedkar,
251026,Chhindwara,1299762,45,MAHARSHI VALMIKI WARD,
293821,Prithvipur,1307165,10,Dr Ram manohar lohiya ward,
250952,Budni,78639,15,Budni (NP) - Dr. Bhimrao Ambedkar Ward,
253134,Kukdeshwar,1300164,3,AMBEDKAR WARD 03,
250738,Nowgong,72351,10,Shastri Ward,
253162,Lanji,1299709,14,Dr. Shyamaprasad Mukherjee Ward,
290389,Bagali,1306183,6,Kalikothi ward,
253170,NIWAS,1300102,14,Patha Ward,
250781,Satna,72591,41,41 Maharana Pratap Ward,
253170,NIWAS,1300092,4,Amadogri Ward,
250970,Itarsi,37467,1,Jai Prakashnagar,
250699,Antari,5914,3,Mahatma Gandhi Ward,
251030,Pandhurna,48831,29,Subhash Ward,
250887,Dhar,16367,6,SIDHNATH WARD,
250974,Hoshangabad,37523,20,Adamgarh Ward,
250780,Jaitwara,12070,6,Shivaji Ward,
250923,Khandwa,23288,40,Amar Shahid Asfaq Ullah Ward No.40 Khandwa (M Corp.),
250961,Badi,78671,14,Badi (NP) - Vazeerganj Ward,
250703,Datia,6313,17,Full Holly Ward,
250851,Ujjain,7671,51,Pt din dayal,
250709,Badarwas,7481,7,Lalvhadur Shastri Ward,
250995,Jabalpur,935302,78,Naya ward-ward no 78,
250891,Kukshi,21144,1,Pashchim Ward,
251029,Lodhikheda,48536,8,Gurudev,
250746,Satai,9521,6,Tilak Ward,
250778,Birsinghpur,11374,5,Tilak Ward,
263010,PANKHEDI KALAPIPAL,1300045,2,Pankhedi (NP) Ward No. 2,
251040,Balaghat,1370,2,WARD 2-Shivaji Ward,
250924,Pandhana,78489,9,Maharana Pratap Ward No.9 Pandhana (NP),
250872,Hatpipalya,13295,6,Mahakal marg,
253196,Jaithari,14168,8,Malviya Ward,
251010,Jamai,45052,12,Tatyatope Ward,
250741,Chhatarpur,8628,17,Bhawani Singh Ju Deo Ward,
250944,Vidisha,78588,15,Chhatrapati Shivaji Ward,
250719,Aron,7837,3,ganeshwari mohalla chatrapati shivaji wa,
250866,Sonkatch,78237,10,WARD 10 LAL BAHADUR SHASTRI WARD,
250862,Shujalpur,7974,3,Shivaji Ward,
250869,Loharda,78247,5,Shyama prasad Mukherji Ward,
250853,Soyatkalan,7703,8,WARD 08 Swami Vivekananda Ward,
250845,Khacharod,5400,7,Mahatma Gandhi Ward,
250944,Vidisha,78586,13,Balaji Ward,
250961,Badi,78667,10,Badi (NP) - Pandit Jawahar Lal Nehru Ward,
250919,Sendhwa,23210,16,Maulana Abdul Kalam Azad Ward,
250688,Gohad,4556,11,Laxman tal ward,
250823,Neemuch,3803,23,WARD 23 Dayanand Ward,
250772,Patharia,10180,3,Rani Durgavati Ward,
250694,Gwalior,4903,59,Harisingh darshan,
250843,Ratlam,5360,33,WARD 33 Dr. Lal Bahadur Shastri Ward,
250752,Kakarhati,9582,10,Jawahar Ward,
250912,Bhikangaon,78427,7,Ramganj ward,
250901,Indore,903126,80,Dr Rajendra Prasaad,
250684,Bhind,4504,28,Pandit Deen Dayal Upadhyay Ward,
250746,Satai,9526,11,Rani Durgawati Ward,
250944,Vidisha,78577,4,Jawaharlal Nehru Ward,
250855,Nalkheda,7739,14,BHAGAT SINGH WARD,
250705,Shivpuri,7024,11,Hanuman Ward,
250705,Shivpuri,7049,36,Mukherjee Ward,
293821,Prithvipur,1307157,2,Nehru ward,
251003,Shahpura,42003,2,DR.RAJENDRA PRASAD WARD,
297930,Gunnor,2519952,Ward No 9,Ward No 9,
250849,Mahidpur,7323,5,SUBHASH WARD,
250961,Badi,78661,4,Badi (NP) - Chandra Shekher Azad Ward,
250804,Khand - Bansagar,13183,4,Khand (Bansagar) (NP) - Ward No.4,
250834,Nagri,78140,6,MAHAVEER WARD,
