S.No.,Local Body Code,Local Body Version,Local Body Name      (In English),Local Body Name (In Local),Local Body Type Code,Local Body Type Name,Parent Local Body Code,
1,262066,1,AGAR MALWA,AGAR MALWA,1,District Panchayat,,
2,583,1,ALIRAJPUR,?????????,1,District Panchayat,,
3,349,1,ANUPPUR,ANUPPUR,1,District Panchayat,,
4,350,1,ASHOKNAGAR,ASHOKNAGAR,1,District Panchayat,,
5,351,1,BALAGHAT,???????,1,District Panchayat,,
6,352,1,BARWANI,???????,1,District Panchayat,,
7,353,1,BETUL,?????,1,District Panchayat,,
8,354,1,BHIND,??????,1,District Panchayat,,
9,355,1,BHOPAL,BHOPAL,1,District Panchayat,,
10,356,1,BURHANPUR,BURHANPUR,1,District Panchayat,,
11,357,1,CHHATARPUR,CHHATARPUR,1,District Panchayat,,
12,358,1,CHHINDWARA,CHHINDWARA,1,District Panchayat,,
13,359,1,DAMOH,????,1,District Panchayat,,
14,360,1,DATIA,DATIA,1,District Panchayat,,
15,361,1,DEWAS,DEWAS,1,District Panchayat,,
16,362,1,DHAR,DHAR,1,District Panchayat,,
17,363,1,DINDORI,DINDORI,1,District Panchayat,,
18,364,1,EAST NIMAR,????? ?????? ???????,1,District Panchayat,,
19,365,1,GUNA,????,1,District Panchayat,,
20,366,1,GWALIOR,GWALIOR,1,District Panchayat,,
21,367,1,HARDA,HARDA,1,District Panchayat,,
22,368,1,HOSHANGABAD,HOSHANGABAD,1,District Panchayat,,
23,369,1,INDORE,INDORE,1,District Panchayat,,
24,370,1,JABALPUR,JABALPUR,1,District Panchayat,,
25,371,1,JHABUA,JHABUA,1,District Panchayat,,
26,372,1,KATNI,KATNI,1,District Panchayat,,
27,373,1,KHARGONE,?????,1,District Panchayat,,
28,374,1,MANDLA,MANDLA,1,District Panchayat,,
29,375,1,MANDSAUR,MANDSAUR,1,District Panchayat,,
30,376,1,MORENA,MORENA,1,District Panchayat,,
31,377,1,NARSINGHPUR,NARSINGHPUR,1,District Panchayat,,
32,378,1,NEEMUCH,NEEMUCH,1,District Panchayat,,
33,379,1,PANNA,??????,1,District Panchayat,,
34,380,1,RAISEN,RAISEN,1,District Panchayat,,
35,381,1,RAJGARH,RAJGARH,1,District Panchayat,,
36,382,1,RATLAM,RATLAM,1,District Panchayat,,
37,383,1,REWA,REWA,1,District Panchayat,,
