Local Body Code,Local Body Name,Local Body Type,"District Level Parent Name
",Intermediate Level Parent Name,Ward Code,Ward Number,"Ward Name (In English)
","Ward Name (In Local)
",
235,BISHNUPUR,District Panchayat,,,116196,1/1,Utlou,Utlou,
235,BISHNUPUR,District Panchayat,,,970808,1/2,Leimapokpam,Leimapokpam,
235,BISHNUPUR,District Panchayat,,,970809,1/3,Keinou,Keinou,
235,BISHNUPUR,District Panchayat,,,970810,1/4,Ngaikhong Khullen,Ngaikhong Khullen,
235,BISHNUPUR,District Panchayat,,,970811,1/5,Nachou,Nachou,
235,BISHNUPUR,District Panchayat,,,970812,1/6,Thinungei,Thinungei,
235,BISHNUPUR,District Panchayat,,,970813,1/7,Ngangkhalawai,Ngangkhalawai,
235,BISHNUPUR,District Panchayat,,,970814,1/8,Kha-Thinungei,Kha-Thinungei,
235,BISHNUPUR,District Panchayat,,,970815,1/9,Thanga,Thanga,
235,BISHNUPUR,District Panchayat,,,970816,1/10,Wangoo Borayangbi,Wangoo Borayangbi,
235,BISHNUPUR,District Panchayat,,,970817,1/11,Kwakta,Kwakta,
236,IMPHAL EAST,District Panchayat,,,973878,1/1,Tellou Chana Seijang,Tellou Chana Seijang,
236,IMPHAL EAST,District Panchayat,,,973879,1/2,Sawombung,Sawombung,
236,IMPHAL EAST,District Panchayat,,,973880,1/3,Makeng Dolaithabi,Makeng Dolaithabi,
236,IMPHAL EAST,District Panchayat,,,973881,1/4,Khundrakpam,Khundrakpam,
236,IMPHAL EAST,District Panchayat,,,973882,1/5,Kontha Khabam,Kontha Khabam,
236,IMPHAL EAST,District Panchayat,,,973883,1/6,Laipham Khunou,Laipham Khunou,
236,IMPHAL EAST,District Panchayat,,,973884,1/7,Kairang Khomidok,Kairang Khomidok,
236,IMPHAL EAST,District Panchayat,,,973885,1/8,Khurai Nandeibam Leikai,Khurai Nandeibam Leikai,
236,IMPHAL EAST,District Panchayat,,,973886,1/9,Khurai Chingangbam Leikai,Khurai Chingangbam Leikai,
236,IMPHAL EAST,District Panchayat,,,973887,2/10,Top Naoria,Top Naoria,
236,IMPHAL EAST,District Panchayat,,,973888,2/11,Kshetrigao Pt. I,Kshetrigao Pt. I,
236,IMPHAL EAST,District Panchayat,,,973889,2/12,Bamon Kampu,Bamon Kampu,
236,IMPHAL EAST,District Panchayat,,,973890,2/13,Bashikhong,Bashikhong,
236,IMPHAL EAST,District Panchayat,,,973891,2/14,Uchekon Nongchup,Uchekon Nongchup,
236,IMPHAL EAST,District Panchayat,,,973892,2/15,Keirao Makting,Keirao Makting,
236,IMPHAL EAST,District Panchayat,,,973893,2/16,Tulihal,Tulihal,
236,IMPHAL EAST,District Panchayat,,,973894,2/17,Changamdabi,Changamdabi,
237,IMPHAL WEST,District Panchayat,,,934189,1/1,YAROU BAMDIAR,YAROU BAMDIAR,
237,IMPHAL WEST,District Panchayat,,,934190,1/2,YUREMBAM,YUREMBAM,
237,IMPHAL WEST,District Panchayat,,,934191,1/3,PATSOI,PATSOI,
237,IMPHAL WEST,District Panchayat,,,934192,1/4,TAKYEL,TAKYEL,
237,IMPHAL WEST,District Panchayat,,,934193,1/5,CHANGANGEI,CHANGANGEI,
