Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
276536,Kakching Khunou Municipal Council,1301668,8,KKMC Ward 8,
276551,Samourou Municipal Council,1301785,11,Samurou MC Ward 11,
276547,Imphal Municipal Corporation,1301639,18,IMC Ward 18,
276500,Kakching Municipal Council,1301679,10,KMC Ward 10,
276551,Samourou Municipal Council,1301778,4,Samurou MC Ward 4,
276530,Ningthoukhong Municipal Council,1301763,12,Ningthoukhong MC Ward 12,
276511,Wangjing Lamding Municipal Council,1301840,7,Wangjing MC Ward 7,
276536,Kakching Khunou Municipal Council,1301666,6,KKMC Ward 6,
276511,Wangjing Lamding Municipal Council,1301837,4,Wangjing MC Ward 4,
276515,Nambol Municipal Council,1301748,15,NMC Ward 15,
276515,Nambol Municipal Council,1301737,4,NMC Ward 4,
276545,Lamsang Nagar Panchayat,1301890,9,LNP Ward 9,
276548,Lilong (Imphal West) Nagar Panchayat,1301894,4,Lilong IW Ward 4,
276498,Thoubal Municipal Council,1301827,12,Tbl MC Ward 12,
276552,Mayang Imphal Municipal Council,1301714,6,Mayang Imp MC Ward 6,
276510,Sugunu Municipal Council,1301799,4,Sugnu MC Ward 4,
276549,Wangoi Municipal Council,1301849,7,Wangoi MC Ward 7,
276536,Kakching Khunou Municipal Council,1301667,7,KKMC Ward 7,
276514,Moirang Municipal Council,1301729,8,MMC Ward 8,
276514,Moirang Municipal Council,1301725,4,MMC Ward 4,
276498,Thoubal Municipal Council,1301826,11,Tbl MC Ward 11,
276509,Shikhong Sekmai Municipal Council,1301787,1,Sikhong Sekmai MC Ward 1,
276510,Sugunu Municipal Council,1301798,3,Sugnu MC Ward 3,
276501,Bishnupur Municipal Council,1301651,3,BMC Ward 3,
276515,Nambol Municipal Council,1301749,16,NMC Ward 16,
276501,Bishnupur Municipal Council,1301650,2,BMC Ward 2,
276548,Lilong (Imphal West) Nagar Panchayat,1301899,9,Lilong IW Ward 9,
276514,Moirang Municipal Council,1301728,7,MMC Ward 7,
276511,Wangjing Lamding Municipal Council,1301841,8,Wangjing MC Ward 8,
276552,Mayang Imphal Municipal Council,1301720,12,Mayang Imp MC Ward 12,
276498,Thoubal Municipal Council,1301823,8,Tbl MC Ward 8,
276498,Thoubal Municipal Council,1301825,10,Tbl MC Ward 10,
276525,Kwakta Municipal Council,1301688,7,Kwakta MC Ward 7,
276547,Imphal Municipal Corporation,1301627,6,IMC Ward 6,
276513,Yairipok Municipal Council,1301858,7,YMC Ward 7,
276536,Kakching Khunou Municipal Council,1301661,1,KKMC Ward 1,
276508,Lamlai Municipal Council,1301697,7,LMC Ward 7,
276498,Thoubal Municipal Council,1301816,1,Tbl MC Ward 1,
276525,Kwakta Municipal Council,1301689,8,Kwakta MC Ward 8,
276530,Ningthoukhong Municipal Council,1301764,13,Ningthoukhong MC Ward 13,
276500,Kakching Municipal Council,1301670,1,KMC Ward 1,
276525,Kwakta Municipal Council,1301685,4,Kwakta MC Ward 4,
276551,Samourou Municipal Council,1301779,5,Samurou MC Ward 5,
276547,Imphal Municipal Corporation,1301630,9,IMC Ward 9,
276547,Imphal Municipal Corporation,1301634,13,IMC Ward 13,
276547,Imphal Municipal Corporation,1301632,11,IMC Ward 11,
276500,Kakching Municipal Council,1301680,11,KMC Ward 11,
276501,Bishnupur Municipal Council,1301655,7,BMC Ward 7,
276500,Kakching Municipal Council,1301681,12,KMC Ward 12,
276527,Andro Nagar Panchayat,1301866,6,AMC Ward 6,
276530,Ningthoukhong Municipal Council,1301758,7,Ningthoukhong MC Ward 7,
276506,OInam Municipal Council,1301772,7,OMC Ward 7,
276498,Thoubal Municipal Council,1301828,13,Tbl MC Ward 13,
276511,Wangjing Lamding Municipal Council,1301838,5,Wangjing MC Ward 5,
276498,Thoubal Municipal Council,1301820,5,Tbl MC Ward 5,
276509,Shikhong Sekmai Municipal Council,1301791,5,Sikhong Sekmai MC Ward 5,
276509,Shikhong Sekmai Municipal Council,1301795,9,Sikhong Sekmai MC Ward 9,
276530,Ningthoukhong Municipal Council,1301754,3,Ningthoukhong MC Ward 3,
276510,Sugunu Municipal Council,1301796,1,Sugnu MC Ward 1,
276498,Thoubal Municipal Council,1301831,16,Tbl MC Ward 16,
276550,Thongkhong Laxmi Municipal Council,1301807,3,Thongkhong Laxmi MC Ward 3,
276525,Kwakta Municipal Council,1301690,9,Kwakta MC Ward 9,
276501,Bishnupur Municipal Council,1301654,6,BMC Ward 6,
276501,Bishnupur Municipal Council,1301659,11,BMC Ward 11,
276515,Nambol Municipal Council,1301734,1,NMC Ward 1,
276513,Yairipok Municipal Council,1301859,8,YMC Ward 8,
276509,Shikhong Sekmai Municipal Council,1301790,4,Sikhong Sekmai MC Ward 4,
276501,Bishnupur Municipal Council,1301653,5,BMC Ward 5,
276547,Imphal Municipal Corporation,1301635,14,IMC Ward 14,
276515,Nambol Municipal Council,1301750,17,NMC Ward 17,
276515,Nambol Municipal Council,1301745,12,NMC Ward 12,
276549,Wangoi Municipal Council,1301847,5,Wangoi MC Ward 5,
276548,Lilong (Imphal West) Nagar Panchayat,1301898,8,Lilong IW Ward 8,
276551,Samourou Municipal Council,1301781,7,Samurou MC Ward 7,
276509,Shikhong Sekmai Municipal Council,1301789,3,Sikhong Sekmai MC Ward 3,
276552,Mayang Imphal Municipal Council,1301717,9,Mayang Imp MC Ward 9,
276550,Thongkhong Laxmi Municipal Council,1301808,4,Thongkhong Laxmi MC Ward 4,
276552,Mayang Imphal Municipal Council,1301721,13,Mayang Imp MC Ward 13,
276506,OInam Municipal Council,1301769,4,OMC Ward 4,
276513,Yairipok Municipal Council,1301854,3,YMC Ward 3,
276514,Moirang Municipal Council,1301723,2,MMC Ward 2,
276510,Sugunu Municipal Council,1301802,7,Sugnu MC Ward 7,
276549,Wangoi Municipal Council,1301851,9,Wangoi MC Ward 9,
276550,Thongkhong Laxmi Municipal Council,1301815,11,Thongkhong Laxmi MC Ward 11,
276501,Bishnupur Municipal Council,1301657,9,BMC Ward 9,
276547,Imphal Municipal Corporation,1301637,16,IMC Ward 16,
276515,Nambol Municipal Council,1301744,11,NMC Ward 11,
276550,Thongkhong Laxmi Municipal Council,1301809,5,Thongkhong Laxmi MC Ward 5,
276501,Bishnupur Municipal Council,1301658,10,BMC Ward 10,
276514,Moirang Municipal Council,1301726,5,MMC Ward 5,
276551,Samourou Municipal Council,1301776,2,Samurou MC Ward 2,
276547,Imphal Municipal Corporation,1301646,25,IMC Ward 25,
276547,Imphal Municipal Corporation,1301624,3,IMC Ward 3,
276549,Wangoi Municipal Council,1301844,2,Wangoi MC Ward 2,
276514,Moirang Municipal Council,1301722,1,MMC Ward 1,
276513,Yairipok Municipal Council,1301860,9,YMC Ward 9,
276500,Kakching Municipal Council,1301675,6,KMC Ward 6,
276525,Kwakta Municipal Council,1301687,6,Kwakta MC Ward 6,
276551,Samourou Municipal Council,1301786,12,Samurou MC Ward 12,
276551,Samourou Municipal Council,1301782,8,Samurou MC Ward 8,
276498,Thoubal Municipal Council,1301818,3,Tbl MC Ward 3,
