Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
251281,Dondaicha-Warwade,50511,3,Dondaicha-Warwade(M Cl) - Ward No. - 3,
251488,Greater Mumbai,55770,16,R/Central - Ward No. 16,
251562,Ahmadpur,61146,9,Ahmadpur (M Cl) - Ward No 9,
251386,Yavatmal,47136,8,Yavatmal (M Cl) Ward No.8,
251444,Bhagur,62142,4,Bhagur (Mu Cl) - Ward No.4,
276321,Devgad-Jamsande,1304853,9,Ward No. 9,
251404,Dharmabad,47319,8,Dharmabad (M CI) - Ward No. 8,
251438,Malegaon,62070,15,Malegaon (Mu Corp. + OG) WARD NO. 15,
251593,Satara,72139,16,Satara (M Cl)  Ward No.16,
251440,Manmad,47886,6,Manmad (Mu Cl) - Ward No.06,
251403,Peth Umri,61230,2,Peth Umri (M CI) - Ward No.2,
251366,Umred,59881,3,Umred (M Cl)  Ward No.3,
251625,Kolhapur,73417,30,Ward No.30,
251390,Digras,60850,10,Digras (M Cl) Ward No.10,
251304,Chikhli,45456,11,Chikhli (M Cl) - Ward No.11,
251438,Malegaon,62101,46,Malegaon (Mu Corp. + OG) WARD NO. 46,
251575,Kurduvadi,65979,9,Kurduvadi (M Cl) - Ward No.9,
251577,Solapur,70896,84,Solapur (M Corp.) - Ward No.84,
251472,Navi Mumbai,48577,46,Navi Mumbai (M Corp.) - Ward No.46,
251371,Gondiya,46886,8,Gondiya (M Cl) - Ward No 8,
276358,GONDPIMPRI,2312028,16,Gondpimpri (N P) - Ward No. 16,
251426,Kannad,61739,15,Kannad (M Cl) - Ward No.15,
251322,Anjangaon,1719407,6,Anjangaon (M CI) - Ward No. 6,
251520,Chakan,1306625,18,Chakan (M CI) - Ward No.18,
251530,Pune,76974,9,Pune(M Corp.)Ward No.9 Baner-Balevadi-Pashan,
251334,Wardha,46143,7,Wardha (M Cl) - Ward No.7,
251436,Soyagaon,47862,1,Soyagaon (CT) - Ward No.1,
251328,Amravati,45995,7,Amravati (M Corp.) - Ward No.7,
251561,Latur,77169,2,Latur (M Cl) - Ward No.2,
251639,Sangli-Miraj Kupwad,77476,66,Sangli-Miraj Kupwad (M Corp.) - Ward No.66,
251510,Goregaon,1884510,13,Goregaon (N.P) - Ward No.13,
251548,Ahmadnagar,3151,65,Ahmadnagar (M Cl) - Ward No.65,
251477,Bhiwandi,48666,65,Bhiwandi (M Cl) - Ward No.65,
251423,Jalna,47697,5,Jalna (M CI) - Ward No. 5,
251601,Khed,72195,9,Khed (M Cl) - Ward No.9,
251322,Anjangaon,1719414,13,Anjangaon (M CI) - Ward No. 13,
251410,Deglur,47499,11,Deglur (M CI) - Ward No. 11,
251561,Latur,77217,50,Latur (M Cl) - Ward No.50,
251406,Biloli,61343,1,Biloli (M CI) - Ward No. 1,
248081,Municipal Council Desaiganj ( Wadsa),59917,11,Desaiganj (M Cl) - Ward No.11,
276379,SAMUDRAPUR,1741597,13,Ward no.13,
276357,KORPANA,2311948,7,Korpana (N P) - Ward No. 7,
276303,MALSHIRAS,1306268,8,Malshiras (N P)-Ward No.8,
251488,Greater Mumbai,1291702,148,M/East - Ward No. 148,
251472,Navi Mumbai,48176,9,Navi Mumbai (M Corp.) - Ward No.9,
251542,Shirdi,57562,10,Shirdi (NP) - Ward No.10,
251639,Sangli-Miraj Kupwad,77436,26,Sangli-Miraj Kupwad (M Corp.) - Ward No.26,
251619,Ichalkaranji,73346,21,Ward No.21,
251477,Bhiwandi,48660,59,Bhiwandi (M Cl) - Ward No.59,
251546,Pathardi,58432,3,Pathardi (M Cl) - Ward No 3,
251303,Mehkar,45437,10,Mehkar (M Cl) - Ward No.10,
