Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
249814,Shillong,3347,11,Jail Road - Ward No.11,
249809,Baghmara,2602,6,R.C.Compound - Ward No.6,
249814,Shillong,3342,6,Malki - Ward No.6,
249806,Tura Municipal Board,951,2,Ward No. 2,
249807,Resubelpara,2534,10,Mendipathar - Ward No.10,
249811,Mairang,1298500,10,Donggate B,
249807,Resubelpara,2532,8,Gajingpara - Ward No.8,
249810,Nongstoin,2880,2,Nongstoin (TC) - Ward No.2,
249814,Shillong,3358,22,Kenches Trace - Ward No.22,
249812,Nongpoh,1298491,23,Shangbangla,
249809,Baghmara,2603,7,Konagittim - Ward No.7,
249811,Mairang,1298505,15,Mission 3,
249812,Nongpoh,1298488,20,Mawphrew,
249808,Williamnagar,70672,1,Williamnagar (MB) - Ward No.1,
249812,Nongpoh,1298482,14,Mawdiangum,
249810,Nongstoin,2886,8,Nongstoin (TC) - Ward No.8,
249812,Nongpoh,1298490,22,Pahambirlum Them,
249808,Williamnagar,70674,3,Williamnagar (MB) - Ward No.3,
249814,Shillong,3360,24,Laban - Ward No.24,
249814,Shillong,3355,19,Mawprem - Ward No.19,
249807,Resubelpara,2529,5,Darampara - Ward No.5,
249807,Resubelpara,2537,13,Nokcharpara - Ward No.13,
249820,Jowai,71066,2,Ladthalaboh West - Ward No.2,
249812,Nongpoh,1298480,12,Pahamlapong,
249807,Resubelpara,2527,3,Chobagok - Ward No.3,
249808,Williamnagar,70680,9,Williamnagar (MB) - Ward No.9,
282009,Mawkyrwat,1299539,5,Pynden Sakwang - Ward No.5,
249814,Shillong,3357,21,Mawprem - Ward No.21,
249811,Mairang,1298501,11,Mawsawa,
249811,Mairang,1298499,9,Donggate A,
249811,Mairang,1298504,14,Mission 2,
249812,Nongpoh,1298473,5,Umshangling,
249810,Nongstoin,2895,17,Nongstoin (TC) - Ward No.17,
249811,Mairang,1298497,7,Lummaralong,
249810,Nongstoin,2882,4,Nongstoin (TC) - Ward No.4,
249812,Nongpoh,1298471,3,Pahamrioh Them,
249806,Tura Municipal Board,2363,3,Ward No. 3,
249806,Tura Municipal Board,2368,8,Ward No. 8,
249820,Jowai,71074,10,Lulong - Ward No.10,
249814,Shillong,3359,23,Kenches Trace - Ward No.23,
279714,Khliehriat,1298468,4,Khliehriat - East,
249806,Tura Municipal Board,2370,10,Ward No. 10,
249811,Mairang,2902,1,Mairang (TC) - Ward No.1,
249820,Jowai,71071,7,Shiliang Raij Lumkyrwiang - Ward No.7,
249820,Jowai,71067,3,Iaw Musiang - Ward No.3,
249812,Nongpoh,1298485,17,Saiden,
279714,Khliehriat,1298467,3,Khliehriat - West,
249811,Mairang,1298507,17,Lumsohkhlur,
249811,Mairang,1298495,5,Lumiew A,
249820,Jowai,71076,12,Panaliar - Ward No.12,
249820,Jowai,71077,13,Lumiongkjam - Ward No.13,
249807,Resubelpara,2525,1,Haluapara - Ward No.1,
249814,Shillong,3361,25,Laban - Ward No.25,
249808,Williamnagar,70679,8,Williamnagar (MB) - Ward No.8,
249820,Jowai,71073,9,Tpeppale - Ward No.9,
249806,Tura Municipal Board,2369,9,Ward No. 9,
249809,Baghmara,2598,2,Lower Jongkol - Ward No.2,
249811,Mairang,1298492,2,Langstiehrim A,
249812,Nongpoh,1298481,13,Pahamsohthri,
249808,Williamnagar,70681,10,Williamnagar (MB) - Ward No.10,
249812,Nongpoh,1298486,18,Mawtnum,
249820,Jowai,71070,6,Khimmusniang - Ward No.6,
249814,Shillong,3356,20,Mawprem - Ward No.20,
249806,Tura Municipal Board,2367,7,Ward No. 7,
282009,Mawkyrwat,1299538,4,Nonglang - Ward No.4,
249807,Resubelpara,2526,2,Bakrapara - Ward No.2,
249814,Shillong,3362,26,Lumparing - Ward No.26,
249814,Shillong,3341,5,Malki - Ward No.5,
249820,Jowai,71069,5,Chutwakhu - Ward No.5,
249810,Nongstoin,2896,18,Nongstoin (TC) - Ward No.18,
249814,Shillong,3352,16,Jaiaw - Ward No.16,
282009,Mawkyrwat,1299535,1,Mawkyrwat - Ward No.1,
249806,Tura Municipal Board,1299532,13,Ward No. 13,
249810,Nongstoin,2892,14,Nongstoin (TC) - Ward No.14,
279714,Khliehriat,1298465,1,Dkhiah - West,
249812,Nongpoh,1298487,19,Pahamumskun,
249810,Nongstoin,2883,5,Nongstoin (TC) - Ward No.5,
282009,Mawkyrwat,1299540,6,Sohkhyllam - Ward No.6,
249811,Mairang,1298493,3,Langstiehrim B,
249812,Nongpoh,3095,1,Nongpoh (TC) - Ward No.1,
249812,Nongpoh,1298477,9,Nongkhrah,
249810,Nongstoin,2894,16,Nongstoin (TC) - Ward No.16,
249810,Nongstoin,2881,3,Nongstoin (TC) - Ward No.3,
249811,Mairang,1298508,18,Sangshong,
249806,Tura Municipal Board,2364,4,Ward No. 4,
249808,Williamnagar,1299534,12,Williamnagar (MB) - Ward No.12,
249811,Mairang,1298506,16,Mawlong,
249808,Williamnagar,70675,4,Williamnagar (MB) - Ward No.4,
249814,Shillong,3351,15,Jaiaw - Ward No.15,
249811,Mairang,1298511,21,Nongbah Bynther,
249812,Nongpoh,1298476,8,Umbuda,
249814,Shillong,3339,3,Laitumkhrah - Ward No.3,
249812,Nongpoh,1298475,7,Nongpoh Proper,
249808,Williamnagar,70677,6,Williamnagar (MB) - Ward No.6,
249808,Williamnagar,70676,5,Williamnagar (MB) - Ward No.5,
249814,Shillong,3340,4,Laitumkhrah - Ward No.4,
249808,Williamnagar,70673,2,Williamnagar (MB) - Ward No.2,
249814,Shillong,3353,17,S.E. Mawkhar - Ward No.17,
249812,Nongpoh,1298472,4,Umrangksai,
249814,Shillong,3348,12,Mawkhar - Ward No.12,
249807,Resubelpara,2533,9,Salpara - Ward No.9,
249808,Williamnagar,70678,7,Williamnagar (MB) - Ward No.7,
249806,Tura Municipal Board,2416,1,Ward No. 1,
249814,Shillong,3350,14,Jaiaw - Ward No.14,
249814,Shillong,3337,1,Laitumkhrah - Ward No.1,
249820,Jowai,71072,8,Mission Compound - Ward No.8,
249807,Resubelpara,2528,4,Babukona - Ward No.4,
249814,Shillong,3338,2,Laitumkhrah - Ward No.2,
249809,Baghmara,2607,11,Belsalgre - Ward No.11,
249811,Mairang,1298503,13,Mission 1,
249807,Resubelpara,2536,12,Dekachang - Ward No.12,
249814,Shillong,3344,8,Europeon Ward - Ward No.8,
249814,Shillong,3349,13,Mawkhar - Ward No.13,
249809,Baghmara,2609,13,Baghmara (MB) - Ward No.13,
279714,Khliehriat,1298469,5,Deinshynrum,
249811,Mairang,1298498,8,Dongbir,
249812,Nongpoh,1298484,16,Umjarasi,
249806,Tura Municipal Board,2366,6,Ward No. 6,
249810,Nongstoin,2885,7,Nongstoin (TC) - Ward No.7,
249812,Nongpoh,1298478,10,Mawroh,
