Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
249770,Aizawl,12400,22,Aizawl (NT) - Ward No.22,
249773,Champhai,12449,5,Champhai (NT) - Ward No.5,
277318,Aizawl Municipal Co-operation,1297244,10.b,Zotlang,
277318,Aizawl Municipal Co-operation,1297248,11.b,Chawlhmun,
277318,Aizawl Municipal Co-operation,1297226,5.a,Electric,
249771,Saitual,68648,2,Saitual (NT) - Ward No.2,
249762,Mamit,68642,1,Mamit (NT) - Ward No.1,
277318,Aizawl Municipal Co-operation,1297221,3.e,Laipuitlang,
277318,Aizawl Municipal Co-operation,1297213,1.f,Muanna Veng,
249769,Sairang,68646,4,Sairang (NT) - Ward No.4,
249771,Saitual,68649,3,Saitual (NT) - Ward No.3,
249776,Serchhip,12464,3,Serchhip (NT) - Ward No.3,
249770,Aizawl,12412,41,Aizawl (NT) - Ward No.41,
249770,Aizawl,12402,24,Aizawl (NT) - Ward No.24,
277318,Aizawl Municipal Co-operation,1297208,1.a,Selesih,
249770,Aizawl,12417,46,Aizawl (NT) - Ward No.46,
249770,Aizawl,12413,42,Aizawl (NT) - Ward No.42,
249770,Aizawl,12426,55,Aizawl (NT) - Ward No.55,
277318,Aizawl Municipal Co-operation,1297209,1.b,Durtlang North,
249770,Aizawl,12398,20,Aizawl (NT) - Ward No.20,
249770,Aizawl,12399,21,Aizawl (NT) - Ward No.21,
249780,Lunglei,68658,7,Lunglei (NT) - Ward No.7,
249779,Tlabung,12470,2,Tlabung (NT) - Ward No.2,
277318,Aizawl Municipal Co-operation,1297241,9.c,Chhinga Veng,
249770,Aizawl,12370,36,Aizawl (NT) - Ward No.36,
277318,Aizawl Municipal Co-operation,1297224,4.c,Ramthar,
249763,Lengpui,12354,1,Lengpui (NT) - Ward No.1,
249780,Lunglei,68673,22,Lunglei (NT) - Ward No.22,
249773,Champhai,12451,7,Champhai (NT) - Ward No.7,
249770,Aizawl,12438,67,Aizawl (NT) - Ward No.67,
249767,N.Kawnpui,12366,1,N.Kawnpui (NT) - Ward No.1,
249782,Saiha,68682,9,Saiha (NT) - Ward No.9,
249770,Aizawl,12418,47,Aizawl (NT) - Ward No.47,
249782,Saiha,68674,1,Saiha (NT) - Ward No.1,
249764,Vairengte,12355,1,Vairengte (NT) - Ward No.1,
277318,Aizawl Municipal Co-operation,2495591,2.d,Chaltlang Lily Veng,
277318,Aizawl Municipal Co-operation,1297228,5.c,Zarkawt,
249774,Khawhai,12460,1,Khawhai (NT) - Ward No.1,
249770,Aizawl,12403,25,Aizawl (NT) - Ward No.25,
277318,Aizawl Municipal Co-operation,1297285,19.d,Melthum,
277318,Aizawl Municipal Co-operation,1297262,14.b,Khatla South,
249780,Lunglei,68656,5,Lunglei (NT) - Ward No.5,
277318,Aizawl Municipal Co-operation,1297249,11.c,Tanhril,
249772,Khawzawl,12443,3,Khawzawl (NT) - Ward No.3,
249780,Lunglei,68668,17,Lunglei (NT) - Ward No.17,
249780,Lunglei,68667,16,Lunglei (NT) - Ward No.16,
249770,Aizawl,12394,16,Aizawl (NT) - Ward No.16,
277318,Aizawl Municipal Co-operation,1297278,18.c,Dam Veng,
277318,Aizawl Municipal Co-operation,1297280,18.e,Thakthing,
249770,Aizawl,12429,58,Aizawl (NT) - Ward No.58,
277318,Aizawl Municipal Co-operation,1297274,17.c,Upper Republic,
277318,Aizawl Municipal Co-operation,1297215,2.b,Bawngkawn,
249771,Saitual,68647,1,Saitual (NT) - Ward No.1,
277318,Aizawl Municipal Co-operation,2495590,15.f,Khatla East,
249770,Aizawl,12390,12,Aizawl (NT) - Ward No.12,
249766,Kolasib,12363,7,Kolasib (NT) - Ward No.7,
249766,Kolasib,12360,4,Kolasib (NT) - Ward No.4,
249772,Khawzawl,12444,4,Khawzawl (NT) - Ward No.4,
277318,Aizawl Municipal Co-operation,1297257,12.c,Dinthar,
249767,N.Kawnpui,12367,2,N.Kawnpui (NT) - Ward No.2,
249782,Saiha,68680,7,Saiha (NT) - Ward No.7,
249765,Bairabi,12356,1,Bairabi (NT) - Ward No.1,
249770,Aizawl,12416,45,Aizawl (NT) - Ward No.45,
277318,Aizawl Municipal Co-operation,1297251,11.e,Rangvamual,
249773,Champhai,12452,8,Champhai (NT) - Ward No.8,
249780,Lunglei,68666,15,Lunglei (NT) - Ward No.15,
249766,Kolasib,12361,5,Kolasib (NT) - Ward No.5,
249782,Saiha,68677,4,Saiha (NT) - Ward No.4,
249770,Aizawl,12439,68,Aizawl (NT) - Ward No.68,
249770,Aizawl,12420,49,Aizawl (NT) - Ward No.49,
277318,Aizawl Municipal Co-operation,1297267,15.d,Lawipu,
249781,Hnahthial,12471,1,Hnahthial (NT) - Ward No.1,
249780,Lunglei,68660,9,Lunglei (NT) - Ward No.9,
277318,Aizawl Municipal Co-operation,1297254,11.h,Tuivamit,
249773,Champhai,12448,4,Champhai (NT) - Ward No.4,
277318,Aizawl Municipal Co-operation,1297250,11.d,Sakawrtuichhun,
249770,Aizawl,12423,52,Aizawl (NT) - Ward No.52,
277318,Aizawl Municipal Co-operation,1297263,14.c,Mission Vengthlang,
249772,Khawzawl,12442,2,Khawzawl (NT) - Ward No.2,
249770,Aizawl,12405,27,Aizawl (NT) - Ward No.27,
249770,Aizawl,12373,39,Aizawl (NT) - Ward No.39,
277318,Aizawl Municipal Co-operation,1297272,17.a,Venghlui,
277318,Aizawl Municipal Co-operation,1297227,5.b,Chanmari,
277318,Aizawl Municipal Co-operation,1297277,18.b,Salem Veng,
249770,Aizawl,12388,10,Aizawl (NT) - Ward No.10,
249775,Biate,12461,1,Biate (NT) - Ward No.1,
277318,Aizawl Municipal Co-operation,1297237,8.b,Armed Veng South,
249770,Aizawl,12385,7,Aizawl (NT) - Ward No.7,
277318,Aizawl Municipal Co-operation,1297225,4.d,Aizawl Venglai,
249773,Champhai,12446,2,Champhai (NT) - Ward No.2,
249770,Aizawl,12391,13,Aizawl (NT) - Ward No.13,
249770,Aizawl,12397,19,Aizawl (NT) - Ward No.19,
249773,Champhai,12456,12,Champhai (NT) - Ward No.12,
249780,Lunglei,68655,4,Lunglei (NT) - Ward No.4,
249770,Aizawl,12382,4,Aizawl (NT) - Ward No.4,
277318,Aizawl Municipal Co-operation,1297259,13.b,Vaivakawn,
277318,Aizawl Municipal Co-operation,1297264,15.a,Bungkawn,
249780,Lunglei,68670,19,Lunglei (NT) - Ward No.19,
249773,Champhai,12453,9,Champhai (NT) - Ward No.9,
277318,Aizawl Municipal Co-operation,1297236,8.a,Armed Veng,
277318,Aizawl Municipal Co-operation,1297242,9.d,Tuithiang,
277318,Aizawl Municipal Co-operation,1297222,4.a,Ramhlun South,
277318,Aizawl Municipal Co-operation,1297220,3.d,Ramhlun Sports Complex,
249780,Lunglei,68659,8,Lunglei (NT) - Ward No.8,
249782,Saiha,68678,5,Saiha (NT) - Ward No.5,
277318,Aizawl Municipal Co-operation,1297229,6.a,Chamari West,
277318,Aizawl Municipal Co-operation,1297279,18.d,Venghnuai,
249773,Champhai,12454,10,Champhai (NT) - Ward No.10,
249770,Aizawl,12374,40,Aizawl (NT) - Ward No.40,
249770,Aizawl,12421,50,Aizawl (NT) - Ward No.50,
249770,Aizawl,12422,51,Aizawl (NT) - Ward No.51,
249766,Kolasib,12357,1,Kolasib (NT) - Ward No.1,
277318,Aizawl Municipal Co-operation,1297219,3.c,Ramhlun Vengthar,
249773,Champhai,12450,6,Champhai (NT) - Ward No.6,
277318,Aizawl Municipal Co-operation,1297283,19.b,Tlangnuam,
249770,Aizawl,12369,35,Aizawl (NT) - Ward No.35,
249770,Aizawl,12372,38,Aizawl (NT) - Ward No.38,
277318,Aizawl Municipal Co-operation,2495588,18.g,Tuikhuahtlang,
249776,Serchhip,12465,4,Serchhip (NT) - Ward No.4,
277318,Aizawl Municipal Co-operation,1297216,2.c,Bawngkawn South,
249770,Aizawl,12371,37,Aizawl (NT) - Ward No.37,
277318,Aizawl Municipal Co-operation,1297270,16.b,Bethlehem Vengthlang,
277318,Aizawl Municipal Co-operation,1297261,14.a,Khatla,
249782,Saiha,68679,6,Saiha (NT) - Ward No.6,
277318,Aizawl Municipal Co-operation,1297223,4.b,Ramthar North,
249768,Darlawn,12378,54,Darlawn (NT) - Ward No.54,
249780,Lunglei,68662,11,Lunglei (NT) - Ward No.11,
249770,Aizawl,12396,18,Aizawl (NT) - Ward No.18,
249780,Lunglei,68669,18,Lunglei (NT) - Ward No.18,
249769,Sairang,68645,3,Sairang (NT) - Ward No.3,
249770,Aizawl,12425,54,Aizawl (NT) - Ward No.54,
249773,Champhai,12457,13,Champhai (NT) - Ward No.13,
249780,Lunglei,68661,10,Lunglei (NT) - Ward No.10,
249780,Lunglei,68657,6,Lunglei (NT) - Ward No.6,
249777,Thenzawl,12467,1,Thenzawl (NT) - Ward No.1,
249770,Aizawl,12432,61,Aizawl (NT) - Ward No.61,
277318,Aizawl Municipal Co-operation,1297212,1.e,Zuangtui,
249766,Kolasib,12362,6,Kolasib (NT) - Ward No.6,
249770,Aizawl,12436,65,Aizawl (NT) - Ward No.65,
277318,Aizawl Municipal Co-operation,2495592,19.f,Tlangnuam Vengthar,
249761,Zawlnuam,12375,1,Zawlnuam (NT) - Ward No.1,
249773,Champhai,12455,11,Champhai (NT) - Ward No.11,
249770,Aizawl,12408,30,Aizawl (NT) - Ward No.30,
249773,Champhai,12447,3,Champhai (NT) - Ward No.3,
249776,Serchhip,12463,2,Serchhip (NT) - Ward No.2,
277318,Aizawl Municipal Co-operation,1297217,3.a,Ramhlun North,
249770,Aizawl,12381,3,Aizawl (NT) - Ward No.3,
277318,Aizawl Municipal Co-operation,1297258,13.a,Dawrpui Vengthar,
249769,Sairang,68644,2,Sairang (NT) - Ward No.2,
249770,Aizawl,12387,9,Aizawl (NT) - Ward No.9,
277318,Aizawl Municipal Co-operation,1297214,2.a,Chaltlang,
249770,Aizawl,12401,23,Aizawl (NT) - Ward No.23,
249770,Aizawl,12383,5,Aizawl (NT) - Ward No.5,
249780,Lunglei,68653,2,Lunglei (NT) - Ward No.2,
277318,Aizawl Municipal Co-operation,1297238,8.c,Chite,
249770,Aizawl,12379,1,Aizawl (NT) - Ward No.1,
249768,Darlawn,12377,1,Darlawn (NT) - Ward No.1,
249780,Lunglei,68664,13,Lunglei (NT) - Ward No.13,
277318,Aizawl Municipal Co-operation,1297210,1.c,Durtlang,
277318,Aizawl Municipal Co-operation,1297282,19.a,Kulikawn,
277318,Aizawl Municipal Co-operation,1297243,10.a,Chawnpui,
277318,Aizawl Municipal Co-operation,1297211,1.d,Durtlang Leitan,
249770,Aizawl,12415,44,Aizawl (NT) - Ward No.44,
249779,Tlabung,12469,1,Tlabung (NT) - Ward No.1,
277318,Aizawl Municipal Co-operation,1297284,19.c,Saikhamakawn,
249770,Aizawl,12395,17,Aizawl (NT) - Ward No.17,
249770,Aizawl,12440,69,Aizawl (NT) - Ward No.69,
249766,Kolasib,12365,9,Kolasib (NT) - Ward No.9,
277318,Aizawl Municipal Co-operation,1297239,9.a,Dawrpui,
249770,Aizawl,12431,60,Aizawl (NT) - Ward No.60,
277318,Aizawl Municipal Co-operation,1297265,15.b,Bungkawn Vengthar,
249770,Aizawl,12433,62,Aizawl (NT) - Ward No.62,
249780,Lunglei,68663,12,Lunglei (NT) - Ward No.12,
249770,Aizawl,12404,26,Aizawl (NT) - Ward No.26,
249770,Aizawl,12435,64,Aizawl (NT) - Ward No.64,
249770,Aizawl,12427,56,Aizawl (NT) - Ward No.56,
277318,Aizawl Municipal Co-operation,1297218,3.b,Ramhlun Venglai,
277318,Aizawl Municipal Co-operation,1297281,18.f,I.T.I,
249780,Lunglei,68665,14,Lunglei (NT) - Ward No.14,
249770,Aizawl,12384,6,Aizawl (NT) - Ward No.6,
249773,Champhai,12445,1,Champhai (NT) - Ward No.1,
277318,Aizawl Municipal Co-operation,1297240,9.b,Saron,
277318,Aizawl Municipal Co-operation,1297269,16.a,Bethlehem,
277318,Aizawl Municipal Co-operation,1297286,19.e,Hlimen,
249769,Sairang,68643,1,Sairang (NT) - Ward No.1,
249773,Champhai,12458,14,Champhai (NT) - Ward No.14,
249770,Aizawl,12392,14,Aizawl (NT) - Ward No.14,
249766,Kolasib,12364,8,Kolasib (NT) - Ward No.8,
249780,Lunglei,68654,3,Lunglei (NT) - Ward No.3,
249770,Aizawl,12414,43,Aizawl (NT) - Ward No.43,
277318,Aizawl Municipal Co-operation,1297275,17.d,Republic Vengthlang,
277318,Aizawl Municipal Co-operation,1297268,15.e,Nursery,
277318,Aizawl Municipal Co-operation,1297271,16.c,College Veng,
