Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,
249721,Chumukedima Town Council,71569,6,Chumukedima (CT) - Ward No.6 DZUDE-I WARD,
253210,Pfutsero Town,2297443,2,Pfutsero Town (TC) - Ward No.2 FOREST COLONY WARD,
253205,Jalukie Town Council,2297402,8,Jalukie Town (TC) - Ward No. 8 NEW MARKET COLONY WARD,
249722,Kohima,695139,19,P.R. HILL COLONY WARD,
249719,Wokha Town Council,72994,8,Wokha (TC) - Ward No.8 SATHERO(TSUMANG B) WARD,
276217,East Dimapur Town Council,1269699,4,East Dimapur (TC) - Ward No.4 NEW WARD,
249720,Dimapur Municipal Council,15612,5,Dimapur (TC) - Ward No.5,
276223,Noklak Town Council,1269724,9,Noklak Town (TC) - Ward No.9 PENSHE/LEENG WARD,
253202,Kiphire Town Council,2297409,6,Kiphire Town (TC) - Ward No. 6 BAZAR COLONY WARD,
276221,Mangkolemba Town Council,1269710,4,Mangkolemba Town (TC) - Ward No.4 LUYONG WARD,
249722,Kohima,695119,1,HIGH SCHOOL WARD,
276226,Tening Town Council,1269755,2,Tening Town (TC) - Ward No.2 KHATLUANG WARD,
253207,Changtongya Town,2297393,10,Changtongya Town (TC) - Ward No. 10 LONGCHARA B WARD,
276223,Noklak Town Council,1269722,7,Noklak Town (TC) - Ward No.7 MEDICAL WARD,
276221,Mangkolemba Town Council,1269714,8,Mangkolemba Town (TC) - Ward No.8 KUMPANI WARD,
249717,Mokokchung,15587,2,Mokokchung (TC) - Ward No.2 ALONGMEN WARD,
276218,Longkhim Town Council,1269771,9,Longkhim Town (TC) - Ward No.9 LONGJO-C WARD,
253210,Pfutsero Town,2297451,10,Pfutsero Town (TC) - Ward No.10 TESE COLONY WARD,
253209,Tseminyu Town,2297456,4,Tseminyu Town (TC) - Ward No.4 A.D.C HILL WARD,
253209,Tseminyu Town,2297461,9,Tseminyu Town (TC) - Ward No.9 GOVT. HIGH SCHOOL WARD,
276224,Pungro Town Council,1269725,1,Pungro Town (TC) - Ward No.1 KHIANGTOPONG WARD,
276219,Bhandari Town Council,1269682,5,Bhandari Town (TC) - Ward No.5 LIKYA WARD,
253209,Tseminyu Town,2297454,2,Tseminyu Town (TC) - Ward No.2 NST WARD,
276221,Mangkolemba Town Council,1269709,3,Mangkolemba Town (TC) - Ward No.3 NOKYU WARD,
249720,Dimapur Municipal Council,15626,19,Dimapur (TC) - Ward No.19,
249720,Dimapur Municipal Council,15613,6,Dimapur (TC) - Ward No.6,
253204,Peren Town Council,2297440,8,Peren Town (TC) - Ward No. 8 BEILIKUI COLONY WARD,
249723,Phek,11826,9,Phek (TC) - Ward No.9 JERICHO-II,
249719,Wokha Town Council,71553,15,Wokha (TC) - Ward No.15 SARON WARD,
276216,ABOI TOWN COUNCIL,1269677,9,Aboi Town (TC) - Ward No.9 YONGKEM WARD,
249721,Chumukedima Town Council,71566,3,Chumukedima (CT) - Ward No.3 CHATE-I WARD,
249716,Tuensang Town Council,15578,9,Tuensang (TC) - Ward No.9 OLD MEDICAL A WARD,
249720,Dimapur Municipal Council,15625,18,Dimapur (TC) - Ward No.18,
276217,East Dimapur Town Council,1269698,3,East Dimapur (TC) - Ward No.3 JORAPUKHURI WARD,
249723,Phek,11827,10,Phek (TC) - Ward No.10 HEBRON-I,
276223,Noklak Town Council,1269716,1,Noklak Town (TC) - Ward No.1 KIAMNGAN WARD,
249719,Wokha Town Council,71550,12,Wokha (TC) - Ward No. 12 PWD ZUVOTONG WARD,
276225,Shamator Town Council,1269741,8,Shamator Town (TC) - Ward No.8 SHAWUH 2 WARD,
253206,Tuli Town,2297469,8,Tuli Town (TC) - Ward No.8 LONGPONG WARD,
253204,Peren Town Council,2297434,2,Peren Town (TC) - Ward No. 2 KELEZAI COLONY WARD,
253203,Naginimora Town Council,2297424,1,Naginimora Town (TC) - Ward No. 1 LAKJAN WARD,
276228,Tobu Town Council,1269749,5,Tobu Town (TC) - Ward No.5 BAZAAR-A WARD,
253203,Naginimora Town Council,2297431,8,Naginimora Town (TC) - Ward No. 8 LEKAN WARD,
253209,Tseminyu Town,2297458,6,Tseminyu Town (TC) - Ward No.6 OLD TELECOM WARD,
253201,Longleng Town Council,2320551,3,Longleng town (TC) - Ward No.3 SHAULI WARD,
276219,Bhandari Town Council,1269683,6,Bhandari Town (TC) - Ward No.6 HAYI WARD,
253207,Changtongya Town,2297385,2,Changtongya Town (TC) - Ward No. 2 ENTSUTSU WARD,
253202,Kiphire Town Council,2297410,7,Kiphire Town (TC) - Ward No. 7 FOREST COLONY WARD,
249722,Kohima,695123,3,NORTH BLOCK WARD,
276224,Pungro Town Council,1269727,3,Pungro Town (TC) - Ward No.3 REST HOUSE WARD,
253205,Jalukie Town Council,2297399,5,Jalukie Town (TC) - Ward No. 5 KEDIME COLONY WARD,
249715,Mon Town Council,6278,11,Mon Town (TC) - Ward No. 11 THAMNAN WARD,
253205,Jalukie Town Council,2297397,3,Jalukie Town (TC) - Ward No. 3 HIGH SCHOOL COLONY WARD,
249717,Mokokchung,15591,9,Mokokchung (TC) - Ward No.9 MAJAKONG WARD,
249721,Chumukedima Town Council,72995,1,Chumukedima (CT) - Ward No.1KHADERU WARD,
276218,Longkhim Town Council,1269770,8,Longkhim Town (TC) - Ward No.8 LONGJO-B WARD,
249720,Dimapur Municipal Council,15614,7,Dimapur (TC) - Ward No.7,
249722,Kohima,695132,12,CHANDMARI UPPER WARD,
253201,Longleng Town Council,2320556,8,Longleng town (TC) - Ward No.8 BAHOK WARD,
253204,Peren Town Council,2297433,1,Peren Town (TC) - Ward No. 1 PEUKWAKRAM WARD,
253210,Pfutsero Town,2297442,1,Pfutsero Town (TC) - Ward No.1 CHIKRI NASA COLONY WARD,
276226,Tening Town Council,1269759,6,Tening Town (TC) - Ward No.6 TINGRIU GATU LUANG WARD,
253213,Medziphema Town Council,2297420,6,Medziphema Town (TC) - Ward No. 6 ZADI WARD,
249719,Wokha Town Council,72988,2,Wokha (TC) - Ward No.2 TITAPEN WARD,
253213,Medziphema Town Council,2297417,3,Medziphema Town (TC) - Ward No. 3 SELUO WARD,
253202,Kiphire Town Council,2297411,8,Kiphire Town (TC) - Ward No. 8 REST HOUSE COLONY WARD,
249717,Mokokchung,15597,15,Mokokchung (TC) - Ward No.15 YIMYU WARD,
249715,Mon Town Council,15565,2,Mon Town (TC) - Ward No.2 SHAMNYU WARD,
253207,Changtongya Town,2297386,3,Changtongya Town (TC) - Ward No. 3 WINDY WARD,
249716,Tuensang Town Council,15575,6,Tuensang (TC) - Ward No.6 BAZAR A WARD,
249719,Wokha Town Council,72992,6,Wokha (TC) - Ward No.6 ETSUCHUKA WARD,
249723,Phek,11819,2,Phek (TC) - Ward No.2 ZION,
253213,Medziphema Town Council,2297422,8,Medziphema Town (TC) - Ward No. 8 LOLI WARD,
253207,Changtongya Town,2297387,4,Changtongya Town (TC) - Ward No. 4 SUNRISE - II WARD,
276220,Chozuba Town Council,1269687,1,Chozuba Town (TC) - Ward No.1 ZASEMURU-KHUTSAZHO WARD,
276221,Mangkolemba Town Council,1269707,1,Mangkolemba Town (TC) - Ward No.1 HOKIYONG WARD,
253210,Pfutsero Town,2297450,9,Pfutsero Town (TC) - Ward No.9 SEED FARM COLONY WARD,
276222,Meluri Town Council,1269779,8,Meluri Town (TC) - Ward No.8 JURUKUKHE WARD,
249717,Mokokchung,15584,6,Mokokchung (TC) - Ward No.6 DILONG WARD,
276225,Shamator Town Council,1269743,10,Shamator Town (TC) - Ward No.10 NAP WARD,
249720,Dimapur Municipal Council,15608,1,Dimapur (TC) - Ward No.1,
249720,Dimapur Municipal Council,15628,21,Dimapur (TC) - Ward No.21,
249716,Tuensang Town Council,15582,13,Tuensang (TC) - Ward No.13 3RD N.A.P WARD,
253203,Naginimora Town Council,2297430,7,Naginimora Town (TC) - Ward No. 7 WAKSHONG WARD,
253207,Changtongya Town,2297394,11,Changtongya Town (TC) - Ward No. 11 TZUMOK KONG WARD,
276220,Chozuba Town Council,1269689,3,Chozuba Town (TC) - Ward No.3 PHAKUZHO WARD,
276218,Longkhim Town Council,1269765,3,Longkhim Town (TC) - Ward No.3 RONGNA WARD,
276216,ABOI TOWN COUNCIL,1269669,1,Aboi Town (TC) - Ward No.1 ANGLONG WARD,
249715,Mon Town Council,6274,7,Mon Town (TC) - Ward No.7 JAHJON WARD,
253207,Changtongya Town,2297392,9,Changtongya Town (TC) - Ward No. 9 LONGCHARA A WARD,
276218,Longkhim Town Council,1269766,4,Longkhim Town (TC) - Ward No.4 TPHUKYU WARD,
276220,Chozuba Town Council,1269695,9,Chozuba Town (TC) - Ward No.9 THUJIBA- TIMEBA WARD,
253204,Peren Town Council,2297441,9,Peren Town (TC) - Ward No. 9 NKOZAI COLONY WARD,
276222,Meluri Town Council,1269774,3,Meluri Town (TC) - Ward No.3 SARIETHSU WARD,
249720,Dimapur Municipal Council,4922,22,Dimapur (TC) - Ward No.22,
276217,East Dimapur Town Council,1269696,1,East Dimapur (TC) - Ward No.1 ZION WARD,
253204,Peren Town Council,2297437,5,Peren Town (TC) - Ward No. 5 DUIRING COLONY WARD,
253202,Kiphire Town Council,2297405,2,Kiphire Town (TC) - Ward No. 2 GOVT. HIGH SCHOOL COLONY WARD,
249715,Mon Town Council,15564,1,Mon Town (TC) - Ward No.1 WALO WARD,
249722,Kohima,695130,10,HOSPITAL COLONY WARD,
253202,Kiphire Town Council,2297414,11,Kiphire Town (TC) - Ward No. 11 JAIL COLONY WARD,
276216,ABOI TOWN COUNCIL,1269670,2,Aboi Town (TC) - Ward No.2 KOIWANG WARD,
276219,Bhandari Town Council,1269678,1,Bhandari Town (TC) - Ward No.1 ETHUNG WARD,
276217,East Dimapur Town Council,1269704,9,East Dimapur (TC) - Ward No.9 NAHARBARI HIGHWAY WARD,
249723,Phek,11822,5,Phek (TC) - Ward No.5 BETHEL,
249718,Zunheboto,6340,12,Zunheboto (TC) - Ward No.12 SOUTH POINT WEST WARD,
276225,Shamator Town Council,1269739,6,Shamator Town (TC) - Ward No.6 SHAWUH 1 WARD,
249721,Chumukedima Town Council,71565,2,Chumukedima (CT) - Ward No.2 PHETSO WARD,
253202,Kiphire Town Council,2297407,4,Kiphire Town (TC) - Ward No. 4 MEDICAL COLONY WARD,
249719,Wokha Town Council,72987,1,Wokha (TC) - Ward No.1 THERACHUMPHEN (UPPER N.S.T),
253205,Jalukie Town Council,2297395,1,Jalukie Town (TC) - Ward No. 1 DOBASHI COLONY WARD,
276222,Meluri Town Council,1269775,4,Meluri Town (TC) - Ward No.4 WUTSI WARD,
249720,Dimapur Municipal Council,15622,15,Dimapur (TC) - Ward No.15,
276217,East Dimapur Town Council,1269706,11,East Dimapur (TC) - Ward No.11 UPPER NAHARBARI WARD,
276225,Shamator Town Council,1269738,5,Shamator Town (TC) - Ward No.5 PHED WARD,
253203,Naginimora Town Council,2297425,2,Naginimora Town (TC) - Ward No. 2 ANGNUNG WARD,
249720,Dimapur Municipal Council,15619,12,Dimapur (TC) - Ward No.12,
253204,Peren Town Council,2297439,7,Peren Town (TC) - Ward No. 7 BANA COLONY WARD,
276220,Chozuba Town Council,1269693,7,Chozuba Town (TC) - Ward No.7 RIKHU-DZULUBA WARD,
276228,Tobu Town Council,1269748,4,Tobu Town (TC) - Ward No.4 NST WARD,
276220,Chozuba Town Council,1269688,2,Chozuba Town (TC) - Ward No.2 NYOHOKHARU WARD,
253204,Peren Town Council,2297435,3,Peren Town (TC) - Ward No. 3 NSETNING COLONY WARD,
276216,ABOI TOWN COUNCIL,1269675,7,Aboi Town (TC) - Ward No.7 HAHNYAN WARD,
276220,Chozuba Town Council,1269691,5,Chozuba Town (TC) - Ward No.5 MUZABOKA WARD,
276223,Noklak Town Council,1269720,5,Noklak Town (TC) - Ward No.5 KHAOKHAN WARD,
249722,Kohima,695135,15,A.G COLONY WARD,
276225,Shamator Town Council,1269736,3,Shamator Town (TC) - Ward No.3 TSUNDANG WARD,
249716,Tuensang Town Council,15579,10,Tuensang (TC) - Ward No.10 OLD MEDICAL B WARD,
253206,Tuli Town,2297464,3,Tuli Town (TC) - Ward No.3 SHITIKOLAK WARD,
253213,Medziphema Town Council,2297419,5,Medziphema Town (TC) - Ward No. 5 THEHUBA WARD,
249717,Mokokchung,15594,12,Mokokchung (TC) - Ward No.12 SALANGTEM WARD,
276216,ABOI TOWN COUNCIL,1269674,6,Aboi Town (TC) - Ward No.6 SHAMMANG WARD,
276224,Pungro Town Council,1269733,9,Pungro Town (TC) - Ward No.9 PWD WARD,
276228,Tobu Town Council,1269745,1,Tobu Town (TC) - Ward No.1 ADC WARD,
249723,Phek,11820,3,Phek (TC) - Ward No.3 MISSION COMPOUND,
276218,Longkhim Town Council,1269763,1,Longkhim Town (TC) - Ward No.1 AKOK -A WARD,
249717,Mokokchung,15586,1,Mokokchung (TC) - Ward No.1 ALEMPANG WARD,
276227,Tizit Town Council,1269667,8,Tizit Town (TC) - Ward No.8 INDUSTRY WARD,
276221,Mangkolemba Town Council,1269715,9,Mangkolemba Town (TC) - Ward No.9 TZUTAYONG WARD,
276219,Bhandari Town Council,1269686,9,Bhandari Town (TC) - Ward No.9 MEDICAL WARD,
253203,Naginimora Town Council,2297428,5,Naginimora Town (TC) - Ward No. 5 RAILWAY WARD,
276227,Tizit Town Council,1269664,5,Tizit Town (TC) - Ward No.5 PENTOM WARD,
