Local Body Code,Local Body Name,Local Body Type,"District Level
Parent Name
","Intermediate Level
Parent Name",Ward Code,"Ward
Number","Ward Name
(In English)
","Ward Name
(In Local)
",
303,ANUGUL,District Panchayat,,,97275,1,Ward No. 1,Ward No. 1,
304,BALANGIR,District Panchayat,,,84394,1,Ward No. 1,Ward No. 1,
305,BALESHWAR,District Panchayat,,,81255,1,Ward No. 1,Ward No. 1,
306,BARGARH,District Panchayat,,,112101,1,Ward No. 1,Ward No. 1,
307,BHADRAK,District Panchayat,,,97541,1,Ward No. 1,Ward No. 1,
308,BOUDH,District Panchayat,,,113526,1,Ward No. 1,Ward No. 1,
309,CUTTACK,District Panchayat,,,93972,1,Ward No. 1,Ward No. 1,
310,DEOGARH,District Panchayat,,,87071,1,Ward No. 1,Ward No. 1,
311,DHENKANAL,District Panchayat,,,78959,1,Ward No. 1,Ward No. 1,
312,GAJAPATI,District Panchayat,,,80404,1,Ward No. 1,Ward No. 1,
313,GANJAM,District Panchayat,,,84608,1,Ward No. 1,Ward No. 1,
314,JAGATSINGHAPUR,District Panchayat,,,80432,1,Ward No. 1,Ward No. 1,
315,JAJAPUR,District Panchayat,,,119169,1,Ward No. 1,Ward No. 1,
316,JHARSUGUDA,District Panchayat,,,103287,1,Ward No. 1,Ward No. 1,
317,KALAHANDI,District Panchayat,,,109808,1,Ward No. 1,Ward No. 1,
318,KANDHAMAL,District Panchayat,,,80591,1,Ward No. 1,Ward No. 1,
319,KENDRAPARA,District Panchayat,,,105061,1,Ward No. 1,Ward No. 1,
320,KENDUJHAR,District Panchayat,,,81881,1,Ward No. 1,Ward No. 1,
321,KHORDHA,District Panchayat,,,110494,1,Ward No. 1,Ward No. 1,
322,KORAPUT,District Panchayat,,,83253,1,Ward No. 1,Ward No. 1,
323,MALKANGIRI,District Panchayat,,,83451,1,Ward No. 1,Ward No. 1,
324,MAYURBHANJ,District Panchayat,,,112943,1,Ward No. 1,Ward No. 1,
325,NABARANGPUR,District Panchayat,,,105586,1,Ward No. 1,Ward No. 1,
326,NAYAGARH,District Panchayat,,,112506,1,Ward No. 1,Ward No. 1,
327,NUAPADA,District Panchayat,,,97668,1,Ward No. 1,Ward No. 1,
328,PURI,District Panchayat,,,118968,1,Ward No. 1,Ward No. 1,
329,RAYAGADA,District Panchayat,,,87514,1,Ward No. 1,Ward No. 1,
330,SAMBALPUR,District Panchayat,,,88383,1,Ward No. 1,Ward No. 1,
331,SONEPUR,District Panchayat,,,115531,1,Ward No. 1,Ward No. 1,
332,SUNDARGARH,District Panchayat,,,88375,1,Ward No. 1,Ward No. 1,
275373,BADAHINSARA,Village Panchayat,ANUGUL,BANARPAL,1401344,1,Ward No.1,Ward No.1,
275373,BADAHINSARA,Village Panchayat,ANUGUL,BANARPAL,1401345,2,Ward No.2,Ward No. 2,
275373,BADAHINSARA,Village Panchayat,ANUGUL,BANARPAL,1401346,3,Ward No. 3,Ward No. 3,
275373,BADAHINSARA,Village Panchayat,ANUGUL,BANARPAL,1401347,4,Ward No.4,Ward No. 4,
