Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
248058,Kamakhyanagar,7434,7,Kamakshyanagar (NAC) - Ward No.7,
250546,Phulabani,33003,8,Phulabani (M) - Ward No.8,
250547,G. Udayagiri,66788,8,G. Udayagiri (NAC) - Ward No.8,
259705,Attabira,1232658,11,Attabira (NAC) - Ward No. 11,
250519,Banapur,8780,14,Banapur (NAC) - Ward No.14,
263336,JAGATSINGHPUR,977607,4,Jagatsinghpur (M) - Ward No. 4,
250533,Polasara,9386,6,Polasara (NAC) - Ward No.6,
248059,Bhuban,7426,14,Bhuban (NAC) - Ward No.14,
250454,Redhakhol,23143,4,Redhakhol (NAC) - Ward No.4,
250467,Raurkela,64712,19,Raurkela (M Corp.) - Ward No.19,
250474,Kendujhar,64739,14,Kendujhar (M) - Ward No.14,
250514,Khordha,8705,6,Khordha (M) - Ward No.6,
250571,Koraput,33304,9,Koraput (M) - Ward No.9,
250576,Balimela,33380,3,Balimela (NAC) - Ward No.3,
250471,Joda,24546,13,Joda (M) - Ward No.13,
250557,Khariar,33217,12,Khariar (NAC) - Ward No.12,
259705,Attabira,1232649,2,Attabira (NAC) - Ward No. 2,
248140,Anugul,67781,8,Anugul (M) - Ward No.8,
250451,Brajarajnagar,22616,6,Brajarajnagar (M) - Ward No.6,
248058,Kamakhyanagar,7428,1,Kamakshyanagar (NAC) - Ward No.1,
263345,Malkangiri,978798,17,Malkangiri (M) - Ward No.17,
253100,Sambalpur,24343,13,Sambalpur (M.Corp) - Ward No.13,
250567,Umarkote,33274,6,Umarkote (M) - Ward No.6,
250469,Barbil,24523,5,Barbil (M) - Ward No.5,
250554,Patnagarh,33179,4,Patnagarh (NAC) - Ward No.4,
250573,Sunabeda,33321,8,Sunabeda (M) - Ward No.8,
250553,Titlagarh,33165,7,Titlagarh (NAC) - Ward No.7,
250534,Kodala,67855,4,Kodala (NAC) - Ward No.4,
250553,Titlagarh,33162,4,Titlagarh (NAC) - Ward No.4,
250502,Vyasanagar,7397,26,Educational Area (OG) E.Block No. 62-66 - Ward No.26,
250528,Surada,9249,2,Surada (NAC) - Ward No.2,
248140,Anugul,67783,10,Anugul (M) - Ward No.10,
262987,DASAPALLA,933224,16,Dasapalla (NAC) - Ward No.16,
263005,BALIGUDA,1232772,8,Baliguda (NAC) - Ward No. 8,
250546,Phulabani,33001,6,Phulabani (M) - Ward No.6,
248140,Anugul,67788,15,Anugul (M) - Ward No.15,
250558,Bhawanipatna,1232673,19,Bhawanipatna (M) - Ward No.19,
250510,Khandapada,67804,12,Khandapada (NAC) - Ward No.12,
263324,PARADEEP,977635,9,Paradeep (M) - Ward No. 9,
248060,Dhenkanal,7445,6,Dhenkanal (M) - Ward No.6,
250510,Khandapada,67800,8,Khandapada (NAC) - Ward No.8,
250459,Rajagangapur,64676,11,Rajagangapur (M) - Ward No.11,
