Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
253093,Ozhukarai,1301449,25,Kathirkamam,
253094,Pondicherry,1301374,14,Pillaithottam,
253093,Ozhukarai,1301441,17,Ashok Nagar,
253093,Ozhukarai,1301426,2,Ganapathichettykulam,
253093,Ozhukarai,1301443,19,Kumaran Nagar,
253093,Ozhukarai,1301446,22,Thattanchavady,
253094,Pondicherry,1301372,12,Elango Nagar,
253092,Yanam,1301394,1,Kanakalapeta,
253093,Ozhukarai,1301465,41,Jawahar Nagar,
253095,Mahe,1301352,2,Pandakkal (South),
253092,Yanam,1301395,2,Bheem Nagar,
253094,Pondicherry,1301385,25,Mudaliarpet,
253094,Pondicherry,1301384,24,Viduthalai Nagar,
253094,Pondicherry,1301367,7,Perumal Koil,
253094,Pondicherry,1301393,33,Kombakkam,
253094,Pondicherry,1301387,27,Ozhandai Keerapalayam (East),
253094,Pondicherry,1301376,16,Anna Nagar,
253092,Yanam,1301396,3,Mettakuru North,
253096,Karaikal,1301420,13,Anthoniar Koil,
253094,Pondicherry,1301378,18,Orleanpet,
253093,Ozhukarai,1301454,30,Shanmugapuram,
253094,Pondicherry,1301382,22,Colas Nagar,
253095,Mahe,1301357,7,Chalakkara (South),
253093,Ozhukarai,1301451,27,Indira Nagar,
253093,Ozhukarai,1301439,15,Saram,
253094,Pondicherry,1301361,1,Muthialpet (West),
253093,Ozhukarai,1301444,20,Kurinji Nagar,
253092,Yanam,1301404,11,Farampeta,
253094,Pondicherry,1301391,31,Murungapakkam (East),
253096,Karaikal,1301422,15,Dharmapuram,
253095,Mahe,1301355,5,Palloor (North),
253093,Ozhukarai,1301461,37,Oulgaret (South),
253093,Ozhukarai,1301432,8,Santhi Nagar,
253096,Karaikal,1301416,9,Maideen Palli,
253093,Ozhukarai,1301450,26,Vemma Koundan Palayam,
253093,Ozhukarai,1301456,32,Gandhi Thirunallar,
253093,Ozhukarai,1301442,18,Rajaji Nagar,
253092,Yanam,1301405,12,Dariyalathippa,
253092,Yanam,1301406,13,Guiriampeta,
253095,Mahe,1301354,4,Palloor (West),
253094,Pondicherry,1301383,23,Nethaji Nagar,
253095,Mahe,1301358,8,Mahe (North),
253094,Pondicherry,1301388,28,Ozhandai Keerapalayam (West),
253092,Yanam,1301399,6,Pillaraya,
253096,Karaikal,1301417,10,Ammaiyar Koil,
253096,Karaikal,1301423,16,Oduthurai,
253094,Pondicherry,1301364,4,Vaithikuppam,
253092,Yanam,1301397,4,Mettakuru South,
253092,Yanam,1301403,10,Kurasampeta,
253093,Ozhukarai,1301464,40,Ellaipillaichavady,
253093,Ozhukarai,1301436,12,Rainbow Nagar,
253093,Ozhukarai,1301433,9,Navarkulam,
253093,Ozhukarai,1301447,23,Thilashpet,
253093,Ozhukarai,1301437,13,Kamaraj Nagar,
253096,Karaikal,1301415,8,Valatheru,
253094,Pondicherry,1301390,30,Thegathittu,
253093,Ozhukarai,1301448,24,Koundanpalayam,
253093,Ozhukarai,1301455,31,Murhiraiyapalayam,
253093,Ozhukarai,1301453,29,Meenathipet,
253094,Pondicherry,1301375,15,Sakthi Nagar,
253093,Ozhukarai,1301440,16,Vinoba Nagar,
253095,Mahe,1301359,9,Mahe (West),
253093,Ozhukarai,1301434,10,Lawspet,
253092,Yanam,1301402,9,Pydikondala,
253096,Karaikal,1301409,2,Thalatheru,
253094,Pondicherry,1301366,6,Thiruvalluvar Nagar,
253094,Pondicherry,1301362,2,Muthialpet (East),
253094,Pondicherry,1301389,29,Nainarmandabam,
253093,Ozhukarai,1301438,14,Brindavanam,
253092,Yanam,1301398,5,Ambedkar Nagar,
253096,Karaikal,1301410,3,Ammankoilpathu,
253092,Yanam,1301401,8,Pedapudi,
253093,Ozhukarai,1301428,4,Pillaichavady,
253093,Ozhukarai,1301429,5,Samipillai Thottam,
253096,Karaikal,1301414,7,Oppilamaniyar Koil,
253096,Karaikal,1301421,14,Madhagadi,
253096,Karaikal,1301424,17,Akkaraivattam,
253096,Karaikal,1301418,11,Kadar Sulthan,
253093,Ozhukarai,1301458,34,Radhakrishnan Nagar,
253094,Pondicherry,1301392,32,Murugapakkam (West),
253094,Pondicherry,1301380,20,Periyapalli,
253096,Karaikal,1301411,4,Koilpathu,
253094,Pondicherry,1301377,17,Nellithope,
253095,Mahe,1301353,3,Chalakkara (North),
253096,Karaikal,1301419,12,Kothukulam,
253094,Pondicherry,1301381,21,Vamba Keerapalayam,
253093,Ozhukarai,1301463,39,Moogambigai Nagar,
253094,Pondicherry,1301369,9,Rajbhavan,
253094,Pondicherry,1301379,19,Vanarapet,
253092,Yanam,1301407,14,Savithri Nagar,
253095,Mahe,1301351,1,Pandakkal (North),
253095,Mahe,1301360,10,Mahe (South),
253093,Ozhukarai,1301435,11,Krishna Nagar,
253094,Pondicherry,1301386,26,Bharathidhasan Nagar,
253095,Mahe,1301356,6,Palloor (South),
253093,Ozhukarai,1301460,36,Oulgaret (North),
253093,Ozhukarai,1301430,6,Karuvadikuppam,
253093,Ozhukarai,1301431,7,Pethuchettypet,
253094,Pondicherry,1301368,8,Kurusukuppam,
253096,Karaikal,1301408,1,Keezhakasakudy,
253093,Ozhukarai,1301459,35,Arumparthapuram,
253094,Pondicherry,1301370,10,Cathedral,
253093,Ozhukarai,1301425,1,Alankuppam,
253096,Karaikal,1301412,5,Nehru Nagar,
253094,Pondicherry,1301365,5,V O C Nagar,
253094,Pondicherry,1301371,11,Goubert Nagar,
253093,Ozhukarai,1301457,33,Dharmapuri,
253093,Ozhukarai,1301452,28,V P Singh Nagar,
253094,Pondicherry,1301373,13,Puthupalayam,
253093,Ozhukarai,1301427,3,Kalapet,
253094,Pondicherry,1301363,3,Solai Nagar,
253096,Karaikal,1301413,6,Puliankottai Salai,
253092,Yanam,1301400,7,Agraharam,
253093,Ozhukarai,1301445,21,Pakkamudiyanpet,
253093,Ozhukarai,1301462,38,Reddiyarpalayam,
253093,Ozhukarai,1301466,42,Natesan Nagar,

