Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
248273,Amritsar,9128,31,Amritsar (M Corp.) - Ward No.31,
248308,Hoshiarpur,10300,23,Hoshiarpur (M Cl) - Ward No.23,
248334,Khanna,74575,24,Khanna (M CI) - Ward No.24,
248264,Batala,8998,39,Batala (M Cl) - Ward No.39,
248359,Muktsar,13210,6,Muktsar (M Cl) - Ward No.6,
248355,Abohar,12777,16,Abohar (M Cl) - Ward No.16,
248280,Begowal,74395,2,Begowal (NP) - Ward No.2,
248302,Urmar Tanda,10262,12,Urmar Tanda (M Cl) - Ward No.12,
248375,Bhikhi,13861,6,Bhikhi (NP) - Ward No.6,
248315,Balachaur,10379,10,Balachaur (NP) - Ward No.10,
248294,Adampur,9838,7,Adampur (M Cl) - Ward No.7,
248264,Batala,9012,53,Mani Ghauranga (OG) - Ward No.53,
248347,Moga,12027,19,Moga (M Cl) - Ward No.19,
248280,Begowal,74401,8,Begowal (NP) - Ward No.8,
248338,Ludhiana,10591,16,Ludhiana (M Corp.) - Ward No.16,
248332,Samrala,10517,3,Samrala (M CI) - Ward No.3,
248393,Khanauri,14994,6,Khanauri (NP) - Ward No.6,
248377,Bhadaur,74770,4,Bhadaur (M Cl) - Ward No.4,
248329,Gobindgarh,74530,12,Gobindgarh (M Cl) - Ward No.12,
248272,Jandiala Guru,74346,6,Jandiala (M Cl) - Ward No.6,
248256,Pathankot,8916,35,Lamin (OG) - Ward No.35,
248327,Bassi Pathana,10473,10,Bassi Pathana (M Cl) - Ward No.10,
248321,Kurali,10445,13,Kurali (M Cl) - Ward No.13,
248264,Batala,8999,40,Batala (M Cl) - Ward No.40,
248321,Kurali,10440,8,Kurali (M Cl) - Ward No.8,
248347,Moga,12029,21,Moga (M Cl) - Ward No.21,
248340,Mullanpur Dakha,10652,7,Mullanpur Dakha (NP) - Ward No.7,
248320,Morinda,74492,13,Morinda (M Cl) - Ward No.13,
248305,Talwara,10265,1,Talwara (CT) - Ward No.1,
248373,Budhlada,13749,1,Budhlada (M Cl) - Ward No.1,
248343,Jagraon,11986,10,Jagraon (M CI) - Ward No.10,
248274,Tarn-Taran,74378,17,Tarn-Taran (M Cl) - Ward No.17,
248293,Phillaur,9817,1,Phillaur (M Cl) - Ward No.1,
248278,Rayya,74390,10,Rayya (NP) - Ward No.10,
248334,Khanna,74565,14,Khanna (M CI) - Ward No.14,
248345,Bhagha Purana,12005,10,Bhagha Purana (M Cl) - Ward No.10,
248367,Bathinda,74693,20,Bathinda (M Cl) - Ward No.20,
248298,Bhogpur,10014,4,Bhogpur (NP) - Ward No.4,
273471,Amargarh,2141955,2,Ward No. 2,
260782,KOT SHAMIR,2141898,3,Ward No. 3,
248356,Malout,12797,5,Malout (M Cl) - Ward No.5,
248367,Bathinda,74708,35,Bathinda (M Cl) - Ward No.35,
248262,Dhariwal,8954,9,Dhariwal (M Cl) - Ward No.9,
248399,Patiala,15056,16,Patiala (M Corp.) - Ward No.16,
248273,Amritsar,9115,18,Amritsar (M Corp.) - Ward No.18,
262906,JOGA,2141929,3,Ward No. 3,
248392,Moonak,14984,9,Moonak (NP) - Ward No.9,
248317,Anandpur Sahib,10410,9,Anandpur Sahib (M Cl) - Ward No.9,
248325,S.A.S.Nagar - Mohali,74514,22,S.A.S.Nagar (Mohali ) (M Cl) - Ward No.22,
248360,Faridkot,13235,14,Faridkot (M Cl) - Ward No.14,
248338,Ludhiana,10598,23,Ludhiana (M Corp.) - Ward No.23,
248383,Malerkotla,72931,22,Malerkotla (M Cl) - Ward No.22,
248273,Amritsar,9125,28,Amritsar (M Corp.) - Ward No.28,
248265,Sri Hargobindpur,9017,3,Sri Hargobindpur (M Cl) - Ward No.3,
248296,Jalandhar,9956,5,Jalandhar (M Corp.) - Ward No.5,
248287,Lohian Khas,9784,7,Lohian Khas (NP) - Ward No.7,
248267,Dera Baba Nanak,9050,8,Dera Baba Nanak (M Cl) - Ward No.8,
248293,Phillaur,9828,12,Phillaur (M Cl) - Ward No.12,
248294,Adampur,9839,8,Adampur (M Cl) - Ward No.8,
248308,Hoshiarpur,10293,16,Hoshiarpur (M Cl) - Ward No.16,
248379,Handiaya,13870,2,Handiaya (NP) - Ward No.2,
248356,Malout,12794,2,Malout (M Cl) - Ward No.2,
248320,Morinda,74486,7,Morinda (M Cl) - Ward No.7,
248283,Kapurthala,9329,1,Kapurthala (M Cl) - Ward No.1,
248403,Rajpura,15410,18,Rajpura (M Cl) - Ward No.18,
248310,Mahilpur,10320,3,Mahilpur (NP) - Ward No.3,
248292,Goraya,74433,4,Goraya (NP) - Ward No.4,
248407,Zirakpur,15452,8,Zirakpur (NP) - Ward No.8,
248269,Ajnala,9066,13,Ajnala (NP) - Ward No.13,
248328,Sirhind Fatehgarh Sahib,10477,2,Sirhind Fatehgarh Sahib (M Cl) - Ward No.2,
248403,Rajpura,15413,21,Rajpura (M Cl) - Ward No.21,
248339,Sahnewal,74582,6,Sahnewal (NP) - Ward No.6,
248256,Pathankot,8893,12,Pathankot (M Cl) - Ward No.12,
248359,Muktsar,13208,4,Muktsar (M Cl) - Ward No.4,
248332,Samrala,10515,1,Samrala (M CI) - Ward No.1,
248361,Kot Kapura,13266,23,Kot Kapura (M Cl) - Ward No.23,
248343,Jagraon,11984,8,Jagraon (M Cl) - Ward No.8,
248309,Sham ChaurasI,10311,3,Sham ChaurasI (M Cl) - Ward No.3,
277199,Boha,2141996,4,Ward No. 4,
248273,Amritsar,9157,60,Amritsar (M Corp.) - Ward No.60,
248283,Kapurthala,9351,23,Kapurthala (M Cl) - Ward No.23,
248291,Nurmahal,9805,2,Nurmahal (M Cl) - Ward No.2,
248277,Patti,9313,12,Patti (M Cl) - Ward No.12,
248351,Firozpur,12737,16,Firozpur (M Cl) - Ward No.16,
248371,Maur,13722,2,Maur (M Cl) - Ward No.2,
248340,Mullanpur Dakha,10659,14,Mullanpur Dakha (NP) - Ward No.14(does not exist),
