Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
248858,Baran,1010869,42,Baran (M) - Ward No. 42,
248725,Dausa,21352,13,Dausa (M) - Ward No.13,
248747,Ladnu,23300,29,Ladnu (M) - Ward No.29,
248855,Sangod,1305482,25,Sangod (M) - Ward No.25,
248698,Khairthal,1304271,30,Khairthal (M) - Ward No.30,
248851,Ramganj Mandi,1305038,36,Ramganj Mandi (M) - Ward No.36,
248813,Jahazpur,21916,19,Jahazpur (M) - Ward No.19,
248809,Gulabpura,74011,12,Gulabpura (M) - Ward No.12,
275691,Mahwa,1306763,22,Mahwa (M)- Ward no. 22,
248812,Bhilwara,21290,6,Bhilwara (MCI) - Ward No.6,
248705,Deeg,62831,24,Deeg (M) - Ward No.24,
293844,Greater Jaipur,1307668,123,Jaipur (M Corp.) (Part) - Ward No.123,
277233,kishangarhbas,1304319,6,kishangarhbas (M) - Ward No.6,
248736,Jaipur Heritage,21588,67,Jaipur (M Corp.) (Part) - Ward No.67,
248727,Kotputli,1304353,35,Kotputli (M) - Ward No.35,
293844,Greater Jaipur,1307660,115,Jaipur (M Corp.) (Part) - Ward No.115,
293843,Jodhpur-North,1307527,62,Jodhpur (M Corp.) - Ward No.62,
248816,Deogarh,1306292,14,Deogarh (M) - Ward no. 14,
248845,Kota-South,1303408,77,Kota (M Corp.) - Ward No.77,
248832,Sagwara,1305322,29,Sagwara (M) - Ward No.29,
248672,Sardarshahar,19409,14,Sardarshahar (M) - Ward No.14,
248741,Sikar,21708,46,Sikar (M Cl) - Ward No.46,
248696,Tijara,1305710,23,Tijara (M) - Ward No.23,
248862,Jhalawar,1303893,28,Jhalawar (M) - Ward No.28,
248797,Tonk,1304141,50,Tonk (M CI) - Ward No.50,
248845,Kota-South,22739,17,Kota (M Corp.) - Ward No.17,
248860,Chhabra,71596,20,Chhabra (M) - Ward No.20,
293844,Greater Jaipur,1307566,21,Jaipur (M Corp.) (Part) - Ward No.21,
248651,Sri Ganganagar,65070,31,Ganganagar (M Cl) - Ward No.31,
248778,Pali,20558,5,Pali (MCI) - Ward No.5,
277235,shahpura..(Bhilwara),1305586,29,Shahpura (M) - Ward No.29,
248669,Nokha,1304701,41,Nokha (M) - Ward No.41,
248844,Pratapgarh,1010958,30,Pratapgarh(M)-Ward No. 30,
277235,shahpura..(Bhilwara),1305561,4,Shahpura (M) - Ward No.4,
248813,Jahazpur,21900,3,Jahazpur (M) - Ward No.3,
248752,Kuchera,18755,9,Kuchera (M) - Ward No.9,
248844,Pratapgarh,1010954,26,Pratapgarh(M)-Ward No. 26,
248817,Amet,21963,3,Amet (M) - Ward No.3,
248863,Jhalrapatan,1304183,32,Jhalrapatan (M) - Ward No.32,
248669,Nokha,18675,20,Nokha (M) - Ward No.20,
248781,Sadri,1305263,25,Sadri (M) - Ward No.25,
248769,Sanchore,20439,9,Sanchore (M) - Ward No.9,
248771,Sirohi,20482,12,Sirohi (M) - Ward No.12,
248656,Anupgarh,18259,1,Anupgarh (M) - Ward No.1,
248670,Taranagar,65375,11,Taranagar (M) - Ward No.11,
248841,Nimbahera,1304645,35,Nimbahera (M) - Ward No.35,
248771,Sirohi,20480,10,Sirohi (M) - Ward No.10,
248725,Dausa,21340,1,Dausa (M) - Ward No.1,
248734,Phulera,21496,14,Phulera (M) - Ward No.14,
248767,Jalore,1303890,40,Jalore(M) - Ward No.40,
248728,Viratnagar,1008304,17,Viratnagar (M) - Ward No.17,
248865,Aklera,1305303,30,Aklera (M) - Ward No.30,
248818,Rajsamand,74059,25,Rajsamand (M) - Ward No.25,
248664,Rawatsar,1305204,21,Rawatsar (M) - Ward No.21,
248696,Tijara,19820,18,Tijara (M) - Ward No.18,
248773,Mount Abu,20504,9,Mount Abu (M) - Ward No.9,
248822,Udaipur,70396,18,Udaipur (M CI) - Ward No.18,
248764,Pokaran,20165,6,Pokaran (M) - Ward No.6,
293844,Greater Jaipur,1307590,45,Jaipur (M Corp.) (Part) - Ward No.45,
248738,Ramgarh,21626,14,Ramgarh (M) - Ward No.14,
