Local Body Code,Local Body Name,Local Body Type,"District Level
Parent Name
","Intermediate Level
Parent Name",Ward Code,"Ward
Number","Ward Name
(In English)
","Ward Name
(In Local)
",
216,EAST DISTRICT,District Panchayat,,,120568,1,Sumin Lingzey,Sumin Lingzey,
216,EAST DISTRICT,District Panchayat,,,122110,2,Central Pendam,Central Pendam,
216,EAST DISTRICT,District Panchayat,,,122111,3,East Pendam,East Pendam,
216,EAST DISTRICT,District Panchayat,,,122112,4,Chalamthang Pacheykhani,Chalamthang Pacheykhani,
216,EAST DISTRICT,District Panchayat,,,122113,5,Rhenock Tarpin,Rhenock Tarpin,
216,EAST DISTRICT,District Panchayat,,,122115,6,Aritar,Aritar,
216,EAST DISTRICT,District Panchayat,,,122118,7,Dolepchen Rongli Changeylakha,Dolepchen Rongli Changeylakha,
216,EAST DISTRICT,District Panchayat,,,122120,8,Regoh Premlakha,Regoh Premlakha,
216,EAST DISTRICT,District Panchayat,,,122122,9,Gnathang,Gnathang,
216,EAST DISTRICT,District Panchayat,,,122123,10,Lingtam Phadamchen,Lingtam Phadamchen,
216,EAST DISTRICT,District Panchayat,,,122124,11,Chujachen,Chujachen,
216,EAST DISTRICT,District Panchayat,,,122126,12,Chuchenpheri Lamaten,Chuchenpheri Lamaten,
216,EAST DISTRICT,District Panchayat,,,122129,13,Linkey Machong,Linkey Macong,
216,EAST DISTRICT,District Panchayat,,,122132,15,Biring Sudunglakha,Biring Sudunglakha,
216,EAST DISTRICT,District Panchayat,,,122135,16,Amba Taza,Amba Taza,
216,EAST DISTRICT,District Panchayat,,,122197,17,Namcheybong Aho,Namcheybong Aho,
216,EAST DISTRICT,District Panchayat,,,122199,18,Assam Lingzey,Assam Lingzey,
216,EAST DISTRICT,District Panchayat,,,122200,19,Bhusuk Nandok,Bhusuk Nandok,
216,EAST DISTRICT,District Panchayat,,,122201,20,Tathangchen Syari,Tathangchen Syari,
216,EAST DISTRICT,District Panchayat,,,122202,21,Luing Ranka,Luing Ranka,
216,EAST DISTRICT,District Panchayat,,,122203,22,Rey Rumtek,Rey Rumtek,
216,EAST DISTRICT,District Panchayat,,,122204,23,Samlik Namli,Samlik Namli,
216,EAST DISTRICT,District Panchayat,,,122205,24,Byeng Martam,Byeng Martam,
216,EAST DISTRICT,District Panchayat,,,122206,25,Sirwani Chisopani,Sirwani Chisopani,
216,EAST DISTRICT,District Panchayat,,,122207,26,Khamdong Dung Dung,Khamdong Dung Dung,
216,EAST DISTRICT,District Panchayat,,,122208,27,Simik Lingzey,Simik Lingzey,
216,EAST DISTRICT,District Panchayat,,,122209,28,Singel Tumin,Singel Tumin,
216,EAST DISTRICT,District Panchayat,,,122210,29,Samdong Rakdong,Samdong Rakdong,
216,EAST DISTRICT,District Panchayat,,,122211,14,Pakyong Pachey,Pakyong Pachey,
216,EAST DISTRICT,District Panchayat,,,122214,30,Kyongnosla,Kyongnosla,
217,NORTH DISTRICT,District Panchayat,,,122025,1,Kabi Tingda,Kabi Tingda,
217,NORTH DISTRICT,District Panchayat,,,122026,2,Phensang,Phensang,
