Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
252420,Kannamangalam,41548,8,Kannamangalam (TP) - Ward No.8,
252691,Ayakudi,64639,2,Ayakudi (TP) - Ward No.2,
252294,Chennai,37231,100,Chennai (M Corp.) - Ward No.100,
252986,Sathankulam,44003,9,Sathankulam (TP) - Ward No.9,
253017,Kalladaikurichi,44839,4,Kalladaikurichi (TP) - Ward No.4,
252990,PULIYANGUDI,44052,10,Puliyankudi (M) - Ward No.10,
252881,Vadipatti,59119,7,Vadipatti (TP) - Ward No.7,
252870,A.Vellalapatti,59107,10,A.Vellalapatti (TP) - Ward No.10,
252402,Krishnagiri,41265,5,Krishnagiri (M) - Ward No.5,
252439,Marakkanam,42417,13,Marakkanam (TP) - Ward No.13,
252627,Mopperipalayam,51939,7,Mopperipalayam (TP) - Ward No.7,
252763,Labbaikudikadu,60472,13,Labbaikudikadu (TP) - Ward No.13,
252473,Sankari,37608,3,Sankari (TP) - Ward No.3,
252838,Madukkur,40713,7,Madukkur (TP) - Ward No.7,
252839,Pattukkottai,58920,9,Pattukkottai (M) - Ward No.9,
252431,Pudupalayam,41793,2,Pudupalayam (TP) - Ward No.2,
253056,Valvaithankoshtam,47432,12,Valvaithankoshtam (TP) - Ward No.12,
252964,Kadambur,43633,12,Kadambur (TP) - Ward No.12,
252770,Panruti,57957,29,Panruti (M) - Ward No.29,
252938,Sivakasi,43288,31,Sivakasi (M) - Ward No.31,
252402,Krishnagiri,41381,32,Krishnagiri (M) - Ward No.32,
252598,Sholur,50581,11,Sholur (TP) - Ward No.11,
252679,Odaiyakulam,54288,11,Odaiyakulam (TP) - Ward No.11,
252546,Kasipalayam (G),44924,2,Kasipalayam (G) (TP) - Ward No.2,
252603,Kethi,63254,18,Kethi (TP) - Ward No.18,
252568,Erode,60965,27,Erode (M) - Ward No.27,
253037,Pacode,45651,11,Pacode (TP) - Ward No.11,
252816,Thirupuvanam,58697,15,Thirupuvanam (TP) - Ward No.15,
252491,Attur,60577,20,Attur (M) - Ward No.20,
252838,Madukkur,40715,9,Madukkur (TP) - Ward No.9,
252902,Periyakulam,56544,10,Periyakulam (M) - Ward No.10,
252697,Vedasandur,56710,5,Vedasandur (TP) - Ward No.5,
252565,Nasiyanur,60929,6,Nasiyanur (TP) - Ward No.6,
252829,Ammapettai,40661,15,Ammapettai (TP) - Ward No.15,
252947,Aruppukkottai,43379,18,Aruppukkottai (M) - Ward No.18,
252829,Ammapettai,40654,8,Ammapettai (TP) - Ward No.8,
252683,UDUMALAIPET,54353,7,Udumalaipettai (M) - Ward No.7,
252552,Pallapalayam,45224,12,Pallapalayam (TP) - Ward No.12,
252591,Kolathupalayam,62012,1,Kolathupalayam (TP) - Ward No.1,
252908,Thevaram,42851,16,Thevaram (TP) - Ward No.16,
252276,Avadi,3051,32,Avadi (M) - Ward No.32,
252532,Nerunjipettai,60726,3,Nerunjipettai (TP) - Ward No.3,
252490,Pethanaickenpalayam,38146,3,Pethanaickenpalayam (TP) - Ward No.3,
252823,Kumbakonam,40383,31,Kumbakonam (M) - Ward No.31,
252921,Highways,43085,12,Highways (TP) - Ward No.12,
252556,Kunnathur,45286,14,Kunnathur (TP) - Ward No.14,
253086,Thengampudur,49541,4,Thengampudur (TP) - Ward No.4,
252749,Tiruchirappalli,39134,48,Tiruchirappalli (M Corp.) - Ward No.48,
252802,Vedaranyam,40012,8,Vedaranyam (TP) - Ward No.8,
252262,Gummidipoondi,37445,11,Gummidipoondi (TP) - Ward No.11,
252666,Ettimadai,54127,12,Ettimadai (TP) - Ward No.12,
252931,Mamsapuram,57083,3,Mamsapuram (TP) - Ward No.3,
252568,Erode,60958,20,Erode (M) - Ward No.20,
252555,Nallampatti,45271,11,Nallampatti (TP) - Ward No.11,
252833,Thanjavur,58870,35,Thanjavur (M) - Ward No.35,
252773,Cuddalore,39477,11,Cuddalore (M) - Ward No.11,
252919,Kamayagoundanpatti,43042,5,Kamayagoundanpatti (TP) - Ward No.5,
252798,Nagapattinam,39957,19,Nagapattinam (M) - Ward No.19,
252325,Perungalathur,2709,5,Perungalathur (TP) - Ward No.5,
253039,Unnamalaikadai,45695,16,Unnamalaikadai (TP) - Ward No.16,
252674,Pollachi,54196,2,Pollachi (M) - Ward No.2,
252294,Chennai,1956,21,Chennai (M Corp.) - Ward No.21,
252628,Karumathampatti,63376,17,Karumathampatti (TP) - Ward No.17,
252294,Chennai,2015,150,Chennai (M Corp.) - Ward No.150,
252590,Mulanur,46549,5,Mulanur (TP) - Ward No.5,
252283,Naravarikuppam,3266,10,Naravarikuppam (TP) - Ward No.10,
