Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
251689,Miryalaguda,52424,28,Miryalaguda (M) - Ward No.28,
251685,Nalgonda,2864,22,Nalgonda (M) - Ward No.22,
290148,Jawaharnagar,2148528,4,WARD 4,
290092,Khanapur,2155632,2,ward2,
251691,Warangal,52555,16,Warangal (M Corp.) - Ward No.16,
248098,Sadasivpet,120839,20,Sadasivpet - Ward No 20,
257970,PARKAL,2519924,21,Ward No. 21,
251651,Jagtial,1550,15,Jagtial(M)-Ward No. 15,
276410,Meerpet,2147461,5,WARD 5,
251691,Warangal,959777,50,Warangal (M Corp.) - Ward No.50,
290086,Thumkunta,2155511,9,ward9,
290140,Atmakur,2147916,3,WARD 3,
290095,Sulthanabad,2155688,12,ward12,
290088,Kompally,2155572,9,ward9,
276412,Boduppal,2175840,24,WARD 24,
253255,Kodad,223,13,VASUDEVA RAO GARI BAZAR-PRAMELA TOWER BAZAR-ROSHAMMA GARI VEEDHI-KOUSER MAJID AREA- MS COLLEGE BAZAR- BARATH REDDY GARI COMPLEX APSRTC,
251664,Hyderabad,2102411,29,Ward No.29 Chawani,
257971,MAHABUBABAD,127530,3,Ward no.8,
290082,Nagaram,2155147,5,ward5,
251691,Warangal,2519911,58,Warangal (M Corp.) - Ward No.58,
290072,Makthal,2154506,7,ward7,
290100,Shankarpally,2155777,2,ward2,
290069,Dornakal,2154481,12,ward12,
248087,Mancherial,50941,19,Mancherial Ward No 19,
290089,Chityal,2155592,11,ward11,
290083,Pocharam,2155176,2,ward2,
257876,MADHIRA,126816,9,ward-nine,
251689,Miryalaguda,52403,7,Miryalaguda (M) - Ward No.7,
248096,Siddipet,120791,16,Siddipet - Ward No 16,
253255,Kodad,584,25,BALAJI NAGAR PART- DRIVER PETA- BABU NAGAR,
290077,Luxettipet,2154577,3,ward3,
257876,MADHIRA,126808,1,ward-one,
290131,Narayankhed,2155842,11,ward11,
290072,Makthal,2154505,6,ward6,
