Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
251272,Daman,1432,14,Daman (M Cl) - Ward No.14
251271,Diu,74902,1,Diu (M Cl) - Ward No.1
251274,Amli,74915,1,Amli CT - Ward No.1
251272,Daman,1427,9,Daman (M Cl) - Ward No.9
251271,Diu,74907,6,Diu (M Cl) - Ward No.6
251272,Daman,1420,2,Daman (M Cl) - Ward No.2
251272,Daman,1433,15,Daman (M Cl) - Ward No.15
251271,Diu,74903,2,Diu (M Cl) - Ward No.2
251271,Diu,74906,5,Diu (M Cl) - Ward No.5
251271,Diu,74911,10,Diu (M Cl) - Ward No.10
251271,Diu,74912,11,Diu (M Cl) - Ward No.11
251271,Diu,74910,9,Diu (M Cl) - Ward No.9
251272,Daman,1425,7,Daman (M Cl) - Ward No.7
251271,Diu,74904,3,Diu (M Cl) - Ward No.3
251272,Daman,1423,5,Daman (M Cl) - Ward No.5
251272,Daman,1429,11,Daman (M Cl) - Ward No.11
251272,Daman,1431,13,Daman (M Cl) - Ward No.13
251272,Daman,1419,1,Daman (M Cl) - Ward No.1
251272,Daman,1424,6,Daman (M Cl) - Ward No.6
251273,Silvassa,1434,1,Silvassa CT - Ward No.1
251272,Daman,1426,8,Daman (M Cl) - Ward No.8
251272,Daman,1428,10,Daman (M Cl) - Ward No.10
251272,Daman,1430,12,Daman (M Cl) - Ward No.12
251271,Diu,74908,7,Diu (M Cl) - Ward No.7
251271,Diu,74905,4,Diu (M Cl) - Ward No.4
251272,Daman,1422,4,Daman (M Cl) - Ward No.4
251271,Diu,74913,12,Diu (M Cl) - Ward No.12
251272,Daman,1421,3,Daman (M Cl) - Ward No.3
251271,Diu,74909,8,Diu (M Cl) - Ward No.8
251271,Diu,74914,13,Diu (M Cl) - Ward No.13
