Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name
249785,Agartala Municipal Corporation,838662,20,Ward No.20
249804,Kailashahar Municipal Council,69658,5,Ward No.5
249797,Amarpur Nagar Panchayat,1531,6,Ward No.6
249787,Sonamura Nagar Panchayat,1248,2,Ward No.2
249796,Udaipur Municipal Council,838801,12,Ward No.12
249798,Belonia Municipal Council,1538,4,Ward No.4
249785,Agartala Municipal Corporation,37161,9,Ward No.9
261690,Bishalgarh Municipal Council,838723,12,Ward No.12
249797,Amarpur Nagar Panchayat,839001,11,Ward No.11
249796,Udaipur Municipal Council,1525,4,Ward No.4
249797,Amarpur Nagar Panchayat,1526,1,Ward No.1
249783,Khowai Municipal Council,1225,4,Ward No.4
261688,Panisagar Nagar Panchayat,839108,2,Ward No.2
273718,Kamalpur Nagar Panchayat,1216850,6,Ward No. 6
261691,Melaghar Municipal Council,838779,11,Ward No.11
249804,Kailashahar Municipal Council,838766,15,Ward No.15
261689,Santirbazar Municipal Council,839138,10,Ward No.10
249785,Agartala Municipal Corporation,37162,10,Ward No.10
249785,Agartala Municipal Corporation,1199980,48,Ward No.48
261688,Panisagar Nagar Panchayat,839117,11,Ward No.11
249786,Ranirbazar Municipal Council,69181,3,Ward No.3
249796,Udaipur Municipal Council,1521,9,Ward No.9
249785,Agartala Municipal Corporation,838655,19,Ward No.19
273718,Kamalpur Nagar Panchayat,1216846,2,Ward No. 2
249784,Teliamura Municipal Council,68175,13,Ward No.13
249803,Dharmanagar Municipal Council,838752,16,Ward No.16
249783,Khowai Municipal Council,37165,3,Ward No.3
249783,Khowai Municipal Council,37163,1,Ward No.1
249784,Teliamura Municipal Council,69178,6,Ward No.6
249803,Dharmanagar Municipal Council,838749,13,Ward No.13
249786,Ranirbazar Municipal Council,69184,6,Ward No.6
249785,Agartala Municipal Corporation,37158,6,Ward No.6
261689,Santirbazar Municipal Council,839137,9,Ward No.9
249785,Agartala Municipal Corporation,838637,18,Ward No.18
261688,Panisagar Nagar Panchayat,839110,4,Ward No.4
261689,Santirbazar Municipal Council,839153,3,Ward No.3
249786,Ranirbazar Municipal Council,839119,10,Ward No.10
249785,Agartala Municipal Corporation,838665,23,Ward No.23
249784,Teliamura Municipal Council,68170,8,Ward No.8
249799,Sabroom Nagar Panchayat,69216,9,Ward No.9
261689,Santirbazar Municipal Council,839132,5,Ward No.5
261692,Mohanpur Municipal Council,838788,4,Ward No.4
249785,Agartala Municipal Corporation,1199971,39,Ward No.39
249783,Khowai Municipal Council,838769,15,Ward No.15
249787,Sonamura Nagar Panchayat,1250,4,Ward No.4
249803,Dharmanagar Municipal Council,1200010,23,Ward No.23
249802,Ambassa Municipal Council,1205732,12,Ward No.12
249785,Agartala Municipal Corporation,37153,1,Ward No.1
249798,Belonia Municipal Council,1296720,15,Ward No. 15
249799,Sabroom Nagar Panchayat,69215,8,Ward No.8
273718,Kamalpur Nagar Panchayat,1216855,11,Ward No. 11
249803,Dharmanagar Municipal Council,838751,15,Ward No.15
249784,Teliamura Municipal Council,68177,15,Ward No.15
249785,Agartala Municipal Corporation,1199969,37,Ward No.37
261689,Santirbazar Municipal Council,1206736,12,Ward No.12
273718,Kamalpur Nagar Panchayat,1216845,1,Ward No. 1
249784,Teliamura Municipal Council,69176,4,Ward No.4
249785,Agartala Municipal Corporation,1199970,38,Ward No.38
249802,Ambassa Municipal Council,380,8,Ward No.8
261687,Jirania Nagar Panchayat,839084,11,Ward No.11
249804,Kailashahar Municipal Council,838764,13,Ward No.13
261688,Panisagar Nagar Panchayat,839111,5,Ward No.5
249783,Khowai Municipal Council,1228,7,Ward No.7
249785,Agartala Municipal Corporation,1199978,46,Ward No.46
261688,Panisagar Nagar Panchayat,839109,3,Ward No.3
249796,Udaipur Municipal Council,1524,3,Ward No.3
249803,Dharmanagar Municipal Council,838740,5,Ward No.5
261689,Santirbazar Municipal Council,839131,4,Ward No.4
249787,Sonamura Nagar Panchayat,839144,10,Ward No.10
249784,Teliamura Municipal Council,69177,5,Ward No.5
249804,Kailashahar Municipal Council,838765,14,Ward No.14
249805,Kumarghat Municipal Council,839085,10,Ward No.10
249785,Agartala Municipal Corporation,37157,5,Ward No.5
249783,Khowai Municipal Council,1233,12,Ward No.12
249802,Ambassa Municipal Council,1719,1,Ward No.1
249783,Khowai Municipal Council,1231,10,Ward No.10
261689,Santirbazar Municipal Council,839136,8,Ward No.8
249796,Udaipur Municipal Council,838805,16,Ward No.16
249799,Sabroom Nagar Panchayat,69213,6,Ward No.6
249787,Sonamura Nagar Panchayat,1253,7,Ward No.7
249798,Belonia Municipal Council,1535,1,Ward No.1
261687,Jirania Nagar Panchayat,839075,2,Ward No.2
261690,Bishalgarh Municipal Council,838728,7,Ward No.7
249803,Dharmanagar Municipal Council,838745,9,Ward No.9
249802,Ambassa Municipal Council,377,5,Ward No.5
249783,Khowai Municipal Council,1234,13,Ward No.13
249785,Agartala Municipal Corporation,1199979,47,Ward No.47
273718,Kamalpur Nagar Panchayat,1216848,4,Ward No. 4
249798,Belonia Municipal Council,1541,7,Ward No.7
261691,Melaghar Municipal Council,838778,10,Ward No.10
261690,Bishalgarh Municipal Council,838715,3,Ward No.3
249804,Kailashahar Municipal Council,69656,3,Ward No.3
261691,Melaghar Municipal Council,838776,8,Ward No.8
249798,Belonia Municipal Council,838705,12,Ward No.12
249784,Teliamura Municipal Council,68176,14,Ward No.14
249785,Agartala Municipal Corporation,1244,15,Ward No.15
261692,Mohanpur Municipal Council,838791,8,Ward No.8
249796,Udaipur Municipal Council,1523,2,Ward No.2
249785,Agartala Municipal Corporation,838643,34,Ward No.34
249803,Dharmanagar Municipal Council,838753,17,Ward No.17
261687,Jirania Nagar Panchayat,839080,7,Ward No.7
249805,Kumarghat Municipal Council,1138646,12,Ward No. 12
249796,Udaipur Municipal Council,838806,17,Ward No.17
249785,Agartala Municipal Corporation,838657,33,Ward No.33
249798,Belonia Municipal Council,1543,9,Ward No.9
249797,Amarpur Nagar Panchayat,1532,7,Ward No.7
249786,Ranirbazar Municipal Council,69180,2,Ward No.2
249804,Kailashahar Municipal Council,838763,12,Ward No.12
249787,Sonamura Nagar Panchayat,1255,9,Ward No.9
249805,Kumarghat Municipal Council,1733,7,Ward No.7
249783,Khowai Municipal Council,1232,11,Ward No.11
261688,Panisagar Nagar Panchayat,839116,10,Ward No.10
261688,Panisagar Nagar Panchayat,839112,6,Ward No.6
261688,Panisagar Nagar Panchayat,839113,7,Ward No.7
249785,Agartala Municipal Corporation,838656,28,Ward No.28
261692,Mohanpur Municipal Council,838796,2,Ward No.2
261689,Santirbazar Municipal Council,839130,2,Ward No.2
261692,Mohanpur Municipal Council,838798,12,Ward No.12
249803,Dharmanagar Municipal Council,838755,19,Ward No.19
261687,Jirania Nagar Panchayat,839077,4,Ward No.4
261687,Jirania Nagar Panchayat,839079,6,Ward No.6
261689,Santirbazar Municipal Council,839134,7,Ward No.7
249796,Udaipur Municipal Council,838803,14,Ward No.14
249803,Dharmanagar Municipal Council,838736,1,Ward No.1
261687,Jirania Nagar Panchayat,839078,5,Ward No.5
249805,Kumarghat Municipal Council,1730,4,Ward No.4
249796,Udaipur Municipal Council,1199987,20,Ward No.20
261690,Bishalgarh Municipal Council,838717,5,Ward No.5
249804,Kailashahar Municipal Council,69663,10,Ward No.10
249784,Teliamura Municipal Council,68173,11,Ward No.11
249802,Ambassa Municipal Council,378,6,Ward No.6
249785,Agartala Municipal Corporation,37156,4,Ward No.4
249797,Amarpur Nagar Panchayat,1528,3,Ward No.3
261690,Bishalgarh Municipal Council,838714,2,Ward No.2
261691,Melaghar Municipal Council,838777,9,Ward No.9
