Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
249502,Kheta Sarai,24110,6,SONDHI - Ward No.6,
248929,Moradabad,66160,20,Moradabad (M Corp.) - Ward No.20,
249272,Dibiyapur,4827,1,Dibiyapur (NP) - Ward No.1,
249493,Sikanderpur (Ballia),23915,10,Sikanderpur (NP) - Ward No.10,
249142,Fatehganj Pashchimi,30377,8,Fatehganj Pashchimi (NP) - Ward No.8,
249462,Gaura Barhaj,6041,21,Gaura Barhaj (MB) - Ward No.21,
249504,Machhlishahr,24983,4,KOTWALI - Ward No.4,
249462,Gaura Barhaj,6024,4,Gaura Barhaj (MB) - Ward No.4,
249234,Lucknow,868,101,Lucknow (M Corp.) - Ward No.101,
249381,Satrikh,8471,1,Satrikh (NP) - Ward No.1,
249357,Ajhuwa,8043,7,Ajhuwa (NP) - Ward No.7,
249119,Saidpur(Badaun),29919,8,Saidpur (NP) - Ward No.8,
249338,Bisanda Buzurg,7191,10,Bisanda Buzurg (NP) - Ward No.10,
249170,Tilhar,31046,13,Gher Chauva - Ward No.13,
249317,Talbehat,75410,3,Talbehat (NP) - Ward No.3,
249102,Awagarh,29726,9,Awagarh (NP) - Ward No.9,
249179,Gola Gokarannath,31514,15,Gola Gokarannath (MB) - Ward No.15,
249531,Varanasi,26817,78,Bangalitola,
249082,Shikohabad,68931,8,Shikohabad (MB) - Ward No.8,
249046,Bajna,28626,6,Bajna (NP) - Ward No.6,
249036,Mendu,72773,5,Mendu (NP) - Ward No.5,
249106,Mainpuri,29775,14,Mainpuri (MB) - Ward No.14,
249352,Antu,7893,2,Antu (NP) - Ward No.2,
249213,Fatehpur Chaurasi,32789,5,Fatehpur Chaurasi (NP) - Ward No.5,
249201,Hardoi,70017,11,Hardoi (MB) - Ward No.11,
249470,Bilariaganj,6102,4,Bilariaganj (NP) - Ward No.4,
249408,Nanpara,4118,9,Nanpara (MB) - Ward No.9,
248934,Sambhal,30504,17,Sambhal (MB) - Ward No.17,
249396,Tanda(Rampur),4015,23,Tanda (MB) - Ward No.23,
249075,Tundla,29436,22,Tundla (MB) - Ward No.22,
249058,Farah,28968,7,Farah (NP) - Ward No.7,
248937,Chandausi,30565,14,Chandausi (MB) - Ward No.14,
248896,Sisauli,63118,12,Sisauli (NP) - Ward No.12,
249029,Vijaigarh,28474,9,Vijaigarh (NP) - Ward No.9,
249547,Robertsganj,27123,10,Robertsganj (MB) - Ward No.10,
249193,Biswan,31919,1,Biswan (MB) - Ward No.1,
249133,Usawan,30283,3,Usawan (NP) - Ward No.3,
248937,Chandausi,30570,19,Chandausi (MB) - Ward No.19,
249286,Kanpur,5135,90,Kanpur (M Corp.) - Ward No.90,
249290,Ghatampur,5169,11,Ghatampur (MB) - Ward No.11,
248936,Narauli,30541,2,Narauli (NP) - Ward No.2,
248937,Chandausi,30568,17,Chandausi (MB) - Ward No.17,
249484,Amila,6406,1,Amila (NP) - Ward No.1,
249338,Bisanda Buzurg,6992,1,Bisanda Buzurg (NP) - Ward No.1,
249286,Kanpur,5048,3,Kanpur (M Corp.) - Ward No.3,
249062,Agra,68849,70,Agra (M Corp.) - Ward No.70,
249382,Zaidpur,74207,4,Zaidpur (NP) - Ward No.4,
249297,Orai,75354,17,Orai (MB) - Ward No.17,
249142,Fatehganj Pashchimi,30371,2,Fatehganj Pashchimi (NP) - Ward No.2,
248999,Kakod,33939,1,Kakod (NP) - Ward No.1,
249444,Gorakhpur,5751,37,Gorakhpur (M Corp.) - Ward No.37,
249339,Atarra,7213,22,Atarra (MB) - Ward No.22,
249296,Kadaura,5232,4,Kadaura (NP) - Ward No.4,
