Local Body Code,Local Body Name,Local Body Type,"District Level
Parent Name
","Intermediate Level
Parent Name",Ward Code,"Ward
Number","Ward Name
(In English)
","Ward Name
(In Local)
",
45,ALMORA,District Panchayat,,,95841,1,Ward No. 1,Ward No. 1,
46,BAGESHWAR,District Panchayat,,,85026,1,Ward No. 1,Ward No. 1,
47,CHAMOLI,District Panchayat,,,81591,1,Ward No. 1,Ward No. 1,
48,CHAMPAWAT,District Panchayat,,,84934,1,Ward No. 1,Ward No. 1,
49,DEHRADUN,District Panchayat,,,93909,1,Ward No. 1,Ward No. 1,
50,HARIDWAR,District Panchayat,,,106627,1,Sohalpur Sikarodha,Ward No. 1,
50,HARIDWAR,District Panchayat,,,883837,2,Garh,Ward No. 2,
50,HARIDWAR,District Panchayat,,,883838,3,Ravali Mahdoodh,Ward No. 3,
50,HARIDWAR,District Panchayat,,,883839,4,Bhagtanpur Abidpur,Ward No. 4,
50,HARIDWAR,District Panchayat,,,883840,5,Peetpur,Ward No. 5,
50,HARIDWAR,District Panchayat,,,883860,6,Nasirpur kalan,Ward No. 6,
50,HARIDWAR,District Panchayat,,,883861,7,Dhanpura,Ward No. 7,
50,HARIDWAR,District Panchayat,,,883862,8,Bhadarpur Jatt,Ward No. 8,
50,HARIDWAR,District Panchayat,,,883865,9,Jamalpur Kalan,Ward No. 9,
50,HARIDWAR,District Panchayat,,,883886,10,Laldhang,Ward No. 10,
50,HARIDWAR,District Panchayat,,,883888,11,Ibrahimpur Mashee,Ward No. 11,
50,HARIDWAR,District Panchayat,,,883889,12,Alawalpur,Ward No. 12,
50,HARIDWAR,District Panchayat,,,883900,13,Khelpur Nasrullapur,Ward No. 13,
50,HARIDWAR,District Panchayat,,,883912,14,sirchandi,Ward No. 14,
50,HARIDWAR,District Panchayat,,,884438,15,Manakpur Aadampur,Ward No. 15,
50,HARIDWAR,District Panchayat,,,884441,16,Bhagwanpur,Ward No. 16,
50,HARIDWAR,District Panchayat,,,884443,17,Akabarpur Kalson,Ward No. 17,
50,HARIDWAR,District Panchayat,,,884445,18,Piran Kaliyer,Ward No. 18,
50,HARIDWAR,District Panchayat,,,884446,19,Majari gummawala,Ward No. 19,
50,HARIDWAR,District Panchayat,,,884447,20,Rampur,Ward No. 20,
50,HARIDWAR,District Panchayat,,,884448,21,Kishanpur Jamalpur,Ward No. 21,
50,HARIDWAR,District Panchayat,,,884449,22,Harjoli Jhojha,Ward No. 22,
50,HARIDWAR,District Panchayat,,,884450,23,Padali Gujjar,Ward No. 23,
50,HARIDWAR,District Panchayat,,,884451,24,sunhara,Ward No. 24,
50,HARIDWAR,District Panchayat,,,884452,25,Brahampur Shankarpuri,Ward No. 25,
50,HARIDWAR,District Panchayat,,,884453,26,Mirjapur Mustfabad,Ward No. 26,
50,HARIDWAR,District Panchayat,,,884454,27,Nagla Imarti,Ward No. 27,
50,HARIDWAR,District Panchayat,,,884455,28,Mohanpura Mohamadpur,Ward No. 28,
50,HARIDWAR,District Panchayat,,,884456,29,Kuradi,Ward No. 29,
50,HARIDWAR,District Panchayat,,,884457,30,Kotwala Alampur,Ward No. 30,
50,HARIDWAR,District Panchayat,,,884460,31,Narsan Khurd,Ward No. 31,
50,HARIDWAR,District Panchayat,,,884461,32,Mundlana,Ward No. 32,
50,HARIDWAR,District Panchayat,,,884464,33,Boodpur Jatt,Ward No. 33,
50,HARIDWAR,District Panchayat,,,884465,34,Bhagwanpur Chandanpur,Ward No. 34,
50,HARIDWAR,District Panchayat,,,884466,35,Bhikampur Jeetpur,Ward No. 35,
50,HARIDWAR,District Panchayat,,,884467,36,Sultanpur Adampur,Ward No. 36,
50,HARIDWAR,District Panchayat,,,884468,37,Khadanja Kutubpur,Ward No. 37,
50,HARIDWAR,District Panchayat,,,884469,38,Akoda Mukratpur,Ward No. 38,
50,HARIDWAR,District Panchayat,,,884470,39,Aithal Bujarg,Ward No. 39,
50,HARIDWAR,District Panchayat,,,884471,40,Dargahpur,Ward No. 40,
50,HARIDWAR,District Panchayat,,,884473,41,Prahladpur,Ward No. 41,
50,HARIDWAR,District Panchayat,,,884475,42,Dallawala,Ward No. 42,
51,NAINITAL,District Panchayat,,,107863,1,Ward No. 1,Ward No. 1,
52,PAURI GARHWAL,District Panchayat,,,109867,1,Ward No. 1,Ward No. 1,
53,PITHORAGARH,District Panchayat,,,87866,1,Ward No. 1,Ward No. 1,
54,RUDRA PRAYAG,District Panchayat,,,82669,1,Ward No. 1,Ward No. 1,
56,UDAM SINGH NAGAR,District Panchayat,,,87947,1,Ward No. 1,Ward No. 1,
57,UTTAR KASHI,District Panchayat,,,107913,1,Ward No. 1,Ward No. 1,
