Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
262883,Gangolihat,927730,4,Gangolihat (NP) -Laali Ward No. 4,
248482,Manglaur,11716,7,Manglaur (MB) -Bandertol Ward No.7,
248430,Dehradun,1296965,67,Dehradun (M.Corp) -Mohkhampur Ward No.67,
248441,Kotdwara,1296558,40,Kotdwara (MB) - Jashodharpur Ward No.40,
248477,Khatima,1296524,15,Khatima (MB) - Thaaru Govt. Inter College Ward No.15,
262858,Shivalik Nagar,1296862,13,Shivaliknagar(MB) -Navodya Nagar Ward No. 13,
248456,Bhimtal,17738,4,Bhimtal (NP) -Naukuchiyataal Ward No.4,
248462,Jaspur,18491,7,Jaspur (MB) - Julahaan Dakshini Ward No.7,
248438,Pauri,17493,4,Pauri (MB) - Dipti Dhaara/Uper Bazaar Ward No.4,
248427,Vikasnagar,17399,8,Vikasnagar Dharam Shala (MB) - Ward No.8,
248422,Tehri,16147,7,Tehri (MB) -Geeta Bhavan Chetra Ward No.7,
248459,Haldwani Kathgodam,1296684,50,Haldwani-cum-Kathgodam (MB) - Adarshnagar Ward No.50,
248474,Kichha,18701,8,Kichha (MB) -Pant Colony Evam Uttaranchal Colony Ward No.8,
248470,Dineshpur,73491,7,Dineshpur (NP) -Netaji Nagar Ward No.7,
274461,NAUGAON,1296610,2,Naugaon (NP)- Mungra Ward No.2,
248468,Kela Khera,18557,3,Kela Khera (NP) - Muzhfarnagar Ward No.3,
248477,Khatima,1296521,12,Khatima (MB) - Khetalsanda Ward No.12,
248478,Roorkee,11680,8,Roorkee (MB) -C.B.R.I Rorrkee Ward No.8,
248485,Hardwar,11759,13,Hardwar (MB) -Mayapuri Ward No.13,
248461,Mahua Dabra Haripura,18478,4,Mahua Dabra Haripura (NP) - Chaudhory Kumhaar Bashti Ward No.4,
248429,Mussoorie,17427,1,Mussoorie (MB) -Jhadipaani Ward No.1,
248427,Vikasnagar,17398,7,Vikasnagar Kaliyan Pur (MB) - Ward No.7,
248417,Karnaprayag,73001,6,Karnaprayag (NP) -Bus Station Semi Ward No.6,
248410,Uttarkashi,16012,6,Uttarkashi (MB) -Sriram Leela Maidaan Ward No.6,
248430,Dehradun,73068,52,Dehradun (M.Corp) -Ajabpur Sarswati Vihaar Ward No.52,
262858,Shivalik Nagar,1296870,8,Shivaliknagar(MB) -Subhas Nagar Pashchimi Ward No. 8,
248422,Tehri,16144,4,Tehri (MB) -Dhungidhaar Chetra Ward No.4,
