Local Body Code,Local Body Name,Ward Code, Ward Number,Ward Name,
253250,Nalhati,54375,7,Nalhati (M) - Ward No.7,
250179,Uttarpara Kotrung,14651,25,Uttarpara Kotrung (M) - Ward No.25,
250124,Naihati,15522,24,Naihati (M) - Ward No.24,
250178,Konnagar,14609,2,Konnagar (M) - Ward No.2,
250236,Contai,68315,8,Contai (M) - Ward No.8,
250302,Pujali,17807,9,Pujali (M) - Ward No.9,
250099,Santipur,14891,9,Santipur (M) - Ward No.9,
253229,Panskura,7511,13,Panskura (M) - Ward No.13,
250031,Kulti,14587,26,Kulti (M) - Ward No.26,
249998,Murshidabad,66647,12,Murshidabad (M) - Ward No.12,
250104,Kalyani,67263,1,Kalyani (M) - Ward No.1,
253229,Panskura,7514,16,Panskura (M) - Ward No.16,
250146,Rajarhat Gopalpur,15978,8,Rajarhat Gopalpur (M) - Ward No.8,
250169,Tarakeswar,63936,3,Tarakeswar (M) - Ward No.3,
250124,Naihati,15501,3,Naihati (M) - Ward No.3,
250141,Baranagar,15900,15,Baranagar (M) - Ward No.15,
250144,South Dum Dum,63899,33,South Dum Dum (M) - Ward No.33,
250233,Tamluk,15299,13,Tamluk (M) - Ward No.13,
249995,Dhulian,14211,19,Dhulian (M) - Ward No.19,
250033,Raniganj,14687,1,Raniganj (M) - Ward No.1,
250171,Hugli-Chinsurah,67563,26,Hugli-Chinsurah (M) - Ward No.26,
249975,Koch Bihar,13615,18,Koch Bihar (M) - Ward No.18,
250208,Sonamukhi,14678,7,Sonamukhi (M) - Ward No.7,
250299,Kolkata,17352,130,Kolkata (M Corp.) - Ward No.130,
249975,Koch Bihar,13611,14,Koch Bihar (M) - Ward No.14,
250138,Panihati,63860,29,Panihati (M) - Ward No.29,
249957,Siliguri,66446,32,Siliguri (M Corp.) (Part) - Ward No.32,
250030,Jamuria,66700,13,Jamuria (M) - Ward No.13,
250302,Pujali,17812,14,Pujali (M) - Ward No.14,
249949,Kurseong,13460,18,Kurseong (M) - Ward No.18,
250146,Rajarhat Gopalpur,15986,16,Rajarhat Gopalpur (M) - Ward No.16,
250304,Baruipur,18136,7,Baruipur (M) - Ward No.7,
250171,Hugli-Chinsurah,67545,8,Hugli-Chinsurah (M) - Ward No.8,
250299,Kolkata,17346,124,Kolkata (M Corp.) - Ward No.124,
249946,Darjiling,13477,22,Darjiling (M) - Ward No.22,
250178,Konnagar,14620,13,Konnagar (M) - Ward No.13,
250096,Krishnanagar,14833,12,Krishnanagar (M) - Ward No.12,
249977,Dinhata,13622,5,Dinhata (M) - Ward No.5,
250026,Suri,14517,8,Suri (M) - Ward No.8,
250141,Baranagar,15902,17,Baranagar (M) - Ward No.17,
250131,North Barrackpur,15726,2,North Barrackpur (M) - Ward No.2,
250125,Bhatpara,15635,29,Bhatpara (M) - Ward No.29,
250026,Suri,14519,10,Suri (M) - Ward No.10,
249977,Dinhata,13632,15,Dinhata (M) - Ward No.15,
250105,Gayespur,67295,14,Gayespur (M) - Ward No.14,
249996,Jangipur,14217,6,Jangipur(M) - Ward No.6,
250031,Kulti,14568,7,Kulti (M) - Ward No.7,
250179,Uttarpara Kotrung,14649,23,Uttarpara Kotrung (M) - Ward No.23,
250135,Barasat,67353,24,Barasat (M) - Ward No.24,
250229,Ghatal,15208,10,Ghatal (M) - Ward No.10,
250246,Bally,15350,7,Bally (M) - Ward No.7,
250123,Halisahar,67307,1,Halisahar (M) - Ward No.1,
249997,Jiaganj Azimganj,14235,4,Jiaganj Azimganj (M) - Ward No.4,
